Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
229;19/05/2023;22:00;USA;USL CHAMPIONSHIP;FC Tulsa;Memphis;31;43;1,3488;36;43;1,5349;0,7209;0,8372;1,5581;0,6035
230;19/05/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 11;Buxoro;Sogdiana;30;43;1,0465;27;43;1,1395;0,6977;0,6279;1,3256;0,4381
231;19/05/2023;18:00;VENEZUELA;LIGA FUTVE - ROUND 15;Universidad Central;Rayo Zuliano;24;43;0,9535;31;41;1,3415;0,5581;0,7561;1,3142;0,422
232;19/05/2023;20:15;VENEZUELA;LIGA FUTVE - ROUND 15;Angostura;Zamora;27;42;0,9524;26;43;1,0;0,6429;0,6047;1,2476;0,3888
233;19/05/2023;07:00;VIETNAM;V.LEAGUE 1 - ROUND 8;Gia Lai;Thanh Hoa;30;43;1,0233;27;43;0,9302;0,6977;0,6279;1,3256;0,4381
234;19/05/2023;08:00;WORLD;FRIENDLY INTERNATIONAL;Sweden U16;Poland U16;11;16;1,3125;29;35;1,2286;0,6875;0,8286;1,5161;0,5697
235;19/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Denmark U16;Belgium U16;26;28;1,7143;31;42;1,4524;0,9286;0,7381;1,6667;0,6854
236;19/05/2023;16:00;WORLD;ARAB CLUB CHAMPIONS CUP - QUALIFICATION - FINAL;FAR Rabat;Al Wahda;34;43;1,186;27;43;1,0465;0,7907;0,6279;1,4186;0,4965
237;19/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Japan U19 W;Panama U20 W;21;32;1,2188;24;28;2,1429;0,6562;0,8571;1,5133;0,5624
238;19/05/2023;16:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;France U20 W;Cameroon U20 W;22;34;1,1765;2;2;1,0;0,6471;1,0;1,6471;0,6471
239;19/05/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 10;Yadah;Herentals;22;35;0,8571;25;38;0,7895;0,6286;0,6579;1,2865;0,4136
