Nº,Date,Time,Country,League,Home,Away,pHome,pAway
47,17.05.2023,21:30,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Atletico-MG,Corinthians,0.627906976744186,0.7674418604651163
48,17.05.2023,20:00,BRAZIL,COPA VERDE - FINAL,Paysandu PA,Goias,0.627906976744186,0.627906976744186
49,17.05.2023,04:30,CHINA,FA CUP - 1/64-FINALS,Shanghai Zhongchen,Quanzhou Yassin,0.627906976744186,0.627906976744186
50,17.05.2023,04:30,CHINA,FA CUP - 1/64-FINALS,Wuhan Xiaoma,Guangxi Lanhang,0.627906976744186,0.627906976744186
51,17.05.2023,08:30,CHINA,FA CUP - 1/64-FINALS,Guangxi Junling,Hubei Istar,0.627906976744186,0.627906976744186
52,17.05.2023,08:30,CHINA,FA CUP - 1/64-FINALS,Qingdao May Wind,Yunnan Yukun,0.627906976744186,0.627906976744186
53,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Aguilas,Jaguares de Cordoba,0.6976744186046512,0.5116279069767442
54,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Bucaramanga,America De Cali,0.6046511627906976,0.6511627906976745
55,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Dep. Cali,Chico,0.7441860465116279,0.627906976744186
56,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Dep. Pasto,Envigado,0.6046511627906976,0.5813953488372093
57,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Deportes Tolima,Atl. Nacional,0.6976744186046512,0.7209302325581395
58,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Huila,Junior,0.813953488372093,0.4883720930232558
59,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Ind. Medellin,U. Magdalena,0.6744186046511628,0.6046511627906976
60,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Millonarios,La Equidad,0.627906976744186,0.627906976744186
61,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Once Caldas,Santa Fe,0.6428571428571429,0.6511627906976745
62,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Pereira,Petrolera,0.7674418604651163,0.6666666666666666
63,17.05.2023,23:00,COSTA RICA,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - FINAL,Alajuelense,Saprissa,0.7441860465116279,0.7441860465116279
64,17.05.2023,13:00,CYPRUS,FIRST DIVISION - RELEGATION GROUP - ROUND 38,AEL Limassol,Karmiotissa,0.5476190476190477,0.8095238095238095
65,17.05.2023,13:00,CYPRUS,FIRST DIVISION - RELEGATION GROUP - ROUND 38,Nea Salamis,Paralimni,0.7441860465116279,0.627906976744186
66,17.05.2023,15:30,EGYPT,PREMIER LEAGUE - ROUND 28,National Bank Egypt,El Ismaily,0.7906976744186046,0.627906976744186
67,17.05.2023,12:00,EGYPT,EGYPT CUP - 1/16-FINALS,Pyramids,Ghazl Kafr El Dawar,0.6511627906976745,0.627906976744186
68,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Jocoro,Aguila,0.6046511627906976,0.6046511627906976
69,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Luis Angel Firpo,Dragon,0.4883720930232558,0.627906976744186
70,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Metapan,11 Deportivo,0.6744186046511628,0.4883720930232558
71,17.05.2023,22:30,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,FAS,Alianza FC,0.6744186046511628,0.6744186046511628
72,17.05.2023,16:00,ENGLAND,CHAMPIONSHIP - PLAY OFFS - SEMI-FINALS,Middlesbrough,Coventry,0.7674418604651163,0.5813953488372093
73,17.05.2023,14:15,ENGLAND,WOMEN’S SUPER LEAGUE,Everton W,Arsenal W,0.7441860465116279,0.813953488372093
74,17.05.2023,16:15,ENGLAND,WOMEN’S SUPER LEAGUE,West Ham W,Chelsea W,0.5813953488372093,0.7674418604651163
75,17.05.2023,09:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,St. George,Hawassa,0.6046511627906976,0.7209302325581395
76,17.05.2023,12:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,Sidama Bunna,Defence Force,0.7906976744186046,0.5348837209302325
77,17.05.2023,11:30,EUROPE,EURO U17 - ROUND 1,Poland U17,Ireland U17,0.7619047619047619,0.7142857142857143
78,17.05.2023,11:30,EUROPE,EURO U17 - ROUND 1,Scotland U17,France U17,0.7619047619047619,0.8333333333333334
79,17.05.2023,15:00,EUROPE,EURO U17 - ROUND 1,Hungary U17,Wales U17,0.6511627906976745,0.7209302325581395
80,17.05.2023,15:00,EUROPE,EURO U17 - ROUND 1,Portugal U17,Germany U17,0.813953488372093,0.8205128205128205
81,17.05.2023,10:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Kyzyltash,TSK Simferopol,0.6585365853658537,0.7380952380952381
82,17.05.2023,11:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Chernomorets Sevastopol,Alushta,0.375,0.7948717948717948
83,17.05.2023,11:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Ocean Kerch,Rubin Yalta,0.75,0.7619047619047619
84,17.05.2023,12:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Sparta-KT,FC Sevastopol,0.7,0.7857142857142857
85,17.05.2023,07:00,EUROPE,EURO U17 WOMEN - ROUND 2,Poland U17 W,France U17 W,0.8372093023255814,0.8837209302325582
86,17.05.2023,11:00,EUROPE,EURO U17 WOMEN - ROUND 2,Estonia U17 W,Germany U17 W,0.825,0.8372093023255814
87,17.05.2023,13:00,EUROPE,EURO U17 WOMEN - ROUND 2,Spain U17 W,Switzerland U17 W,0.7441860465116279,0.9069767441860465
88,17.05.2023,13:00,EUROPE,EURO U17 WOMEN - ROUND 2,Sweden U17 W,England U17 W,0.813953488372093,0.7906976744186046
89,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,NoPS,Ilves,0.5,0.7441860465116279
90,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,SJK,AC Oulu,0.7380952380952381,0.6904761904761905
91,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,Tampere Utd,Inter Turku,0.813953488372093,0.6666666666666666
92,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,EPS,HIFK,0.7906976744186046,0.8333333333333334
93,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,GrIFK,Gnistan,0.6976744186046512,0.7317073170731707
94,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,KaaPo,Ekenas,0.9069767441860465,0.7857142857142857
95,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,KePS,KPV Kokkola,1.0,0.6744186046511628
96,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,Mikkeli,JJK Jyvaskyla,0.813953488372093,0.7674418604651163
97,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,MyPa,KTP,0.8372093023255814,0.7906976744186046
98,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,PPJ,Mariehamn,0.75,0.7906976744186046
99,17.05.2023,13:00,FINLAND,SUOMEN CUP - 1/32-FINALS,Jazz Pori,HJS,0.8604651162790697,0.7906976744186046
100,17.05.2023,13:00,FINLAND,SUOMEN CUP - 1/32-FINALS,Kyparamaki,Lahti,1.0,0.7906976744186046
101,17.05.2023,13:00,FINLAND,SUOMEN CUP - 1/32-FINALS,NuPS,JaPS,0.9259259259259259,0.7906976744186046
102,17.05.2023,13:00,FINLAND,SUOMEN CUP - 1/32-FINALS,OLS Oulu,OTP,0.7209302325581395,0.7906976744186046
103,17.05.2023,13:00,FINLAND,SUOMEN CUP - 1/32-FINALS,VIFK,Rovaniemi,0.7209302325581395,0.813953488372093
104,17.05.2023,13:15,FINLAND,SUOMEN CUP - 1/32-FINALS,HooGee,Ponnistajat,1.0,0.6666666666666666
105,17.05.2023,14:00,FINLAND,SUOMEN CUP - 1/32-FINALS,TuPS,KaPa,0.6666666666666666,0.875
106,17.05.2023,06:00,GERMANY,JUNIOREN BUNDESLIGA PLAY OFFS - LOSERS STAGE - ROUND 2,Karlsruher SC U19,St. Pauli U19,0.7906976744186046,0.8372093023255814
107,17.05.2023,11:00,GERMANY,JUNIOREN BUNDESLIGA PLAY OFFS - WINNERS STAGE - ROUND 5,Bayern U19,Leverkusen U19,0.813953488372093,0.8571428571428571
108,17.05.2023,11:00,GREECE,GAMMA ETHNIKI - PROMOTION PLAY-OFFS - ROUND 2,Aiolikos,Tilikratis L.,0.6896551724137931,0.75
109,17.05.2023,11:00,GREECE,GAMMA ETHNIKI - PROMOTION PLAY-OFFS - ROUND 2,Kozani FC,Kampaniakos,0.6896551724137931,0.6551724137931034
110,17.05.2023,14:00,GUATEMALA,LIGA NACIONAL - CLAUSURA - PLAY OFFS - SEMI-FINALS,Guastatoya,Xelaju,0.5813953488372093,0.6585365853658537
111,17.05.2023,16:15,ICELAND,ICELANDIC CUP - 1/8-FINALS,Hafnarfjordur,Njardvik,0.7441860465116279,0.8372093023255814
112,17.05.2023,10:30,IRAQ,SUPER LEAGUE - ROUND 29,Al-Qassim,Karbala,0.7906976744186046,0.5853658536585366
113,17.05.2023,10:30,IRAQ,SUPER LEAGUE - ROUND 29,Newroz,Naft Missan,0.6666666666666666,0.6190476190476191
114,17.05.2023,15:30,IRAQ,SUPER LEAGUE - ROUND 29,Al Najaf,Al Kahraba,0.6744186046511628,0.6744186046511628
115,17.05.2023,13:40,ISRAEL,LEUMIT LEAGUE - RELEGATION - FINAL,Nof Hagalil,Hapoel Kfar Shalem,0.6744186046511628,0.7441860465116279
116,17.05.2023,10:00,ITALY,SERIE D - WINNERS STAGE,Giana Erminio,ASD Pineto Calcio,0.6976744186046512,0.5581395348837209
117,17.05.2023,11:00,ITALY,SERIE D - WINNERS STAGE,Brindisi,Catania,0.7209302325581395,0.6976744186046512
118,17.05.2023,11:00,ITALY,SERIE D - WINNERS STAGE,Legnago Salus,Lumezzane,0.6511627906976745,0.6904761904761905
119,17.05.2023,07:00,ITALY,PRIMAVERA 1 - ROUND 32,AS Roma U19,Cagliari U19,0.7906976744186046,0.813953488372093
120,17.05.2023,09:00,ITALY,PRIMAVERA 1 - ROUND 32,Atalanta U19,Bologna U19,0.7674418604651163,0.8837209302325582
121,17.05.2023,09:00,ITALY,PRIMAVERA 1 - ROUND 32,Frosinone U19,Juventus U19,0.675,0.7441860465116279
122,17.05.2023,11:00,ITALY,PRIMAVERA 1 - ROUND 32,Napoli U19,Fiorentina U19,0.7209302325581395,0.6666666666666666
123,17.05.2023,11:00,ITALY,PRIMAVERA 1 - ROUND 32,Verona U19,AC Milan U19,0.6976744186046512,0.6744186046511628
124,17.05.2023,13:00,ITALY,PRIMAVERA 1 - ROUND 32,Inter U19,Sampdoria U19,0.7674418604651163,0.7674418604651163
125,17.05.2023,01:30,JAPAN,J2 LEAGUE - ROUND 16,Montedio Yamagata,Oita Trinita,0.7906976744186046,0.7906976744186046
126,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Blaublitz,Kofu,0.5348837209302325,0.7441860465116279
127,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Chiba,Shimizu S-Pulse,0.5813953488372093,0.7674418604651163
128,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Fujieda MYFC,Iwata,0.7674418604651163,0.6744186046511628
129,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Iwaki,Omiya Ardija,0.6046511627906976,0.627906976744186
130,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Kumamoto,Vegalta Sendai,0.7906976744186046,0.6046511627906976
131,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Kusatsu,Mito,0.6744186046511628,0.5813953488372093
132,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Machida,Renofa Yamaguchi,0.813953488372093,0.6976744186046512
133,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Tochigi SC,Verdy,0.5116279069767442,0.5348837209302325
134,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,Tokushima,Kanazawa,0.5581395348837209,0.8604651162790697
135,17.05.2023,07:00,JAPAN,J2 LEAGUE - ROUND 16,V-Varen Nagasaki,Okayama,0.7441860465116279,0.627906976744186
136,17.05.2023,12:00,JORDAN,SHIELD CUP - ROUND 2,Al Jalil,Al Ahli,0.6666666666666666,0.6511627906976745
137,17.05.2023,15:30,JORDAN,SHIELD CUP - ROUND 2,Al Ramtha,Shabab Al Ordon,0.7209302325581395,0.7209302325581395
138,17.05.2023,08:30,KYRGYZSTAN,PREMIER LIGA - ROUND 9,Muras United,Alay Osh,0.75,0.5365853658536586
139,17.05.2023,11:00,LATVIA,OPTIBET VIRSLIGA - ROUND 13,Tukums 2000,Valmiera,0.8536585365853658,0.813953488372093
140,17.05.2023,12:00,LATVIA,OPTIBET VIRSLIGA - ROUND 13,FK Liepaja,RFS,0.7894736842105263,0.7674418604651163
141,17.05.2023,14:00,LIECHTENSTEIN,LIECHTENSTEIN CUP - FINAL,Balzers,Vaduz,0.813953488372093,0.6046511627906976
142,17.05.2023,13:15,MALI,PREMIERE DIVISION - ROUND 17,Black Stars,Onze Createurs,0.6,0.4230769230769231
143,17.05.2023,13:15,MALI,PREMIERE DIVISION - ROUND 17,Korofina,Stade Malien,0.6,0.3333333333333333
144,17.05.2023,22:00,MEXICO,LIGA DE EXPANSION MX - CLAUSURA - PLAY OFFS - FINAL,Atl. Morelia,Tapatio,0.5813953488372093,0.6976744186046512
145,17.05.2023,02:00,MONGOLIA,PREMIER LEAGUE - ROUND 21,Ulaanbaatar City,BCH Lions,0.7857142857142857,0.9302325581395349
146,17.05.2023,05:00,MONGOLIA,PREMIER LEAGUE - ROUND 21,Khoromkhon,Khaan Khuns-Erchim,0.775,0.7441860465116279
147,17.05.2023,19:00,PARAGUAY,PRIMERA DIVISION - APERTURA - ROUND 18,Sp. Luqueno,Cerro Porteno,0.6511627906976745,0.7441860465116279
148,17.05.2023,21:30,PARAGUAY,PRIMERA DIVISION - APERTURA - ROUND 18,Tacuary,Guarani,0.6744186046511628,0.6744186046511628
149,17.05.2023,17:00,PERU,LIGA 1 - APERTURA - ROUND 8,Carlos Mannucci,Cajamarca,0.5714285714285714,0.6428571428571429
150,17.05.2023,21:00,PERU,LIGA 1 - APERTURA - ROUND 6,Binacional,Sporting Cristal,0.6666666666666666,0.5952380952380952
151,17.05.2023,13:30,RUSSIA,RUSSIAN CUP - REGIONS PATH - PLAY OFFS - FINAL,Krasnodar,Ural,0.7906976744186046,0.627906976744186
152,17.05.2023,13:25,SAUDI ARABIA,DIVISION 1 - ROUND 32,Al Arabi,Al Ain,0.6470588235294118,0.6046511627906976
153,17.05.2023,13:25,SAUDI ARABIA,DIVISION 1 - ROUND 32,Al-Hazem,Al-Sahel,0.6976744186046512,0.627906976744186
154,17.05.2023,14:20,SAUDI ARABIA,DIVISION 1 - ROUND 32,Al-Shoalah,Al Ahli SC,0.4523809523809524,0.627906976744186
155,17.05.2023,15:35,SCOTLAND,CHAMPIONSHIP - RELEGATION - FINAL,Airdrieonians,Hamilton,0.7441860465116279,0.6976744186046512
156,17.05.2023,13:30,SERBIA,SERBIAN CUP - SEMI-FINALS,TSC,Crvena zvezda,0.6976744186046512,0.8372093023255814
157,17.05.2023,13:30,SERBIA,SERBIAN CUP - SEMI-FINALS,Vojvodina,Cukaricki,0.6511627906976745,0.7674418604651163
158,17.05.2023,11:00,SEYCHELLES,FIRST DIVISION LEAGUE - RELEGATION GROUP,Mont Fleuri,Real Maldives,0.8333333333333334,0.75
159,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Bai Bureh Warriors,FC Johansen,0.25,0.3
160,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Diamond Stars,Kallon,0.45454545454545453,0.5789473684210527
161,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,East End Lions,Freetown City,0.3333333333333333,0.5
162,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,East End Tigers,Real Republicans,0.3333333333333333,0.2
163,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Kamboi Eagles,Old Edwardians,0.2857142857142857,0.4375
164,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Lamboi,Ports Authority,0.375,0.3333333333333333
165,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Luawa,Bo Rangers,0.09090909090909091,0.6470588235294118
166,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Mighty Blackpool,SLIFA,0.2,0.3333333333333333
167,17.05.2023,13:15,SIERRA LEONE,PREMIER LEAGUE - ROUND 26,Wilberforce Strikers,Wusum Stars,0.5,0.7777777777777778
168,17.05.2023,04:00,TAIWAN,PREMIER LEAGUE - ROUND 8,Taichung,Taiwan Shihu,0.6511627906976745,0.6744186046511628
169,17.05.2023,05:00,TAIWAN,PREMIER LEAGUE - ROUND 8,Taiwan Steel,Hang Yuen,0.7209302325581395,0.627906976744186
170,17.05.2023,07:00,TAIWAN,PREMIER LEAGUE - ROUND 8,Ming Chuan University,AC Taipei,0.7906976744186046,0.8333333333333334
171,17.05.2023,08:00,TAIWAN,PREMIER LEAGUE - ROUND 8,Taipower,Taipei Deva Dragons,0.7209302325581395,0.627906976744186
172,17.05.2023,11:00,TURKEY,SUPER LIG - ROUND 34,Basaksehir,Umraniyespor,0.7142857142857143,0.7142857142857143
173,17.05.2023,14:00,TURKEY,SUPER LIG - ROUND 34,Ankaragucu,Antalyaspor,0.6190476190476191,0.6976744186046512
174,17.05.2023,14:00,TURKEY,SUPER LIG - ROUND 34,Karagumruk,Adana Demirspor,0.85,0.7560975609756098
175,17.05.2023,09:30,TURKMENISTAN,YOKARY LIGA - ROUND 7,FC Asgabat,Altyn Asyr,0.7142857142857143,0.6666666666666666
176,17.05.2023,09:30,TURKMENISTAN,YOKARY LIGA - ROUND 7,Sagadam,Merw,0.8620689655172413,0.8076923076923077
177,17.05.2023,10:00,TURKMENISTAN,YOKARY LIGA - ROUND 7,Energetik,Arkadag,0.8214285714285714,1.0
178,17.05.2023,10:15,TURKMENISTAN,YOKARY LIGA - ROUND 7,Nebitci,Ahal,0.9230769230769231,0.7692307692307693
179,17.05.2023,12:35,UNITED ARAB EMIRATES,LEAGUE CUP - SEMI-FINALS,Al Ain,Al Nasr,0.7906976744186046,0.627906976744186
180,17.05.2023,20:30,USA,MLS,Atlanta Utd,Colorado Rapids,0.7906976744186046,0.6190476190476191
181,17.05.2023,20:30,USA,MLS,Charlotte,Chicago Fire,0.8048780487804879,0.7380952380952381
182,17.05.2023,20:30,USA,MLS,Columbus Crew,Los Angeles Galaxy,0.7073170731707317,0.8095238095238095
183,17.05.2023,20:30,USA,MLS,FC Cincinnati,CF Montreal,0.6923076923076923,0.7674418604651163
184,17.05.2023,20:30,USA,MLS,Orlando City,New York City,0.627906976744186,0.6976744186046512
185,17.05.2023,20:30,USA,MLS,Philadelphia Union,DC United,0.65,0.6511627906976745
186,17.05.2023,20:30,USA,MLS,Toronto FC,New York Red Bulls,0.6744186046511628,0.6046511627906976
187,17.05.2023,21:30,USA,MLS,FC Dallas,Vancouver Whitecaps,0.6744186046511628,0.6428571428571429
188,17.05.2023,21:30,USA,MLS,Minnesota United,Houston Dynamo,0.6511627906976745,0.725
189,17.05.2023,21:30,USA,MLS,Nashville SC,Inter Miami,0.6341463414634146,0.725
190,17.05.2023,22:30,USA,MLS,Real Salt Lake,Portland Timbers,0.7674418604651163,0.7441860465116279
191,17.05.2023,23:30,USA,MLS,Los Angeles FC,Sporting Kansas City,0.6744186046511628,0.7441860465116279
192,17.05.2023,23:30,USA,MLS,Seattle Sounders,Austin FC,0.7441860465116279,0.65
193,17.05.2023,20:00,USA,USL CHAMPIONSHIP,Loudoun,New Mexico,0.7674418604651163,0.7674418604651163
194,17.05.2023,23:00,USA,USL CHAMPIONSHIP,Orange County SC,Sacramento Republic,0.9047619047619048,0.7209302325581395
195,17.05.2023,08:00,WORLD,FRIENDLY INTERNATIONAL,Denmark U16,Poland U16,0.9259259259259259,0.8235294117647058
