Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
126;01/06/2023;08:00;RUSSIA;FNL 2 - GROUP 3 - RELEGATION GROUP - ROUND 33;Peresvet;Khimki 2;12;15;4,3333;12;15;2,8667;0,8;0,8;1,6;7,2
127;01/06/2023;16:00;SCOTLAND;PREMIERSHIP - RELEGATION - FINAL;Partick Thistle;Ross County;12;15;3,2;12;15;2,9333;0,8;0,8;1,6;6,1333
128;01/06/2023;08:45;SINGAPORE;PREMIER LEAGUE;Balestier Khalsa;Lion City;14;15;5,0667;15;15;4,4;0,9333;1,0;1,9333;9,4667
129;01/06/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;GAIS;Orgryte;11;15;2,2;11;15;2,8;0,7333;0,7333;1,4666;5,0
130;01/06/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Helsingborg;Skovde AIK;9;15;2,4;12;15;2,7333;0,6;0,8;1,4;5,1333
131;01/06/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Jonkoping;Oster;11;15;3,4;11;15;2,9333;0,7333;0,7333;1,4666;6,3333
132;01/06/2023;14:00;SWEDEN;SUPERETTAN - ROUND 10;Vasteras SK;AFC Eskilstuna;12;15;2,8;12;15;2,6;0,8;0,8;1,6;5,4
133;01/06/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 10;Team TG FF;Sandvik;12;15;2,6;11;15;2,4667;0,8;0,7333;1,5333;5,0667
134;01/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 10;Nykopings;Assyriska FF;14;15;4,0;11;15;3,2;0,9333;0,7333;1,6666;7,2
135;01/06/2023;14:30;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 10;Varbergs GIF;Savedalen;12;15;3,8;11;15;3,2667;0,8;0,7333;1,5333;7,0667
136;01/06/2023;14:30;SWEDEN;ELITETTAN WOMEN - ROUND 9;Jitex W;Hacken B W;15;15;4,4;7;8;4,875;1,0;0,875;1,875;9,275
137;01/06/2023;13:00;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 8;Esperance Tunis;Ben Guerdane;8;15;1,8;11;15;2,3333;0,5333;0,7333;1,2666;4,1333
138;01/06/2023;10:00;TURKEY;TFF 3. LIG PLAY OFFS - SEMI-FINALS;Karaman;Orduspor 1967;8;15;2,1333;14;15;3,4667;0,5333;0,9333;1,4666;5,6
139;01/06/2023;21:30;USA;USL LEAGUE TWO;Brazos Valley Cavalry;Houston Sur;14;15;4,0667;10;15;3,4667;0,9333;0,6667;1,6;7,5334
140;01/06/2023;22:30;USA;USL LEAGUE TWO;Park City;CISA;11;15;2,8667;9;12;3,4167;0,7333;0,75;1,4833;6,2834
141;01/06/2023;23:00;USA;USL LEAGUE TWO;Southern California;Arizona Arsenal;13;15;3,0667;2;3;3,0;0,8667;0,6667;1,5334;6,0667
142;01/06/2023;07:00;VIETNAM;V.LEAGUE 1 - ROUND 10;Binh Duong;Thanh Hoa;14;15;2,9333;11;15;3,3333;0,9333;0,7333;1,6666;6,2666
143;01/06/2023;09:15;VIETNAM;V.LEAGUE 1 - ROUND 10;Viettel;Song Lam Nghe An;10;15;2,6;12;15;2,7333;0,6667;0,8;1,4667;5,3333
