Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
85;31/08/2023;13:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Qarabag;O. Ljubljana;38;20;43;20;1,9;1,044;2,15;1,9818;4,05;1,74;3,31;3,15;7,12;3,75;4,03;23,1;75,9
86;31/08/2023;15:45;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Aberdeen;Hacken;35;18;37;17;1,9444;1,3112;2,1765;1,723;4,1209;1,62;3,15;3,07;6,87;3,53;3,85;22,09;76,82
87;31/08/2023;16:00;WORLD;CLUB FRIENDLY WOMEN;AC Milan W;Paris SG W;46;20;42;23;2,3;1,382;1,8261;1,3401;4,1261;1,61;3,71;4,27;6,78;2,95;2,69;22,01;76,77
88;31/08/2023;15:15;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Rijeka;Lille;61;21;26;21;2,9048;2,9424;1,2381;1,1508;4,1429;1,59;4,61;6,7;5,71;1,97;1,22;21,8;75,3
89;31/08/2023;14:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Sparta Prague;D. Zagreb;51;20;33;20;2,55;1,2835;1,65;1,621;4,2;1,5;3,82;4,87;6,31;2,47;2,04;21,01;77,28
90;31/08/2023;13:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Breidablik;Struga;51;21;41;23;2,4286;1,3299;1,7826;1,614;4,2112;1,48;3,6;4,37;6,42;2,64;2,36;20,87;77,65
91;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Besiktas;Dyn. Kyiv;61;25;40;22;2,44;1,1689;1,8182;1,2662;4,2582;1,42;3,45;4,21;6,28;2,57;2,34;20,27;78,16
92;31/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;APOEL;Gent;34;21;62;23;1,619;1,2901;2,6957;2,2924;4,3147;1,34;2,16;1,75;5,84;3,61;4,86;19,56;78,25
93;31/08/2023;19:00;BRAZIL;COPA DO BRASIL U20 - 1/8-FINALS;Cruzeiro U20;America MG U20;56;21;38;23;2,6667;1,8856;1,6522;1,5772;4,3189;1,33;3,55;4,73;5,87;2,2;1,82;19,5;78,41
94;31/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Adana Demirspor;Genk;71;25;27;18;2,84;1,461;1,5;1,1667;4,34;1,3;3,7;5,26;5,55;1,95;1,47;19,23;78,06
95;31/08/2023;11:00;FINLAND;SUOMEN CUP WOMEN - SEMI-FINALS;Ilves W;KuPS W;22;20;79;24;1,1;1,546;3,2917;2,7154;4,3917;1,24;1,36;0,75;4,48;4,07;6,71;18,61;76,34
96;31/08/2023;08:30;NORWAY;NASJONAL U19 CL - LOSERS PLAY OFFS - QUARTER-FINALS;Haugesund U19;Tromso U19;37;21;56;21;1,7619;1,2688;2,6667;2,5697;4,4286;1,19;2,1;1,85;5,61;3,18;4,24;18,17;79,64
97;31/08/2023;19:15;CANADA;U SPORTS;Queens;Toronto;41;19;46;20;2,1579;2,1092;2,3;2,0761;4,4579;1,16;2,5;2,7;5,75;2,67;3,07;17,85;80,56
98;31/08/2023;14:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Sheriff Tiraspol;Klaksvik;37;20;50;19;1,85;1,5256;2,6316;1,8125;4,4816;1,13;2,09;1,94;5,51;2,98;3,92;17,57;80,32
99;31/08/2023;15:00;ICELAND;BESTA DEILD WOMEN - CHAMPIONSHIP GROUP - ROUND 1;Stjarnan W;Hafnarfjordur W;50;20;44;22;2,5;1,8841;2,0;1,7838;4,5;1,11;2,78;3,47;5,55;2,22;2,22;17,35;80,78
100;31/08/2023;14:30;ICELAND;DIVISION 1 - ROUND 20;Throttur;Grindavik;68;22;36;25;3,0909;3,4891;1,44;1,0613;4,5309;1,08;3,33;5,15;4,79;1,55;1,12;17,02;79,07
101;31/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Brann;AZ Alkmaar;55;19;36;21;2,8947;1,5181;1,7143;1,1606;4,609;1,0;2,88;4,17;4,94;1,71;1,46;16,16;80,79
102;31/08/2023;14:00;FAROE ISLANDS;1. DEILD - ROUND 21;Vikingur 2;NSI Runavik;61;21;38;22;2,9048;1,9249;1,7273;1,42;4,6321;0,97;2,83;4,11;4,89;1,68;1,45;15,93;81,0
103;31/08/2023;16:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Zrinjski;LASK;60;21;34;19;2,8571;1,5208;1,7895;1,9078;4,6466;0,96;2,74;3,91;4,9;1,72;1,54;15,77;81,28
104;31/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 22;FK Akzhayik;Kairat Almaty 2;70;25;39;20;2,8;2,3495;1,95;1,2835;4,75;0,87;2,42;3,39;4,72;1,69;1,64;14,73;82,45
105;31/08/2023;14:30;ICELAND;DIVISION 1 - ROUND 20;Fjolnir;Afturelding;56;20;47;23;2,8;1,9647;2,0435;1,3344;4,8435;0,79;2,21;3,09;4,51;1,61;1,64;13,85;83,2
106;31/08/2023;12:30;ESTONIA;MEISTRILIIGA WOMEN - ROUND 16;Flora W;Tammeka Tartu W;143;25;51;20;5,72;3,7579;2,55;2,2467;8,27;0,03;0,15;0,42;0,37;0,07;0,08;1,12;63,03
