Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
472;21/05/2023;12:00;TUNISIA;LIGUE 2 - ROUND 21;Oued Ellil;AS Marsa;24;42;0,8333;21;41;0,7073;0,5714;0,5122;1,0836;0,2927
473;21/05/2023;10:00;TURKEY;SUPER LIG - ROUND 35;Umraniyespor;Ankaragucu;30;42;1,3095;25;42;0,9524;0,7143;0,5952;1,3095;0,4252
474;21/05/2023;13:00;TURKEY;SUPER LIG - ROUND 35;Adana Demirspor;Besiktas;31;41;1,6098;34;41;1,5122;0,7561;0,8293;1,5854;0,627
475;21/05/2023;13:00;TURKEY;SUPER LIG - ROUND 35;Antalyaspor;Basaksehir;30;43;1,3721;30;42;1,2381;0,6977;0,7143;1,412;0,4984
476;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Bandirmaspor;Genclerbirligi;24;41;1,0732;31;42;1,3333;0,5854;0,7381;1,3235;0,4321
477;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Bodrumspor;Goztepe;31;43;1,186;26;40;1,075;0,7209;0,65;1,3709;0,4686
478;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Erzurumspor;Boluspor;27;41;1,2195;26;41;1,0;0,6585;0,6341;1,2926;0,4176
479;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Eyupspor;Keciorengucu;25;42;0,9048;32;42;1,1667;0,5952;0,7619;1,3571;0,4535
480;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Manisa FK;Pendikspor;25;41;1,0488;30;40;1,475;0,6098;0,75;1,3598;0,4574
481;21/05/2023;10:00;TURKEY;1. LIG - ROUND 38;Rizespor;Altinordu;28;42;1,381;29;41;1,2439;0,6667;0,7073;1,374;0,4716
482;21/05/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Metalist 1925;Metalist Kharkiv;25;44;0,8864;25;43;1,3023;0,5682;0,5814;1,1496;0,3304
483;21/05/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Rukh Lviv;Lviv;28;43;1,1163;24;39;1,0;0,6512;0,6154;1,2666;0,4007
484;21/05/2023;12:35;UNITED ARAB EMIRATES;LEAGUE CUP - SEMI-FINALS;Al Nasr;Al Ain;26;43;1,1163;33;43;1,2326;0,6047;0,7674;1,3721;0,464
485;21/05/2023;18:00;USA;NWSL WOMEN;Portland Thorns W;Chicago W;33;43;1,3488;34;43;1,3023;0,7674;0,7907;1,5581;0,6068
486;21/05/2023;19:00;USA;NWSL WOMEN;Reign W;Gotham W;28;43;1,186;26;43;1,0465;0,6512;0,6047;1,2559;0,3938
487;21/05/2023;11:30;UZBEKISTAN;SUPER LEAGUE - ROUND 11;Olympic;Neftchi Fargona;28;43;1,0698;27;41;1,122;0,6512;0,6585;1,3097;0,4288
488;21/05/2023;11:30;UZBEKISTAN;SUPER LEAGUE - ROUND 11;Turon;OKMK;22;39;0,7949;29;43;1,0233;0,5641;0,6744;1,2385;0,3804
489;21/05/2023;17:00;VENEZUELA;LIGA FUTVE - ROUND 15;Carabobo;Estudiantes Merida;21;43;0,907;33;43;1,2791;0,4884;0,7674;1,2558;0,3748
490;21/05/2023;19:15;VENEZUELA;LIGA FUTVE - ROUND 15;Mineros;Hermanos Colmenarez;35;43;1,6047;27;43;1,1628;0,814;0,6279;1,4419;0,5111
491;21/05/2023;07:00;VIETNAM;V.LEAGUE 1 - ROUND 8;Khanh Hoa;Binh Duong;23;43;0,7674;34;43;1,3256;0,5349;0,7907;1,3256;0,4229
492;21/05/2023;09:15;VIETNAM;V.LEAGUE 1 - ROUND 8;Ho Chi Minh;Cong An;27;43;1,0;23;42;0,9286;0,6279;0,5476;1,1755;0,3438
493;21/05/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Poland U16;Belgium U16;29;36;1,1944;31;43;1,3953;0,8056;0,7209;1,5265;0,5808
494;21/05/2023;09:00;WORLD;FRIENDLY INTERNATIONAL;Denmark U16;Sweden U16;27;30;1,6333;11;17;1,2353;0,9;0,6471;1,5471;0,5824
495;21/05/2023;09:00;WORLD;FRIENDLY INTERNATIONAL;Qatar U17;Vietnam U17;9;10;1,8;3;3;2,6667;0,9;1,0;1,9;0,9
496;21/05/2023;09:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Cameroon U20 W;Panama U20 W;3;3;1,6667;25;29;2,1724;1,0;0,8621;1,8621;0,8621
497;21/05/2023;13:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;France U20 W;Japan U19 W;22;34;1,2059;22;33;1,2727;0,6471;0,6667;1,3138;0,4314
498;21/05/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 10;Dynamos;Manica;17;41;0,6098;21;38;0,7632;0,4146;0,5526;0,9672;0,2291
499;21/05/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 10;Hwange;Triangle;27;43;0,9535;20;35;0,7143;0,6279;0,5714;1,1993;0,3588
500;21/05/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 10;Sheasham;CAPS Utd;6;9;1,1111;25;42;0,9762;0,6667;0,5952;1,2619;0,3968
