Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
593;04/06/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - CHAMPIONSHIP GROUP - ROUND 9;Ben Guerdane;Olympique Beja;9;15;1,0;7;15;0,6667;0,6;0,4667;1,0667
594;04/06/2023;04:30;CHINA;JIA LEAGUE - ROUND 8;Nanjing City;Jiangxi Beidamen;7;15;0,9333;9;15;0,8;0,4667;0,6;1,0667
595;04/06/2023;12:00;BULGARIA;VTORA LIGA - ROUND 34;Etar;Litex Lovech;9;15;1,0;7;15;0,6;0,6;0,4667;1,0667
596;04/06/2023;08:00;RUSSIA;FNL 2 - GROUP 3 - PROMOTION GROUP - ROUND 33;Lipetsk;Kosmos;9;15;1,2667;7;15;0,8667;0,6;0,4667;1,0667
597;04/06/2023;15:15;MALI;PREMIERE DIVISION - ROUND 22;LC Bamako;AS Police;7;15;0,9333;9;15;0,8667;0,4667;0,6;1,0667
598;04/06/2023;10:45;IRAQ;SUPER LEAGUE - ROUND 32;Al Karkh;Al Wasat;9;15;1,0667;7;15;0,5333;0,6;0,4667;1,0667
599;04/06/2023;09:30;AUSTRIA;2. LIGA - ROUND 30;St. Polten;SK Rapid Vienna (Am);9;15;0,8;7;15;0,7333;0,6;0,4667;1,0667
600;04/06/2023;10:00;NORWAY;OBOS-LIGAEN - ROUND 11;Raufoss;Fredrikstad;9;15;0,8;7;15;0,5333;0,6;0,4667;1,0667
601;04/06/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 12;Dynamos;ZPC Kariba;6;15;0,6667;10;15;1,0;0,4;0,6667;1,0667
602;04/06/2023;10:00;RUSSIA;FNL 2 - GROUP 3 - PROMOTION GROUP - ROUND 33;D. Bryansk;Kaluga;7;15;0,6667;9;15;0,9333;0,4667;0,6;1,0667
603;04/06/2023;06:30;SPAIN;TERCERA RFEF - PROMOTION PLAY OFFS - FINAL;Subiza;El Palo;10;15;1,4667;2;5;0,6;0,6667;0,4;1,0667
604;04/06/2023;12:00;SPAIN;TERCERA RFEF - PROMOTION PLAY OFFS - FINAL;L'Entregu;La Union;10;15;1,0;6;15;0,6667;0,6667;0,4;1,0667
605;04/06/2023;15:00;BRAZIL;CAMPEONATO GAUCHO 2 - ROUND 8;Gaucho;Passo Fundo;9;15;1,0667;7;15;0,4667;0,6;0,4667;1,0667
606;04/06/2023;16:00;SPAIN;LALIGA - ROUND 38;Elche;Cadiz CF;11;15;1,0;5;15;0,4667;0,7333;0,3333;1,0666
607;04/06/2023;09:15;VIETNAM;V.LEAGUE 1 - ROUND 11;Hanoi FC;Nam Dinh;8;15;0,8;8;15;0,6667;0,5333;0,5333;1,0666
608;04/06/2023;13:00;POLAND;DIVISION 2 - ROUND 34;Kotwica Kolobrzeg;Pogon Siedlce;8;15;0,8;8;15;0,9333;0,5333;0,5333;1,0666
609;04/06/2023;09:00;KENYA;PREMIER LEAGUE;KCB;Bidco United;5;15;0,5333;11;15;1,0;0,3333;0,7333;1,0666
610;04/06/2023;12:00;NORWAY;ELITESERIEN - ROUND 9;Sandefjord;Odd;11;15;1,4667;5;15;0,8;0,7333;0,3333;1,0666
