Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
39;fNP9wZP3;12/09/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 2;Jamaica;Haiti;23;19;35;21;1,3434;1,5175;2,8609;5,72;7,69;5,16;11,66;8,68;6,59;45,5;54,34
40;thurEU32;12/09/2023;13:30;EUROPE;EURO U21 - QUALIFICATION;Turkey U21;Italy U21;43;24;29;18;1,3958;1,4722;2,8681;5,68;7,93;5,53;11,67;8,36;6,16;45,33;54,49
41;WrDJ2oHs;12/09/2023;10:00;BULGARIA;BULGARIAN CUP - 1/32-FINALS;Lok. Gorna;Svoge;64;21;20;26;2,2738;0,5989;2,8727;5,65;12,86;14,62;7,7;3,39;1,01;45,23;53,89
42;KSkNlv13;12/09/2023;13:30;EUROPE;EURO U21 - QUALIFICATION;Albania U21;Romania U21;28;21;32;22;1,4394;1,4416;2,881;5,61;8,07;5,81;11,64;8,08;5,83;45,04;54,78
43;xzaGSeoT;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Belgium;Estonia;61;24;17;26;2,0401;0,8478;2,8878;5,57;11,36;11,59;9,63;4,72;2,0;44,87;54,61
44;jgktUC5a;12/09/2023;10:00;BULGARIA;BULGARIAN CUP - 1/32-FINALS;Balkan Botevgrad;Montana;51;22;22;24;1,8258;1,072;2,8977;5,51;10,07;9,19;10,79;5,91;3,17;44,64;55,06
45;GlE40bXo;12/09/2023;12:15;GERMANY;REGIONALLIGA BAYERN - ROUND 7;Schalding;Illertissen;44;22;31;20;1,625;1,275;2,9;5,5;8,94;7,26;11,4;7,02;4,47;44,59;55,19
46;YH4h25VE;12/09/2023;08:00;AUSTRALIA;NPL WESTERN AUSTRALIA - PLAY OFFS - SEMI-FINALS;Stirling Macedonia;Perth SC;25;22;44;22;1,3636;1,5455;2,9091;5,45;7,44;5,07;11,49;8,43;6,51;44,39;55,43
47;SWVvZKSc;12/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Velez Sarsfield 2;Huracan 2;48;20;34;22;1,9273;0,9977;2,925;5,37;10,34;9,97;10,32;5,35;2,67;44,02;55,59
48;C2Yrmkjj;12/09/2023;12:00;POLAND;III LIGA - GROUP III - ROUND 7;Carina Gubin;Jelenia Gora;21;20;26;20;1,7;1,225;2,925;5,37;9,12;7,75;11,18;6,57;4,03;44,02;55,77
49;zggwvGo5;12/09/2023;13:30;DENMARK;LANDSPOKAL CUP - 1/32-FINALS;Young Boys;Silkeborg;40;22;31;21;1,6948;1,2381;2,9329;5,32;9,02;7,65;11,17;6,59;4,08;43,83;55,97
50;tO3ozhS6;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Winchester;Plymouth Parkway;27;21;18;20;1,5179;1,4262;2,944;5,27;7,99;6,07;11,4;7,51;5,35;43,59;56,23
51;SfYZ2Ul4;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Alvechurch;Barwell;36;20;31;23;1,5739;1,3989;2,9728;5,12;8,05;6,34;11,26;7,16;5,01;42,94;56,87
52;zwZHYXDJ;12/09/2023;17:30;PERU;LIGA 2 - ROUND 24;Los Chankas;Comerciantes;62;21;15;16;2,1324;0,8497;2,9821;5,07;10,81;11,52;9,18;4,31;1,83;42,72;56,64
53;QFaeEp9L;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Malta;North Macedonia;26;25;27;20;1,345;1,655;3,0;4,98;6,7;4,5;11,08;8,24;6,82;42,32;57,48
54;zmGS4jKi;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Sudbury;Royston;26;20;23;20;1,625;1,375;3,0;4,98;8,09;6,57;11,12;6,85;4,71;42,32;57,51
55;jZAA35cO;12/09/2023;08:30;GEORGIA;GEORGIAN CUP - 1/8-FINALS;FC Gareji Sagarejo;Dila Gori;60;23;27;23;1,913;1,087;3,0;4,98;9,52;9,11;10,35;5,41;2,94;42,31;57,29
56;feqnDlJ8;12/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Norway U21;Latvia U21;34;15;18;23;1,9159;1,0913;3,0072;4,94;9,47;9,07;10,33;5,39;2,94;42,14;57,43
57;nesEQD84;12/09/2023;14:00;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Iraq U23;Kuwait U23;65;27;20;19;2,0721;0,9522;3,0244;4,86;10,07;10,43;9,59;4,63;2,2;41,78;57,66
58;dUz0jCg5;12/09/2023;14:00;EUROPE;EURO U21 - QUALIFICATION;Kosovo U21;Germany U21;20;18;47;20;1,1556;1,8694;3,025;4,86;5,61;3,24;10,49;9,08;8,49;41,77;57,9
59;MkywQM6s;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Spain;Cyprus;50;21;19;24;2,378;0,6577;3,0357;4,8;11,42;13,58;7,51;3,16;1,04;41,51;57,33
60;6wNbLbLC;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Norway;Georgia;54;25;30;24;1,9133;1,125;3,0383;4,79;9,17;8,77;10,31;5,39;3,03;41,46;58,16
61;dzQjanlT;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Leiston;St. Ives;47;23;28;23;1,9348;1,1087;3,0435;4,77;9,22;8,92;10,23;5,29;2,93;41,36;58,23
62;GCbDH0Jg;12/09/2023;17:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 2;Bolivia;Argentina;29;18;33;15;1,1056;1,9611;3,0667;4,66;5,15;2,85;10,1;9,13;8,96;40,85;58,71
63;thVfwF2n;12/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Barracas Central 2;Talleres Cordoba 2;26;22;36;21;1,4719;1,6071;3,079;4,6;6,77;4,98;10,88;7,39;5,94;40,56;59,19
