Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
43;10/09/2023;16:30;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Bolivar;Atletico La Cruz;27;22;19;21;1,3755;0,7706;2,1461;11,69;16,09;11,06;12,39;9,01;3,47;63,71;36,2
44;10/09/2023;12:45;SPAIN;TERCERA RFEF - GROUP 2 - ROUND 1;Lealtad;Llanes;26;20;21;22;1,2409;0,9273;2,1682;11,44;14,19;8,81;13,16;10,61;4,92;63,13;36,84
45;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 2;Sant Andreu;Cerdanyola;34;20;12;20;1,5;0,675;2,175;11,36;17,04;12,78;11,5;7,67;2,59;62,94;36,97
46;10/09/2023;12:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP C - ROUND 15;Sertanense;CD Rabo Peixe;24;22;24;22;1,2045;0,9773;2,1818;11,28;13,59;8,19;13,28;11,03;5,39;62,76;37,19
47;10/09/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - SEMI-FINALS;Athletic Club;Ferroviaria;36;23;23;21;1,354;0,8302;2,1843;11,26;15,24;10,32;12,65;9,35;3,88;62,7;37,25
48;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 13 - ROUND 1;Caravaca;Alcantarilla;29;23;9;15;1,4304;0,7565;2,187;11,23;16,06;11,48;12,15;8,49;3,21;62,62;37,29
49;10/09/2023;18:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 7;Zacapa;Guastatoya;33;23;13;21;1,3126;0,8747;2,1874;11,22;14,73;9,67;12,88;9,82;4,29;62,61;37,34
50;10/09/2023;12:30;ITALY;SERIE D - GROUP H - ROUND 1;Paganese;Barletta;39;23;18;22;1,3024;0,8874;2,1897;11,19;14,58;9,49;12,94;9,93;4,41;62,54;37,43
51;10/09/2023;15:05;ARGENTINA;PRIMERA NACIONAL - ROUND 33;All Boys;Club A. Guemes;21;21;22;22;1,3182;0,881;2,1991;11,09;14,62;9,63;12,88;9,77;4,3;62,29;37,66
52;10/09/2023;13:00;SPAIN;SEGUNDA RFEF - GROUP 1 - ROUND 2;Covadonga;Zamora;35;20;22;21;1,3512;0,8488;2,2;11,08;14,97;10,11;12,71;9,41;3,99;62,27;37,68
53;10/09/2023;13:00;TURKEY;2. LIG WHITE GROUP - ROUND 3;Bucaspor 1928;Karacabey Bld.;37;22;30;23;1,2757;0,9249;2,2006;11,07;14,13;9,01;13,07;10,24;4,74;62,26;37,68
54;10/09/2023;13:00;TURKEY;2. LIG RED GROUP - ROUND 3;24 Erzincanspor;Igdir FK;28;21;32;23;1,0797;1,1242;2,2039;11,04;11,92;6,43;13,4;12,41;6,97;62,17;37,78
55;10/09/2023;17:00;PANAMA;LPF - CLAUSURA - ROUND 8;Plaza Amador;San Francisco;32;22;16;22;1,3636;0,8409;2,2045;11,03;15,04;10,26;12,65;9,28;3,9;62,16;37,79
56;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Real SC;Olivais e Moscavide;19;21;17;24;1,2649;0,9494;2,2143;10,92;13,82;8,74;13,12;10,37;4,92;61,89;38,09
57;10/09/2023;11:00;SERBIA;SRPSKA LIGA - WEST - ROUND 4;Mihajlovac;Tutin;14;16;18;21;1,2232;0,9911;2,2143;10,92;13,36;8,17;13,24;10,83;5,36;61,88;38,08
58;10/09/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Pereira;Once Caldas;27;21;14;21;1,3333;0,881;2,2143;10,92;14,56;9,71;12,83;9,62;4,24;61,88;38,06
59;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 5 - ROUND 1;Vilassar de Mar;CF Badalona;26;23;21;21;1,0652;1,1522;2,2174;10,89;11,6;6,18;13,36;12,55;7,23;61,81;38,15
60;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 4 - ROUND 2;Linense;Betis B;22;20;30;25;1,05;1,175;2,225;10,81;11,35;5,96;13,33;12,7;7,46;61,61;38,35
61;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 3 - ROUND 1;Laredo;UC Cartes;19;21;11;22;1,4751;0,75;2,2251;10,81;15,94;11,76;11,95;8,1;3,04;61,6;38,3
62;10/09/2023;14:15;SPAIN;TERCERA RFEF - GROUP 14 - ROUND 1;Pueblonuevo;Moralo;22;22;29;21;0,8333;1,395;2,2284;10,77;8,98;3,74;12,52;15,03;10,48;61,52;38,43
63;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 1 - ROUND 1;Somozas;UD Ourense;31;21;15;21;1,2857;0,9524;2,2381;10,67;13,71;8,82;13,06;10,16;4,84;61,26;38,68
64;10/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 2;Pro Sesto;Fiorenzuola;25;21;16;21;1,2619;0,9762;2,2381;10,67;13,46;8,49;13,14;10,41;5,08;61,25;38,7
65;10/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Crotone;Turris;33;22;16;20;1,475;0,7636;2,2386;10,66;15,72;11,6;12,01;8,14;3,11;61,24;38,63
66;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 4 - ROUND 2;UCAM Murcia;El Palo;39;23;29;23;1,3043;0,9348;2,2391;10,66;13,9;9,06;12,99;9,96;4,66;61,23;38,7
67;10/09/2023;12:00;SPAIN;SEGUNDA RFEF - GROUP 1 - ROUND 2;Ourense CF;Marino de Luanco;25;23;28;22;1,1344;1,1146;2,249;10,55;11,97;6,79;13,34;11,76;6,55;60,96;39,02
68;10/09/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Heroes de Falcon;Trujillanos;45;21;11;20;1,5214;0,7274;2,2488;10,55;16,05;12,21;11,68;7,68;2,79;60,96;38,92
69;10/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Latina;Potenza;17;21;19;23;1,1656;1,1035;2,2692;10,34;12,05;7,02;13,3;11,41;6,3;60,42;39,54
70;10/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 2;Renate;Pro Vercelli;23;21;18;19;1,1792;1,0927;2,2719;10,31;12,16;7,17;13,29;11,27;6,16;60,36;39,6
71;10/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 34;Club Lujan;Midland;18;22;25;20;1,1341;1,1477;2,2818;10,21;11,58;6,57;13,29;11,72;6,72;60,09;39,86
72;10/09/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 4;Tigre Noir;Dynamik;26;17;13;21;1,5028;0,7801;2,2829;10,2;15,33;11,52;11,96;7,96;3,1;60,07;39,83
73;10/09/2023;18:00;BRAZIL;SERIE B - ROUND 27;CRB;Vitoria;32;21;22;21;1,4286;0,8571;2,2857;10,17;14,53;10,38;12,45;8,72;3,74;59,99;39,95
74;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 18 - ROUND 1;Villarrobledo;Huracan de Balazote;22;21;24;22;1,4329;0,855;2,2879;10,15;14,54;10,42;12,43;8,68;3,71;59,93;40,0
75;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Racing Rioja;CCD Alberite;21;22;12;21;1,3582;0,9448;2,303;10,0;13,58;9,22;12,83;9,44;4,46;59,53;40,42
76;10/09/2023;15:00;CHILE;SEGUNDA DIVISION - ROUND 22;General Velasquez;Osorno;24;22;18;21;1,355;0,9513;2,3063;9,96;13,5;9,15;12,84;9,48;4,51;59,44;40,48
77;10/09/2023;19:15;PANAMA;LPF - CLAUSURA - ROUND 8;Deportivo Universitario;Potros del Este;25;24;25;21;1,378;0,9286;2,3065;9,96;13,73;9,46;12,74;9,25;4,29;59,43;40,49
78;10/09/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Atletico Atlanta;Racing Cordoba;29;22;17;20;1,3591;0,9477;2,3068;9,96;13,53;9,2;12,83;9,44;4,47;59,43;40,49
79;10/09/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Deportivo Maipu;CA Estudiantes;37;21;19;22;1,4264;0,8842;2,3106;9,92;14,15;10,09;12,51;8,77;3,88;59,32;40,58
80;10/09/2023;14:00;SPAIN;SEGUNDA RFEF - GROUP 1 - ROUND 2;Compostela;Arandina;23;22;34;17;0,9345;1,3864;2,3209;9,82;9,18;4,29;12,72;13,61;9,44;59,06;40,86
81;10/09/2023;11:45;IRAN;DIVISION 1 - ROUND 2;Mes Kerman;Naft Gachsaran;23;20;19;20;1,35;0,975;2,325;9,78;13,2;8,91;12,87;9,53;4,65;58,94;41,01
82;10/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 2;AlbinoLeffe;Triestina;23;19;20;21;1,2719;1,0551;2,3271;9,76;12,41;7,89;13,1;10,3;5,43;58,89;41,06
83;10/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 2;Novara;Pro Patria;23;16;23;22;1,3097;1,0227;2,3324;9,71;12,71;8,32;13,0;9,93;5,08;58,75;41,19
84;10/09/2023;13:30;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;Pena Balsamaiso;Oyonesa;17;15;39;22;1,1803;1,153;2,3333;9,7;11,45;6,75;13,2;11,18;6,45;58,73;41,21
85;10/09/2023;14:10;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Chacarita Juniors;Ferro;35;21;24;21;1,4762;0,8571;2,3333;9,7;14,31;10,57;12,27;8,31;3,56;58,72;41,21
86;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 1 - ROUND 1;Polvorin;Estradense;27;22;18;22;1,3409;1,0;2,3409;9,62;12,9;8,65;12,9;9,62;4,81;58,5;41,41
87;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 14 - ROUND 1;Don Benito;Jerez CF;13;23;32;22;0,919;1,4229;2,3419;9,61;8,84;4,06;12,57;13,68;9,73;58,49;41,42
88;10/09/2023;17:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 10;Sp. Luqueno;Tacuary;25;21;17;22;1,4589;0,8864;2,3452;9,58;13,98;10,2;12,39;8,49;3,76;58,4;41,51
89;10/09/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 33;San Telmo;Flandria;26;21;16;22;1,46;0,8874;2,3474;9,56;13,96;10,19;12,39;8,49;3,77;58,36;41,55
90;10/09/2023;11:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 5;Zemun;BASK;45;22;20;20;1,6227;0,7273;2,35;9,54;15,48;12,56;11,26;6,94;2,52;58,3;41,57
91;10/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Togo;Cape Verde;27;18;26;25;1,25;1,1033;2,3533;9,51;11,88;7,43;13,11;10,49;5,79;58,21;41,73
92;10/09/2023;15:45;ITALY;SERIE C - GROUP A - ROUND 2;Padova;Legnago Salus;24;23;29;21;1,1646;1,1905;2,3551;9,49;11,05;6,43;13,16;11,3;6,72;58,15;41,79
93;10/09/2023;14:30;SPAIN;TERCERA RFEF - GROUP 14 - ROUND 1;Don Alvaro;CD Calamonte;23;22;17;18;1,1338;1,2222;2,3561;9,48;10,75;6,09;13,14;11,59;7,08;58,13;41,8
94;10/09/2023;16:30;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Yaracuyanos;Titanes;30;22;23;21;1,4675;0,8885;2,3561;9,48;13,91;10,21;12,36;8,42;3,74;58,12;41,78
95;10/09/2023;12:30;SPAIN;TERCERA RFEF - GROUP 16 - ROUND 1;River Ebro;Casalarreina;21;21;22;21;1,2619;1,0952;2,3571;9,47;11,95;7,54;13,09;10,37;5,68;58,1;41,85
96;10/09/2023;13:00;SPAIN;SEGUNDA RFEF - GROUP 4 - ROUND 2;Velez;Orihuela;27;22;25;20;1,1636;1,1932;2,3568;9,47;11,02;6,41;13,15;11,3;6,74;58,09;41,82
97;10/09/2023;23:10;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 2;El Salvador;Trinidad & Tobago;17;23;11;21;1,5124;0,8489;2,3613;9,43;14,26;10,79;12,11;8,0;3,4;57,99;41,91
98;10/09/2023;16:00;BRAZIL;SERIE C - SECOND STAGE - ROUND 2;Operario;EC Sao Jose;29;22;29;22;1,4091;0,9545;2,3636;9,41;13,26;9,34;12,65;8,98;4,29;57,93;42,0
99;10/09/2023;17:30;CHILE;PRIMERA B - ROUND 26;Barnechea;La Serena;28;20;22;22;1,5182;0,85;2,3682;9,37;14,22;10,79;12,09;7,96;3,38;57,81;42,08
100;10/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 2;Arzignano;Mantova;22;19;19;19;1,4211;0,9474;2,3684;9,36;13,31;9,45;12,6;8,87;4,2;57,79;42,12
101;10/09/2023;14:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 3;R. Union;Rayo Majadahonda;27;21;22;24;1,3929;0,9821;2,375;9,3;12,96;9,02;12,72;9,14;4,49;57,63;42,29
102;10/09/2023;12:30;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Anadia;Sanjoanense;26;21;24;21;1,0952;1,2857;2,381;9,25;10,13;5,55;13,02;11,89;7,64;57,48;42,44
103;10/09/2023;14:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 3;San Fernando;Cordoba;32;21;23;24;1,2619;1,122;2,3839;9,22;11,63;7,34;13,05;10,34;5,8;57,38;42,54
104;10/09/2023;13:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 13;CSKA Pomir Dushanbe;Istiqlol Dushanbe;18;22;38;22;0,7955;1,5909;2,3864;9,2;7,32;2,91;11,64;14,63;11,64;57,34;42,53
105;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 14 - ROUND 1;RCP Valverdeno;CD Coria;23;22;13;21;1,3323;1,0595;2,3918;9,15;12,19;8,12;12,91;9,69;5,13;57,19;42,74
106;10/09/2023;12:30;SPAIN;TERCERA RFEF - GROUP 11 - ROUND 1;Soller;Poblense;17;21;32;20;0,9298;1,4667;2,3964;9,1;8,46;3,94;12,42;13,35;9,79;57,06;42,84
107;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 13 - ROUND 1;Molinense;Ciudad Cieza;25;16;18;21;1,4717;0,9286;2,4003;9,07;13,35;9,82;12,39;8,42;3,91;56,96;42,92
108;10/09/2023;15:00;CHILE;PRIMERA B - ROUND 26;San Felipe;CD Santa Cruz;33;21;17;22;1,4675;0,934;2,4015;9,06;13,29;9,75;12,42;8,46;3,95;56,93;42,97
109;10/09/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Tristan Suarez;Dep. Riestra;26;22;24;23;1,2213;1,1808;2,4022;9,05;11,06;6,75;13,05;10,69;6,31;56,91;43,03
110;10/09/2023;16:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 11;Frontera;El Vigia;28;21;18;21;1,4762;0,9286;2,4048;9,03;13,33;9,84;12,38;8,38;3,89;56,85;43,07
111;10/09/2023;13:00;TURKEY;2. LIG RED GROUP - ROUND 3;Fethiyespor;Kastamonuspor;32;21;20;21;1,5714;0,8333;2,4048;9,03;14,19;11,15;11,82;7,52;3,13;56,84;43,05
112;10/09/2023;13:00;SPAIN;TERCERA RFEF - GROUP 13 - ROUND 1;Deportiva Minera;Racing Murcia;26;21;27;21;1,2857;1,119;2,4048;9,03;11,61;7,46;12,99;10,1;5,65;56,84;43,1
113;10/09/2023;15:00;MEXICO;LIGA PREMIER SERIE A - ROUND 5;Montaneses;Cafetaleros;32;21;23;21;1,4524;0,9524;2,4048;9,03;13,11;9,52;12,49;8,6;4,09;56,84;43,06
114;10/09/2023;13:30;SPAIN;TERCERA RFEF - GROUP 6 - ROUND 1;Gandia;Ilicitano;22;22;39;23;1,1087;1,3024;2,4111;8,97;9,95;5,51;12,95;11,68;7,61;56,67;43,26
115;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Lusitano FCV;Tocha;16;22;12;19;1,2847;1,134;2,4187;8,9;11,44;7,35;12,97;10,1;5,72;56,48;43,45
116;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Atletico SC;CDR Quarteirense;32;21;15;22;1,4437;0,9838;2,4275;8,83;12,74;9,2;12,54;8,68;4,27;56,26;43,63
117;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 10 - ROUND 1;Ciudad de Lucena;Cartaya;34;21;16;21;1,6667;0,7619;2,4286;8,82;14,69;12,24;11,2;6,72;2,56;56,23;43,55
118;10/09/2023;18:00;ARGENTINA;PRIMERA NACIONAL - ROUND 29;CA Mitre;Gimnasia Jujuy;29;22;18;22;1,6364;0,7955;2,4318;8,79;14,38;11,77;11,44;6,99;2,78;56,15;43,7
119;10/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 2 - ROUND 1;Gijon Industrial;Caudal Deportivo;27;21;33;23;1,1211;1,3126;2,4337;8,77;9,83;5,51;12,91;11,51;7,56;56,09;43,84
120;10/09/2023;12:30;SPAIN;SEGUNDA RFEF - GROUP 4 - ROUND 2;Marbella;Ciudad Real;65;25;25;22;1,6864;0,7482;2,4345;8,76;14,78;12,46;11,06;6,56;2,45;56,07;43,73
121;10/09/2023;13:30;SPAIN;LALIGA2 - ROUND 5;Mirandes;Andorra;29;18;26;24;1,3472;1,0972;2,4444;8,68;11,69;7,87;12,83;9,52;5,22;55,81;44,1
122;10/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 9 - ROUND 1;El Ejido;Malaga City;18;21;10;15;1,3286;1,119;2,4476;8,65;11,49;7,63;12,86;9,68;5,42;55,73;44,19
123;10/09/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 29;Aldosivi;Deportivo Madryn;27;22;22;23;1,2875;1,1601;2,4476;8,65;11,14;7,17;12,92;10,03;5,82;55,73;44,19
