Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
20;02/08/2023;15:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 14;Jarfalla;Enskede;25;13;1,9231;33;13;2,5385;4,4616
21;02/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 15;Akranes;Leiknir;32;13;2,4615;27;14;1,9286;4,3901
22;02/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;HPS W;HJK W;23;13;1,7692;32;13;2,4615;4,2307
23;02/08/2023;16:15;ICELAND;DIVISION 2 - ROUND 15;Olafsvik;IR Reykjavik;27;14;1,9286;31;14;2,2143;4,1429
24;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Vasas II;Korosladany MSK;1;1;1,0;3;1;3,0;4,0
25;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Morlautern;SpVgg Quierschied;1;1;1,0;3;1;3,0;4,0
26;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Karcagi;Tiszafuredi;2;1;2,0;2;1;2,0;4,0
27;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Tiszaujvaros;DVTK II;2;1;2,0;2;1;2,0;4,0
28;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Ujpest II;Kisvarda II;2;1;2,0;2;1;2,0;4,0
29;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Tatabanya;Zalaegerszegi II;3;1;3,0;1;1;1,0;4,0
30;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;VLS Veszprem;Haladas Zanati;2;1;2,0;2;1;2,0;4,0
31;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;SBTC;Senyo Carnifex;1;1;1,0;3;1;3,0;4,0
32;02/08/2023;14:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Baumholder;Kaiserslautern II;0;1;0,0;4;1;4,0;4,0
33;02/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 15;Thor Akureyri;Fjolnir;15;14;1,0714;35;14;2,5;3,5714
34;02/08/2023;13:30;RÉUNION;REGIONALE 1 - ROUND 16;Saint-Pauloise;Jeanne d'Arc;26;15;1,7333;23;15;1,5333;3,2666
35;02/08/2023;16:15;ICELAND;DIVISION 2 - ROUND 15;Haukar;Hottur / Huginn;22;14;1,5714;22;14;1,5714;3,1428
36;02/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 15;Fjallabyggd;Throttur Vogar;18;14;1,2857;26;14;1,8571;3,1428
37;02/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 15;Throttur;Njardvik;26;14;1,8571;18;14;1,2857;3,1428
38;02/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 15;KFG Gardabaer;Volsungur;24;14;1,7143;19;14;1,3571;3,0714
39;02/08/2023;09:00;BHUTAN;PREMIER LEAGUE;Druk Lhayul;Ugyen Academy;2;1;2,0;1;1;1,0;3,0
40;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Kecskemeti TE II;FC Dabas;0;1;0,0;3;1;3,0;3,0
41;02/08/2023;14:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Engers;RW Koblenz;3;1;3,0;0;1;0,0;3,0
42;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Paks II;MTK Budapest II;2;1;2,0;1;1;1,0;3,0
43;02/08/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;Jamaica W;Brazil W;1;2;0,5;5;2;2,5;3,0
44;02/08/2023;13:00;SLOVAKIA;4. LIGA - EAST - ROUND 2;Pavlovce n. Uhom;Sabinov;1;1;1,0;2;1;2,0;3,0
45;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Gyongyosi;REAC;1;1;1,0;2;1;2,0;3,0
46;02/08/2023;12:30;HUNGARY;NB III - NORTHEAST - ROUND 2;Cigand SE;Eger SE;2;1;2,0;1;1;1,0;3,0
47;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Raslavice;FK Cana;2;1;2,0;1;1;1,0;3,0
48;02/08/2023;08:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 4;Hong Linh Ha Tinh;Thanh Hoa;23;16;1,4375;25;16;1,5625;3,0
49;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Diefflen;Dudenhofen;3;1;3,0;0;1;0,0;3,0
50;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Poprad;Kezmarok;0;1;0,0;3;1;3,0;3,0
51;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Velky Saris;Medzev;0;1;0,0;3;1;3,0;3,0
52;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Gerlachov;Kechnec;1;1;1,0;2;1;2,0;3,0
53;02/08/2023;14:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Bitburg;Eintracht Trier;1;1;1,0;2;1;2,0;3,0
54;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Pribram;Opava;4;2;2,0;2;2;1,0;3,0
55;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Jihlava;Sigma Olomouc B;4;2;2,0;2;2;1,0;3,0
56;02/08/2023;12:00;USA;USL CHAMPIONSHIP;Loudoun;Memphis;25;23;1,087;37;20;1,85;2,937
57;02/08/2023;16:15;ICELAND;DIVISION 1 - ROUND 15;Selfoss;Aegir;23;13;1,7692;16;14;1,1429;2,9121
58;02/08/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;Huracan Las Heras;Argentino MM;20;20;1,0;38;20;1,9;2,9
59;02/08/2023;15:00;ICELAND;BESTA DEILD WOMEN - ROUND 15;Hafnarfjordur W;Thor/KA W;19;13;1,4615;18;13;1,3846;2,8461
60;02/08/2023;08:00;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 4;Nam Dinh;Cong An;14;16;0,875;31;16;1,9375;2,8125
61;02/08/2023;21:00;USA;USL LEAGUE ONE;Union Omaha;Lexington;28;19;1,4737;25;19;1,3158;2,7895
62;02/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;Vila Nova FC;Sport Recife;23;20;1,15;31;20;1,55;2,7
63;02/08/2023;20:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Douglas Haig;Sportivo Belgrano;27;20;1,35;27;21;1,2857;2,6357
64;02/08/2023;09:15;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 4;Hanoi FC;Hai Phong;25;16;1,5625;16;16;1,0;2,5625
65;02/08/2023;16:00;CHILE;PRIMERA B - ROUND 17;S. Morning;San Luis;20;19;1,0526;28;19;1,4737;2,5263
66;02/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;Juventude;Novorizontino;23;20;1,15;27;20;1,35;2,5
67;02/08/2023;21:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Santa Fe;Ind. Medellin;1;1;1,0;3;2;1,5;2,5
68;02/08/2023;05:30;VIETNAM;V.LEAGUE 2 - ROUND 14;Hoa Binh;Long An;11;13;0,8462;21;13;1,6154;2,4616
69;02/08/2023;07:00;VIETNAM;V.LEAGUE 2 - ROUND 14;BHTS Quang Nam;Phu Tho;20;13;1,5385;12;13;0,9231;2,4616
70;02/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 10;Mighty Tigers;Big Bullets;7;14;0,5;27;14;1,9286;2,4286
71;02/08/2023;19:30;BRAZIL;CAMPEONATO MINEIRO 2 - FINAL STAGE - ROUND 8;Uberlandia;Itabirito;8;7;1,1429;9;7;1,2857;2,4286
72;02/08/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 6;Santo Andre;Portuguesa;2;5;0,4;10;5;2,0;2,4
73;02/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;Guarani;Ceara;26;20;1,3;22;20;1,1;2,4
74;02/08/2023;20:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;CA Liniers;Olimpo Bahia Blanca;14;21;0,6667;34;20;1,7;2,3667
75;02/08/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Villa Mitre;Sol de Mayo;25;20;1,25;22;20;1,1;2,35
76;02/08/2023;19:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;Sportivo Las Parejas;El Linqueno;23;21;1,0952;25;20;1,25;2,3452
77;02/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 10;Moyale Barracks;Silver Strikers;11;14;0,7857;20;13;1,5385;2,3242
78;02/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 15;Grindavik;Vestri;13;14;0,9286;18;13;1,3846;2,3132
79;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Resende;Americano;12;10;1,2;11;10;1,1;2,3
80;02/08/2023;21:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;San Martin Mendoza;Ciudad Bolivar;15;21;0,7143;31;20;1,55;2,2643
81;02/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;Vitoria;ABC;31;20;1,55;13;20;0,65;2,2
82;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Olaria;Goncalense;13;10;1,3;9;10;0,9;2,2
83;02/08/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;Gimnasia y Tiro;Central Norte;21;21;1,0;23;20;1,15;2,15
84;02/08/2023;14:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Biblioteca Atenas;Sportivo Estudiantes;22;20;1,1;20;21;0,9524;2,0524
85;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Csornai;Gyor II;1;1;1,0;1;1;1,0;2,0
86;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Zizkov;Lisen;3;2;1,5;1;2;0,5;2,0
87;02/08/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Al Shorta;Al-Ittihad FC;1;2;0,5;3;2;1,5;2,0
88;02/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 15;Sindri;KV Reykjavik;15;14;1,0714;13;14;0,9286;2,0
89;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Auersmacher;Pirmasens;1;1;1,0;1;1;1,0;2,0
90;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Dorogi;Budaorsi SC;2;1;2,0;0;1;0,0;2,0
91;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Marica;Cabofriense;9;10;0,9;11;10;1,1;2,0
92;02/08/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 2;Sobrance-Sobranecko;Mladost Kalsa;0;1;0,0;2;1;2,0;2,0
93;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Szolnoki MAV;Martfui;1;1;1,0;1;1;1,0;2,0
94;02/08/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Al-Sadd;Al Ahly Tripoli;3;2;1,5;1;2;0,5;2,0
95;02/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;South Africa W;Italy W;3;2;1,5;1;2;0,5;2,0
96;02/08/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 2;Veres-Rivne;Shakhtar Donetsk;0;1;0,0;2;1;2,0;2,0
97;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Bicskei;Balatonfuredi;1;1;1,0;1;1;1,0;2,0
98;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Dunafoldvar;Dunaujvaros PASE;1;1;1,0;1;1;1,0;2,0
99;02/08/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;Independiente Chivilcoy;Def. Pronunciamiento;23;21;1,0952;18;20;0,9;1,9952
100;02/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;Londrina;Chapecoense-SC;17;20;0,85;21;19;1,1053;1,9553
101;02/08/2023;21:00;ECUADOR;SERIE B - ROUND 23;Macara;Vargas Torres;27;22;1,2273;16;22;0,7273;1,9546
102;02/08/2023;17:00;ECUADOR;SERIE B - ROUND 23;Buhos ULVR;Ind. Juniors;20;22;0,9091;22;22;1,0;1,9091
103;02/08/2023;19:00;BRAZIL;SERIE B - ROUND 21;Ituano;Tombense;18;20;0,9;20;20;1,0;1,9
104;02/08/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Santamarina;Germinal;18;20;0,9;21;21;1,0;1,9
105;02/08/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Sansinena;Circulo Deportivo;22;21;1,0476;16;20;0,8;1,8476
106;02/08/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Crucero del Norte;9 de Julio Rafaela;17;20;0,85;19;20;0,95;1,8
107;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Macae;Artsul;7;10;0,7;11;10;1,1;1,8
108;02/08/2023;16:15;ICELAND;BESTA DEILD WOMEN - ROUND 15;Keflavik W;Stjarnan W;7;13;0,5385;16;13;1,2308;1,7693
109;02/08/2023;19:00;BRAZIL;SERIE B - ROUND 21;Criciuma;Ponte Preta;23;20;1,15;12;20;0,6;1,75
110;02/08/2023;19:30;BRAZIL;CAMPEONATO MINEIRO 2 - FINAL STAGE - ROUND 8;Aymores;Boa;9;7;1,2857;3;7;0,4286;1,7143
111;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Sampaio Correa FE;America RJ;9;10;0,9;8;10;0,8;1,7
112;02/08/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;San Martin Formosa;Sarmiento Resistencia;14;21;0,6667;20;20;1,0;1,6667
113;02/08/2023;22:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Juventud Antoniana;Sol de America;12;20;0,6;22;21;1,0476;1,6476
114;02/08/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 24;Juventud Unida Universitario;Club Sportivo Penarol;15;21;0,7143;18;20;0,9;1,6143
115;02/08/2023;20:30;ARGENTINA;TORNEO FEDERAL - ROUND 24;Gimnasia E.R.;Defensores Belgrano VR;13;20;0,65;18;20;0,9;1,55
116;02/08/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Al-Hilal;Wydad;2;2;1,0;1;2;0,5;1,5
117;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Varnsdorf;Vlasim;1;2;0,5;2;2;1,0;1,5
118;02/08/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Prostejov;Sparta Prague B;2;2;1,0;1;2;0,5;1,5
119;02/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 3;Chrudim;Taborsko;1;2;0,5;2;2;1,0;1,5
120;02/08/2023;14:45;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 11;Friburguense;CEAC/Araruama;4;10;0,4;9;10;0,9;1,3
121;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Gardony Varosi;Mohacsi;1;1;1,0;0;1;0,0;1,0
122;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;Szekszardi;Majosi;0;1;0,0;1;1;1,0;1,0
123;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Hodmezovasarhely FC;Szeged II;1;1;1,0;0;1;0,0;1,0
124;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;III. Keruleti TVE;SC Sopron;1;1;1,0;0;1;0,0;1,0
125;02/08/2023;13:45;ISRAEL;TOTO CUP - ROUND 2;Hapoel Hadera;Hapoel Haifa;1;1;1,0;0;1;0,0;1,0
126;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Arminia Ludwigshafen;Karbach;0;1;0,0;1;1;1,0;1,0
127;02/08/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;Panama W;France W;0;2;0,0;2;2;1,0;1,0
128;02/08/2023;12:30;HUNGARY;NB III - SOUTHEAST - ROUND 2;Monori;BKV Elore;1;1;1,0;0;1;0,0;1,0
129;02/08/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Esperance Tunis;CS Sfaxien;1;2;0,5;0;2;0,0;0,5
130;02/08/2023;15:00;WORLD;COTIF TOURNAMENT;Real Murcia U20;Mauritania U20;0;2;0,0;1;2;0,5;0,5
131;02/08/2023;12:30;HUNGARY;NB III - NORTHWEST - ROUND 2;Gyirmot II;Puskas Academy II;0;1;0,0;0;1;0,0;0,0
132;02/08/2023;14:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 2;Gonsenheim;Waldalgesheim;0;1;0,0;0;1;0,0;0,0
133;02/08/2023;12:30;HUNGARY;NB III - SOUTHWEST - ROUND 2;PTE-PEAC;Kaposvar;0;1;0,0;0;1;0,0;0,0
134;02/08/2023;21:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 1;Comunicaciones;Real Espana;0;0;0;0;0;0;0
135;02/08/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 1;Verdes;Motagua;0;0;0;0;0;0;0
136;02/08/2023;23:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 1;Olimpia;Independiente;0;0;0;0;0;0;0
