Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
141;30/07/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 2;Yverdon;Young Boys;2;1;2,0;0;1;0,0;2,0
142;30/07/2023;18:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Guanacasteca;Saprissa;2;1;2,0;0;1;0,0;2,0
143;30/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Bohemians;Teplice;1;1;1,0;1;1;1,0;2,0
144;30/07/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 2;Sigma Olomouc B;Brno;1;1;1,0;1;1;1,0;2,0
145;30/07/2023;09:00;DENMARK;SUPERLIGA - ROUND 2;Midtjylland;Silkeborg;1;1;1,0;1;1;1,0;2,0
146;30/07/2023;11:00;DENMARK;SUPERLIGA - ROUND 2;Randers FC;Hvidovre IF;2;1;2,0;0;1;0,0;2,0
147;30/07/2023;10:00;RUSSIA;FNL - ROUND 3;Shinnik Yaroslavl;Volgar-Astrakhan;2;2;1,0;2;2;1,0;2,0
148;30/07/2023;09:00;DENMARK;1ST DIVISION - ROUND 2;Helsingor;B.93;2;1;2,0;0;1;0,0;2,0
149;30/07/2023;12:00;RUSSIA;FNL - ROUND 3;Neftekhimik;Khimki;2;2;1,0;2;2;1,0;2,0
150;30/07/2023;09:00;FINLAND;VEIKKAUSLIIGA;Haka;Lahti;13;15;0,8667;18;16;1,125;1,9917
151;30/07/2023;12:00;NORWAY;ELITESERIEN - ROUND 16;Aalesund;Stromsgodset;19;15;1,2667;11;16;0,6875;1,9542
152;30/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Herentals;CAPS Utd;14;15;0,9333;16;16;1,0;1,9333
153;30/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Tristan Suarez;CA Mitre;21;23;0,913;23;23;1,0;1,913
154;30/07/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Gimnasia Jujuy;Deportivo Madryn;21;23;0,913;23;23;1,0;1,913
155;30/07/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Ferro;Villa Dalmine;28;23;1,2174;15;23;0,6522;1,8696
156;30/07/2023;17:30;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Gimnasia L.P.;Platense;25;26;0,9615;23;26;0,8846;1,8461
157;30/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Guabira;Santa Cruz;18;18;1,0;16;19;0,8421;1,8421
158;30/07/2023;21:30;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Atletico Atlanta;Chaco For Ever;25;23;1,087;16;23;0,6957;1,7827
159;30/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;Deportivo Paraguayo;Argentino de Rosario;13;8;1,625;1;7;0,1429;1,7679
160;30/07/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Ansan Greeners;Cheonan City;19;21;0,9048;18;21;0,8571;1,7619
161;30/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Dynamos;Yadah;17;16;1,0625;11;16;0,6875;1,75
162;30/07/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 13;Ferroviario Nampula;Ferroviario Maputo;11;12;0,9167;10;12;0,8333;1,75
163;30/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Berazategui;Real Pilar;25;27;0,9259;21;26;0,8077;1,7336
164;30/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Bangwe All Stars;MAFCO;13;13;1,0;10;14;0,7143;1,7143
165;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Teungueth;Sonacos;20;25;0,8;22;25;0,88;1,68
166;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Casa;Douanes;29;25;1,16;12;25;0,48;1,64
167;30/07/2023;17:30;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Huracan;Velez Sarsfield;24;26;0,9231;17;26;0,6538;1,5769
168;30/07/2023;19:45;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;America De Cali;Dep. Pasto;1;1;1,0;1;2;0,5;1,5
169;30/07/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 13;Ferroviario Quelimane;Ferroviario Nacala;10;12;0,8333;8;12;0,6667;1,5
170;30/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Switzerland W;New Zealand W;2;2;1,0;1;2;0,5;1,5
171;30/07/2023;15:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Arsenal Sarandi;Colon Santa Fe;20;26;0,7692;16;26;0,6154;1,3846
172;30/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Triangle;GreenFuel;10;16;0,625;12;16;0,75;1,375
173;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Dakar SC;US Goree;18;25;0,72;15;25;0,6;1,32
174;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Pikine;Excellence;14;25;0,56;19;25;0,76;1,32
175;30/07/2023;14:00;SENEGAL;LIGUE 1 - ROUND 26;Jaraaf;Mbour;17;25;0,68;14;25;0,56;1,24
176;30/07/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 15;Extreme FC;Red Lions;11;14;0,7857;5;13;0,3846;1,1703
177;30/07/2023;13:45;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Ituzaingo;Colegiales;8;7;1,1429;0;6;0,0;1,1429
178;30/07/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 17;Black Rhinos;Simba Bhora;11;16;0,6875;7;16;0,4375;1,125
179;30/07/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 16;Capricorne;OCSA Leopards;8;15;0,5333;8;15;0,5333;1,0666
180;30/07/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 2;Basel;Winterthur;0;1;0,0;1;1;1,0;1,0
181;30/07/2023;21:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Grecia;Cartagines;1;1;1,0;0;1;0,0;1,0
182;30/07/2023;22:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Huila;Pereira;2;2;1,0;0;2;0,0;1,0
183;30/07/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Leones Negros;Cimarrones de Sonora;1;1;1,0;0;1;0,0;1,0
184;30/07/2023;20:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Atl. San Luis W;Necaxa W;1;2;0,5;1;2;0,5;1,0
185;30/07/2023;15:00;MONTENEGRO;PRVA CRNOGORSKA LIGA - ROUND 2;Mornar Bar;Sutjeska;1;1;1,0;0;1;0,0;1,0
186;30/07/2023;15:30;MONTENEGRO;PRVA CRNOGORSKA LIGA - ROUND 2;Arsenal Tivat;Jezero;1;1;1,0;0;1;0,0;1,0
187;30/07/2023;20:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Atlas;Toronto FC;1;1;1,0;0;1;0,0;1,0
188;30/07/2023;20:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;New York Red Bulls;Atl. San Luis;0;1;0,0;1;1;1,0;1,0
189;30/07/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 5;Comercial;Noroeste;2;4;0,5;0;4;0,0;0,5
190;30/07/2023;13:00;RUSSIA;FNL - ROUND 3;Dynamo Makhachkala;Kuban;0;2;0,0;1;2;0,5;0,5
191;30/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Norway W;Philippines W;1;2;0,5;0;2;0,0;0,5
192;30/07/2023;13:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Plzen;Hradec Kralove;0;1;0,0;0;1;0,0;0,0
193;30/07/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al-Hilal;Al-Sadd;0;1;0,0;0;1;0,0;0,0
194;30/07/2023;09:15;SWITZERLAND;SUPER LEAGUE - ROUND 2;Luzern;Lausanne Ouchy;0;1;0,0;0;1;0,0;0,0
195;30/07/2023;09:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 2;Baden;Bellinzona;0;1;0,0;0;1;0,0;0,0
196;30/07/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Wydad;Al Ahly Tripoli;0;1;0,0;0;1;0,0;0,0
197;30/07/2023;20:15;PANAMA;LPF - CLAUSURA - ROUND 2;Chiriqui;UMECIT;0;1;0,0;0;1;0,0;0,0
198;30/07/2023;01:30;WORLD;WORLD CUP WOMEN - ROUND 2;South Korea W;Morocco W;0;1;0,0;0;1;0,0;0,0
199;30/07/2023;19:00;HONDURAS;LIGA NACIONAL - APERTURA - ROUND 1;Motagua;UPNFM;0;0;0;0;0;0;0
200;30/07/2023;13:55;SERBIA;SUPER LIGA - ROUND 1;Napredak;Zeleznicar Pancevo;0;0;0;0;0;0;0
201;30/07/2023;13:30;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Club Brugge KV;KV Mechelen;0;0;0;0;0;0;0
202;30/07/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 1;LNZ Cherkasy;Ch. Odessa;0;0;0;0;0;0;0
203;30/07/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Dyn. Kyiv;Minaj;0;0;0;0;0;0;0
204;30/07/2023;13:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Oleksandriya;Kryvbas;0;0;0;0;0;0;0
205;30/07/2023;11:00;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Gent;Kortrijk;0;0;0;0;0;0;0
206;30/07/2023;08:30;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Antwerp;Cercle Brugge KSV;0;0;0;0;0;0;0
207;30/07/2023;05:30;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Reichenau;SC Imst;0;0;0;0;0;0;0
208;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Pecsi MFC;Mosonmagyarovari TE;0;0;0;0;0;0;0
209;30/07/2023;12:30;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;Ebbs;SC Kundl;0;0;0;0;0;0;0
210;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Vasas;Budafoki;0;0;0;0;0;0;0
211;30/07/2023;05:30;AUSTRIA;REGIONALLIGA WEST - TYROL - ROUND 1;Tirol (Am);Telfs;0;0;0;0;0;0;0
212;30/07/2023;12:30;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 1;Wolfsberger AC (Am);WSC Wels;0;0;0;0;0;0;0
213;30/07/2023;05:30;AUSTRIA;2. LIGA - ROUND 1;Sturm Graz (Am);St. Polten;0;0;0;0;0;0;0
214;30/07/2023;05:30;AUSTRIA;2. LIGA - ROUND 1;Floridsdorfer AC;Ried;0;0;0;0;0;0;0
215;30/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Austria Vienna;Sturm Graz;0;0;0;0;0;0;0
216;30/07/2023;14:00;ISRAEL;TOTO CUP - ROUND 1;Netanya;Hapoel Hadera;0;0;0;0;0;0;0
217;30/07/2023;13:00;ARMENIA;PREMIER LEAGUE - ROUND 1;Ararat Yerevan;Ararat-Armenia;0;0;0;0;0;0;0
218;30/07/2023;11:00;ARMENIA;PREMIER LEAGUE - ROUND 1;BKMA;Urartu;0;0;0;0;0;0;0
219;30/07/2023;18:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 1;Sport Sebaco;Jalapa;0;0;0;0;0;0;0
220;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Kozarmisleny SE;Tiszakecske;0;0;0;0;0;0;0
221;30/07/2023;14:15;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;St. Truiden;St. Liege;0;0;0;0;0;0;0
222;30/07/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 1;Kazincbarcikai;Szeged;0;0;0;0;0;0;0
223;30/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Beltinci;Primorje;0;0;0;0;0;0;0
224;30/07/2023;13:55;SERBIA;SUPER LIGA - ROUND 1;Novi Pazar;Radnicki 1923;0;0;0;0;0;0;0
