Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
52;23/08/2023;15:45;SCOTLAND;LOWLAND LEAGUE;East Stirlingshire;Stirling University;14;20;18;20;0,7;0,9;1,6;1,3;1,1;1,75;1,26;3,05
53;23/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 23;Loco. Tbilisi;Khobi;16;20;16;20;0,8;0,8;1,6;1,5;1,1619;1,55;1,0712;3,05
54;23/08/2023;14:00;WORLD;CLUB FRIENDLY;Tienen (Bel);Hasselt (Bel);15;20;17;20;0,75;0,85;1,6;1,15;0,8529;1,55;0,9206;2,7
55;23/08/2023;14:30;SCOTLAND;SWPL 1 WOMEN - ROUND 3;Hearts W;Rangers W;18;20;14;20;0,9;0,7;1,6;1,35;0,9097;1,4;1,4629;2,75
56;23/08/2023;14:30;SWITZERLAND;1.LIGA CLASSIC GROUP 3;Grasshopper II;Linth;16;20;16;20;0,8;0,8;1,6;1,8;1,3266;1,55;1,0712;3,35
57;23/08/2023;15:00;SWITZERLAND;1.LIGA CLASSIC GROUP 3;Mendrisio;Tuggen;15;20;17;20;0,75;0,85;1,6;1,35;1,0618;1,3;0,9539;2,65
58;23/08/2023;13:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;Trollhattan;Landskrona;17;20;15;20;0,85;0,75;1,6;1,6;0,9695;1,2;1,077;2,8
59;23/08/2023;12:00;BULGARIA;THIRD LEAGUE - NORTH-EAST - ROUND 3;Cherno More II;Spartak II;17;20;15;20;0,85;0,75;1,6;1,5;0,9747;1,3;1,005;2,8
60;23/08/2023;13:00;NORWAY;TOPPSERIEN WOMEN - ROUND 9;Avaldsnes W;Stabaek W;14;20;18;20;0,7;0,9;1,6;1,3;1,1874;1,45;0,8047;2,75
61;23/08/2023;12:30;POLAND;III LIGA - GROUP I - ROUND 4;Mlawa;GKS Belchatow;17;20;15;20;0,85;0,75;1,6;1,9;1,261;1,35;1,1079;3,25
62;23/08/2023;13:00;CZECH REPUBLIC;DIVISION C - ROUND 1;Caslav;Trutnov;14;20;18;20;0,7;0,9;1,6;1,45;1,4309;2,0;1,1832;3,45
63;23/08/2023;20:00;USA;USL CHAMPIONSHIP;Hartford Athletic;Pittsburgh;18;20;14;20;0,9;0,7;1,6;1,65;1,0618;1,05;0,8646;2,7
64;23/08/2023;13:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;Sandviken;Djurgarden;18;20;14;20;0,9;0,7;1,6;1,65;1,0618;1,15;0,9631;2,8
65;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Nova Dedinka;Galanta;14;20;17;20;0,7;0,85;1,55;1,0;0,7746;1,8;1,1662;2,8
66;23/08/2023;13:30;WORLD;CLUB FRIENDLY WOMEN;Athletic Bilbao W (Esp);Madrid C. W (Esp);13;20;18;20;0,65;0,9;1,55;1,2;1,3638;1,8;1,077;3,0
67;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA SOUTH - ROUND 3;Augsburg U19;Furth U19;15;20;16;20;0,75;0,8;1,55;1,7;1,4866;1,65;1,2359;3,35
68;23/08/2023;12:30;POLAND;III LIGA - GROUP I - ROUND 4;Grodzisk M.;Warta Sieradz;16;20;15;20;0,8;0,75;1,55;1,0;0,7071;1,45;1,3955;2,45
69;23/08/2023;14:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;IFK Stocksund;Sundsvall;16;20;15;20;0,8;0,75;1,55;1,4;0,9695;1,2;1,077;2,6
70;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;Hannover U19;Meppen U19;16;20;15;20;0,8;0,75;1,55;1,8;1,2083;1,5;1,0724;3,3
71;23/08/2023;11:30;NORTH MACEDONIA;1. MFL - ROUND 4;Makedonija GP;Shkupi;17;20;14;20;0,85;0,7;1,55;1,5;1,118;1,0;0,8367;2,5
72;23/08/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 3;Ararat-Armenia;Pyunik Yerevan;16;20;15;20;0,8;0,75;1,55;1,4;1,0677;1,15;0,7921;2,55
73;23/08/2023;16:00;WORLD;CLUB FRIENDLY WOMEN;Atl. Madrid W (Esp);River Plate W (Arg);16;20;15;20;0,8;0,75;1,55;1,05;0,7399;1,15;0,8529;2,2
74;23/08/2023;22:30;USA;US OPEN CUP - SEMI-FINALS;Houston Dynamo;Real Salt Lake;16;20;15;20;0,8;0,75;1,55;1,6;1,241;1,3;1,005;2,9
75;23/08/2023;13:30;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;Smedby;Malmo FF;15;20;16;20;0,75;0,8;1,55;1,2;1,077;1,4;1,0677;2,6
76;23/08/2023;14:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Salkova;MSK Martin;16;20;15;20;0,8;0,75;1,55;1,9;1,5133;1,6;1,2;3,5
77;23/08/2023;22:06;MEXICO;LIGA MX - APERTURA - ROUND 5;Pachuca;Cruz Azul;16;20;15;20;0,8;0,75;1,55;1,55;1,2835;1,0;0,7746;2,55
78;23/08/2023;15:00;SWITZERLAND;1.LIGA CLASSIC GROUP 2;Koniz;Dietikon;14;20;17;20;0,7;0,85;1,55;1,4;1,241;2,15;1,6515;3,55
79;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Devinska N. Ves;Malacky;14;20;17;20;0,7;0,85;1,55;1,3;1,0536;1,55;1,1608;2,85
80;23/08/2023;11:00;POLAND;III LIGA - GROUP I - ROUND 4;LKS Lomza;Sulejowek;14;20;17;20;0,7;0,85;1,55;1,3;1,2689;1,25;0,8292;2,55
81;23/08/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;The Strongest;Royal Pari;16;20;15;20;0,8;0,75;1,55;1,2;0,9798;1,45;1,244;2,65
82;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;Vrbove;Trencin;13;20;18;20;0,65;0,9;1,55;1,15;1,1948;1,7;0,9;2,85
83;23/08/2023;09:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;Zvyagel;Obolon;17;20;14;20;0,85;0,7;1,55;1,65;1,3519;1,05;1,1169;2,7
84;23/08/2023;14:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Municipal Turrialba;CS Uruguay;16;20;15;20;0,8;0,75;1,55;1,35;1,0137;1,3;1,0536;2,65
85;23/08/2023;22:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Guadalupe;Limon Black Star;16;20;15;20;0,8;0,75;1,55;1,5;1,0724;1,45;1,1169;2,95
86;23/08/2023;12:00;WORLD;CLUB FRIENDLY WOMEN;PSV W (Ned);Duisburg W (Ger);17;20;14;20;0,85;0,7;1,55;1,7;1,2288;1,55;1,3592;3,25
87;23/08/2023;14:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;IK Zenith;Goteborg;15;18;14;20;0,8333;0,7;1,5333;1,6667;1,3744;1,0;0,8367;2,6667
88;23/08/2023;12:30;POLAND;III LIGA - GROUP I - ROUND 4;Pilica Bialobrzegi;Legionowo;15;20;15;20;0,75;0,75;1,5;1,45;1,1608;1,25;0,9421;2,7
89;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;Wisloka Debica;Avia Swidnik;16;20;14;20;0,8;0,7;1,5;1,3;1,005;1,2;1,2083;2,5
90;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;Unia Tarnow;Wiazownica;15;20;15;20;0,75;0,75;1,5;1,2;0,8124;1,15;0,9097;2,35
91;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;Sokol Sieniawa;Orleta Radzyn;15;20;15;20;0,75;0,75;1,5;1,5;1,2042;1,5;1,1619;3,0
92;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;Ostrowiec Swietokrzyski;Biala Podlaska;15;20;15;20;0,75;0,75;1,5;1,15;0,9097;1,55;1,2835;2,7
93;23/08/2023;13:00;POLAND;III LIGA - GROUP II - ROUND 4;Vineta W.;Solec Kujawski;16;20;14;20;0,8;0,7;1,5;1,55;1,1169;1,0;0,8367;2,55
94;23/08/2023;12:30;POLAND;III LIGA - GROUP II - ROUND 4;Sroda;Elana Torun;16;20;14;20;0,8;0,7;1,5;1,65;1,1522;1,05;0,8646;2,7
95;23/08/2023;12:30;POLAND;III LIGA - GROUP III - ROUND 4;Stilon Gorzow;Jelenia Gora;15;20;15;20;0,75;0,75;1,5;1,45;1,1608;1,55;1,2031;3,0
96;23/08/2023;13:00;NORWAY;OBOS-LIGAEN - ROUND 20;Raufoss;Sogndal;15;20;15;20;0,75;0,75;1,5;1,15;0,9631;1,2;0,9274;2,35
97;23/08/2023;16:00;SCOTLAND;LOWLAND LEAGUE;Cumbernauld Colts;Gretna 2008;14;20;16;20;0,7;0,8;1,5;1,2;1,0296;1,75;1,4448;2,95
98;23/08/2023;13:00;NORWAY;OBOS-LIGAEN - ROUND 20;Skeid;Ranheim;15;20;15;20;0,75;0,75;1,5;1,3;0,9539;1,5;1,2042;2,8
99;23/08/2023;13:00;NORWAY;OBOS-LIGAEN - ROUND 20;Start;Asane;14;20;16;20;0,7;0,8;1,5;1,0;1,0;1,45;0,9734;2,45
100;23/08/2023;12:00;SLOVAKIA;SLOVAK CUP - 1/64-FINALS;K. Nove Mesto;SK Javornik Makov;14;20;16;20;0,7;0,8;1,5;0,95;0,8047;1,8;1,4;2,75
101;23/08/2023;13:00;NORWAY;OBOS-LIGAEN - ROUND 20;Mjondalen;Jerv;16;20;14;20;0,8;0,7;1,5;1,7;1,3454;1,2;1,077;2,9
102;23/08/2023;11:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Mashuk;Biolog;16;20;14;20;0,8;0,7;1,5;1,25;0,9421;1,1;0,8888;2,35
103;23/08/2023;12:00;CZECH REPUBLIC;MORAVSKOSLEZSKY KP - ROUND 1;Vresina;Cesky Tesin;14;20;16;20;0,7;0,8;1,5;1,55;1,4654;1,7;1,5843;3,25
104;23/08/2023;13:00;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;Hertha U19;Union Berlin U19;15;20;15;20;0,75;0,75;1,5;1,6;1,4283;1,9;1,4107;3,5
105;23/08/2023;21:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Cartagena;Atletico F.C.;14;20;16;20;0,7;0,8;1,5;1,25;0,9937;1,6;1,241;2,85
106;23/08/2023;21:00;USA;USL CHAMPIONSHIP;Memphis;Indy Eleven;16;20;14;20;0,8;0,7;1,5;1,8;1,5684;0,8;0,6;2,6
107;23/08/2023;13:00;TANZANIA;LIGI KUU BARA - ROUND 1;Young Africans;Kinondoni MC;14;20;16;20;0,7;0,8;1,5;0,95;0,7399;1,0;0,6325;1,95
108;23/08/2023;05:00;CHINA;SUPER LEAGUE WOMEN - ROUND 13;Changchun Dazhong W;Shanghai RCB W;13;20;17;20;0,65;0,85;1,5;1,2;1,1662;1,6;1,0198;2,8
109;23/08/2023;11:30;CZECH REPUBLIC;DIVISION D - ROUND 1;Breclav;Brno B;14;20;16;20;0,7;0,8;1,5;1,6;1,5297;1,55;1,0712;3,15
110;23/08/2023;12:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - FBIH - ROUND 1;Gradacac;Tomislav;16;20;14;20;0,8;0,7;1,5;1,65;1,2359;1,0;0,7746;2,65
111;23/08/2023;06:00;AUSTRALIA;NPL NSW - ROUND 30;Sydney Olympic;Sydney Utd;16;20;14;20;0,8;0,7;1,5;1,55;1,2835;1,15;1,0618;2,7
112;23/08/2023;10:00;TURKMENISTAN;YOKARY LIGA - ROUND 15;Sagadam;Altyn Asyr;17;20;13;20;0,85;0,65;1,5;1,65;1,3519;1,15;1,1079;2,8
113;23/08/2023;08:30;ASIA;AFC CUP - QUALIFICATION - PLAY OFFS - FINAL;Tampines (Sgp);Phnom Penh Crown (Cam);14;20;16;20;0,7;0,8;1,5;1,35;1,4239;1,95;1,9615;3,3
114;23/08/2023;11:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Kvant;Kaluga;17;20;13;20;0,85;0,65;1,5;1,75;1,4098;1,45;1,6576;3,2
115;23/08/2023;12:00;FINLAND;SUOMEN CUP - SEMI-FINALS;Honka;Mariehamn;14;20;16;20;0,7;0,8;1,5;1,15;1,0137;1,35;0,9631;2,5
116;23/08/2023;07:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;Livyi Bereg;Ch. Odessa;16;20;14;20;0,8;0,7;1,5;1,15;0,7921;1,3;1,1874;2,45
117;23/08/2023;14:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;Husqvarna;Trelleborg;15;20;15;20;0,75;0,75;1,5;1,35;1,0618;1,45;1,2031;2,8
118;23/08/2023;13:00;WORLD;CLUB FRIENDLY WOMEN;Bayern Munich W (Ger);Hoffenheim W (Ger);15;20;15;20;0,75;0,75;1,5;1,8;1,9647;1,65;1,4239;3,45
119;23/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Boca Juniors 2;Sarmiento Junin 2;12;20;18;20;0,6;0,9;1,5;1,0;1,0954;1,45;0,9206;2,45
120;23/08/2023;12:30;CZECH REPUBLIC;CFL - GROUP B - ROUND 1;Chlumec nad Cidlinou;Teplice B;15;20;15;20;0,75;0,75;1,5;1,2;0,8124;1,4;1,0677;2,6
121;23/08/2023;12:00;CZECH REPUBLIC;MOL CUP - 1/64-FINALS;Usti nad Orlici;Zizkov;14;20;16;20;0,7;0,8;1,5;1,45;1,1608;1,45;1,0712;2,9
122;23/08/2023;14:00;DENMARK;1ST DIVISION - ROUND 6;Sonderjyske;Koge;13;20;17;20;0,65;0,85;1,5;1,4;1,2;1,55;0,9734;2,95
123;23/08/2023;13:00;FINLAND;SUOMEN CUP - SEMI-FINALS;Ilves;AC Oulu;12;20;18;20;0,6;0,9;1,5;0,95;0,9734;1,2;0,6782;2,15
124;23/08/2023;17:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 6;Escorpiones;Ad Aserri;15;20;14;20;0,75;0,7;1,45;1,55;1,2031;1,0;0,7746;2,55
125;23/08/2023;12:30;POLAND;III LIGA - GROUP I - ROUND 4;T. Mazowiecki;Pelikan;15;20;14;20;0,75;0,7;1,45;1,2;0,8718;1,15;0,9631;2,35
126;23/08/2023;14:00;WORLD;CLUB FRIENDLY;Gijon B (Esp);Real Aviles (Esp);15;20;14;20;0,75;0,7;1,45;1,3;1,0536;0,85;0,6538;2,15
127;23/08/2023;11:00;UKRAINE;UKRAINIAN CUP - 1/16-FINALS;Viktoria;LNZ Cherkasy;15;20;14;20;0,75;0,7;1,45;0,9;0,7;1,1;0,995;2,0
128;23/08/2023;22:00;USA;USL CHAMPIONSHIP;New Mexico;Oakland Roots;16;20;13;20;0,8;0,65;1,45;1,35;0,9631;1,05;1,0712;2,4
129;23/08/2023;12:00;POLAND;III LIGA - GROUP III - ROUND 4;Zielona Gora;Bielsko-Biala;11;20;18;20;0,55;0,9;1,45;1,1;1,1358;1,9;1,0909;3,0
130;23/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 4;KS Wieczysta Krakow;Chelmianka Chelm;16;20;13;20;0,8;0,65;1,45;1,45;1,0235;1,25;1,0897;2,7
131;23/08/2023;08:00;ASIA;AFC CUP - QUALIFICATION - PLAY OFFS - FINAL;PSM Makassar (Ina);Yangon Utd (Mya);14;20;15;20;0,7;0,75;1,45;1,1;0,9434;1,7;1,4866;2,8
132;23/08/2023;13:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Trnava (Svk);Dnipro-1 (Ukr);15;20;14;20;0,75;0,7;1,45;1,15;0,9631;1,2;1,0296;2,35
133;23/08/2023;07:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Dynamo Barnaul;FK Novosibirsk;17;20;12;20;0,85;0,6;1,45;1,3;0,9;1,05;1,1169;2,35
134;23/08/2023;13:00;RUSSIA;RUSSIAN CUP - REGIONS PATH - 1/16-FINALS;Dynamo Petersburg;Zvezda St. Peterburg;14;20;15;20;0,7;0,75;1,45;1,1;0,9434;1,6;1,3191;2,7
135;23/08/2023;16:00;EUROPE;CHAMPIONS LEAGUE - QUALIFICATION - FINAL;Molde (Nor);Galatasaray (Tur);13;20;16;20;0,65;0,8;1,45;1,35;1,2359;1,65;1,4586;3,0
136;23/08/2023;12:30;CZECH REPUBLIC;DIVISION B - ROUND 1;Meteor Prague;Brandys n. Labem;15;20;14;20;0,75;0,7;1,45;1,75;1,7571;1,6;1,3565;3,35
137;23/08/2023;13:30;GERMANY;JUNIOREN BUNDESLIGA NORTH - ROUND 3;RB Leipzig U19;Wolfsburg U19;16;20;13;20;0,8;0,65;1,45;1,75;1,5452;1,15;1,0618;2,9
138;23/08/2023;13:00;NORWAY;OBOS-LIGAEN - ROUND 20;Bryne;Moss;14;20;15;20;0,7;0,75;1,45;1,25;1,0428;1,0;0,7746;2,25
