Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;08/09/2023;04:00;ROMANIA;LIGA 1 WOMEN - ROUND 3;Politehnica Timisoara W;CSM Alexandria W;114;22;65;22;3,5909;1,8864;2,7386;0,42;1,5;2,7;2,83;0,79;0,74;8,98;83,46
2;08/09/2023;12:30;CZECH REPUBLIC;KARLOVARSKY KP - ROUND 4;Citice;Chodov;61;23;50;21;2,4451;3,0383;2,7417;0,42;1,02;1,24;3,09;1,26;1,92;8,95;86,28
3;08/09/2023;22:00;ARGENTINA;TORNEO FEDERAL - ROUND 29;Juventud Antoniana;Gimnasia y Tiro;22;20;12;22;1,0273;0,5977;0,8125;19,69;20,23;10,39;12,09;11,77;3,52;77,69;22,3
4;08/09/2023;13:00;BURKINA FASO;PREMIER LEAGUE - ROUND 2;Bobo-Dioulasso;Kadiogo;29;21;10;19;1,0326;0,6917;0,8622;17,83;18,41;9,51;12,74;12,33;4,27;75,09;24,86
5;08/09/2023;21:40;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Dep. Pasto;Jaguares de Cordoba;26;22;9;21;1,2814;0,5325;0,9069;16,3;20,89;13,38;11,12;8,68;2,31;72,68;27,27
6;08/09/2023;10:30;DR CONGO;LIGUE 1 - ROUND 1;Sanga Balende;Don Bosco;24;22;18;22;1,0455;0,9091;0,9773;14,16;14,81;7,74;13,46;12,88;5,85;68,9;31,06
7;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Marignane;Nancy;19;22;22;20;1,0318;0,9364;0,9841;13,97;14,42;7,44;13,5;13,08;6,12;68,53;31,44
8;08/09/2023;11:30;SPAIN;TERCERA RFEF - GROUP 6 - ROUND 1;Villarreal C;Roda;33;20;15;22;1,1659;0,8159;0,9909;13,78;16,07;9,37;13,11;11,24;4,59;68,16;31,81
9;08/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 2;Vis Pesaro;Olbia;11;19;23;21;0,8371;1,1529;0,995;13,67;11,44;4,79;13,19;15,76;9,08;67,93;32,0
10;08/09/2023;18:00;BRAZIL;SERIE B - ROUND 27;Ituano;Vila Nova FC;25;20;22;22;1,0114;1,0;1,0057;13,38;13,53;6,84;13,53;13,38;6,69;67,35;32,61
11;08/09/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 29;Sportivo Estudiantes;Club Sportivo Penarol;22;20;10;21;1,3833;0,6381;1,0107;13,25;18,32;12,67;11,69;8,45;2,7;67,08;32,84
12;08/09/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 9;Fortaleza;Patriotas;39;21;14;21;1,3571;0,6905;1,0238;12,9;17,51;11,88;12,09;8,91;3,08;66,37;33,56
13;08/09/2023;11:30;SERBIA;PRVA LIGA - ROUND 6;Vrsac;Macva;28;24;20;21;1,1786;0,8929;1,0357;12,6;14,85;8,75;13,26;11,25;5,02;65,73;34,23
14;08/09/2023;20:30;ARGENTINA;TORNEO FEDERAL - ROUND 29;Union Sunchales;Sportivo Las Parejas;21;22;21;21;1,1439;0,9318;1,0379;12,55;14,35;8,21;13,37;11,69;5,45;65,62;34,37
15;08/09/2023;20:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 1;Uruguay;Chile;26;19;20;25;1,3842;0,7158;1,05;12,25;16,95;11,73;12,13;8,77;3,14;64,97;34,98
16;08/09/2023;16:00;WORLD;FRIENDLY INTERNATIONAL;Saudi Arabia;Costa Rica;32;25;16;22;1,3218;0,7836;1,0527;12,18;16,1;10,64;12,62;9,54;3,74;64,82;35,13
17;08/09/2023;06:00;WORLD;CLUB FRIENDLY;Ruch Chorzow;Piast Gliwice;33;23;28;23;1,0435;1,0652;1,0543;12,14;12,67;6,61;13,49;12,93;6,89;64,73;35,23
18;08/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Mali;South Sudan;32;21;12;24;1,6994;0,4167;1,058;12,05;20,48;17,4;8,53;5,02;1,05;64,53;35,28
19;08/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 4 - ROUND 1;Urduliz;CD Vitoria;27;22;32;21;0,8994;1,2846;1,092;11,26;10,13;4,55;13,01;14,46;9,29;62,7;37,28
20;08/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 5;Georgia;Spain;23;19;33;22;1,1053;1,0921;1,0987;11,11;12,28;6,79;13,41;12,13;6,63;62,35;37,63
21;08/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Egypt;Ethiopia;36;22;17;17;1,5829;0,6364;1,1096;10,87;17,2;13,62;10,95;6,92;2,2;61,76;38,09
22;08/09/2023;06:00;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Guangdong Meizhou W;Sichuan W;18;21;8;21;1,2857;0,9762;1,131;10,42;13,39;8,61;13,07;10,17;4,96;60,62;39,33
23;08/09/2023;15:00;CHILE;PRIMERA B - ROUND 26;S. Morning;D. Puerto Montt;22;20;23;22;1,1182;1,1477;1,133;10,37;11,6;6,49;13,31;11,91;6,83;60,51;39,44
24;08/09/2023;15:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Burkina Faso;Eswatini;33;24;23;22;1,392;0,8769;1,1345;10,34;14,4;10,02;12,62;9,07;3,98;60,43;39,49
25;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Cyprus;Scotland;12;19;24;21;0,9348;1,3346;1,1347;10,34;9,66;4,52;12,9;13,8;9,21;60,43;39,53
26;08/09/2023;18:00;CHILE;SEGUNDA DIVISION - ROUND 22;Arturo Fernandez Vial;D. Concepcion;20;21;22;22;1,2262;1,0476;1,1369;10,29;12,62;7,74;13,22;10,78;5,65;60,3;39,68
27;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP B - ROUND 3;Les Herbiers;Angouleme CFC;41;24;16;23;1,202;1,077;1,1395;10,24;12,31;7,4;13,25;11,03;5,94;60,17;39,79
28;08/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 5;Colon Santa Fe 2;Instituto 2;23;21;10;15;1,281;1,0;1,1405;10,22;13,09;8,38;13,09;10,22;5,11;60,11;39,83
29;08/09/2023;23:00;CANADA;CANADIAN PREMIER LEAGUE;Pacific FC;HFX Wanderers;32;24;20;21;1,3095;0,9762;1,1429;10,17;13,32;8,72;13,0;9,93;4,85;59,99;39,95
30;08/09/2023;12:30;WORLD;CLUB FRIENDLY;Cracovia;Zaglebie Sosnowiec;30;24;20;18;1,3194;0,9722;1,1458;10,11;13,34;8,8;12,97;9,83;4,78;59,83;40,12
31;08/09/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Shaanxi Changan W;Changchun Dazhong W;7;16;41;22;0,696;1,6193;1,1577;9,87;6,87;2,39;11,13;15,99;12,94;59,19;40,66
32;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP A - ROUND 3;Andrezieux;Le Puy-en-Velay;28;20;20;21;1,4619;0,8762;1,169;9,65;14,11;10,31;12,36;8,46;3,7;58,59;41,33
33;08/09/2023;14:30;POLAND;DIVISION 2 - ROUND 8;Chojniczanka;Skra;30;20;17;24;1,5208;0,8292;1,175;9,54;14,5;11,03;12,03;7,91;3,28;58,29;41,63
34;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP B - ROUND 3;Bergerac;Trelissac;31;21;21;22;1,4881;0,882;1,1851;9,35;13,91;10,35;12,27;8,24;3,64;57,76;42,15
35;08/09/2023;15:30;EUROPE;EURO U21 - QUALIFICATION;Ireland U21;Turkey U21;32;19;18;19;1,5263;0,8684;1,1974;9,12;13,92;10,62;12,09;7,92;3,44;57,11;42,81
36;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Slovakia;Portugal;22;21;34;19;0,8396;1,5614;1,2005;9,06;7,61;3,19;11,88;14,15;11,05;56,94;42,93
37;08/09/2023;11:00;EUROPE;EURO U21 - QUALIFICATION;Latvia U21;Italy U21;16;20;29;17;0,9294;1,4779;1,2037;9,01;8,37;3,89;12,37;13,31;9,84;56,79;43,13
38;08/09/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 22;Melipilla;Lautaro;26;22;20;20;1,3909;1,0227;1,2068;8,95;12,45;8,66;12,73;9,15;4,68;56,62;43,31
39;08/09/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 22;Real San Joaquin;Limache;28;22;26;21;1,1364;1,2781;1,2073;8,94;10,16;5,77;12,99;11,43;7,3;56,59;43,33
40;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;GOAL FC;Martigues;29;18;33;24;1,3681;1,0486;1,2083;8,92;12,21;8,35;12,8;9,36;4,91;56,55;43,39
41;08/09/2023;12:00;SPAIN;TERCERA RFEF - GROUP 2 - ROUND 1;Union Club Ceares;Condal;21;22;15;21;1,2154;1,2208;1,2181;8,75;10,63;6,46;12,98;10,68;6,52;56,02;43,9
42;08/09/2023;22:10;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 1;Jamaica;Honduras;24;19;15;24;1,4441;0,9967;1,2204;8,71;12,58;9,08;12,54;8,68;4,33;55,92;44,0
43;08/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 12;Argentino de Rosario;Mercedes;24;21;18;20;1,4964;0,95;1,2232;8,66;12,96;9,7;12,31;8,23;3,91;55,77;44,12
44;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Dijon;Villefranche;25;21;30;19;1,2531;1,1942;1,2237;8,65;10,84;6,79;12,95;10,33;6,17;55,73;44,2
45;08/09/2023;16:00;SPAIN;LALIGA2 - ROUND 5;Levante;Espanyol;31;24;27;22;1,4186;1,0303;1,2244;8,64;12,26;8,69;12,63;8,9;4,59;55,71;44,19
46;08/09/2023;15:00;SPAIN;TERCERA RFEF - GROUP 15 - ROUND 1;Beti Kozkor;Beti Onak;25;23;33;23;1,2174;1,2391;1,2283;8,57;10,44;6,35;12,93;10,62;6,58;55,49;44,4
47;08/09/2023;05:00;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Shandong SL W;Henan Songshan Longmen W;20;23;11;23;1,6087;0,8478;1,2283;8,57;13,79;11,09;11,69;7,27;3,08;55,49;44,35
48;08/09/2023;08:55;ISRAEL;LIGA ALEF SOUTH - ROUND 1;Hapoel Herzliya;Nordia Jerusalem;36;19;17;20;1,7224;0,7408;1,2316;8,52;14,67;12,63;10,87;6,31;2,34;55,34;44,45
49;08/09/2023;11:00;WORLD;CLUB FRIENDLY;Beroe;Etar;27;24;27;23;1,2799;1,1911;1,2355;8,45;10,81;6,92;12,88;10,06;5,99;55,11;44,8
50;08/09/2023;12:00;EUROPE;ELITE LEAGUE U20;Poland U20;Portugal U20;34;23;22;19;1,397;1,1224;1,2597;8,05;11,25;7,86;12,62;9,04;5,07;53,89;46,0
51;08/09/2023;19:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 5;Talleres Cordoba 2;Argentinos Jrs 2;40;21;24;21;1,4286;1,0952;1,2619;8,02;11,45;8,18;12,54;8,78;4,81;53,78;46,16
52;08/09/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 26;San Lorenzo;2 de Mayo;39;23;26;21;1,4431;1,0973;1,2702;7,88;11,38;8,21;12,48;8,65;4,75;53,35;46,58
53;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP C - ROUND 3;Stade Briochin;Guingamp II;19;20;30;22;1,2932;1,2568;1,275;7,81;10,1;6,53;12,69;9,81;6,17;53,11;46,81
54;08/09/2023;20:15;PARAGUAY;DIVISION INTERMEDIA - ROUND 26;Deportivo Santani;Rubio Nu;28;21;28;19;1,2456;1,3083;1,2769;7,78;9,69;6,03;12,67;10,18;6,66;53,01;46,9
55;08/09/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 9;Memmingen;Illertissen;23;21;27;19;1,1792;1,3772;1,2782;7,76;9,15;5,39;12,6;10,68;7,36;52,94;46,98
56;08/09/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Turkey U18;Ukraine U18;27;19;40;26;1,1913;1,3745;1,2829;7,69;9,16;5,45;12,59;10,56;7,26;52,71;47,22
57;08/09/2023;14:00;DENMARK;2ND DIVISION;Thisted FC;Skive;26;22;27;22;1,2955;1,2727;1,2841;7,67;9,93;6,43;12,64;9,76;6,21;52,64;47,31
58;08/09/2023;23:00;MEXICO;LIGA PREMIER SERIE A - ROUND 5;Alacranes de Durango;Calor De San Pedro;31;21;30;21;1,2857;1,2857;1,2857;7,64;9,83;6,32;12,63;9,83;6,32;52,57;47,39
59;08/09/2023;15:00;EUROPE;EURO U21 - QUALIFICATION;Poland U21;Kosovo U21;39;21;19;21;1,7381;0,8333;1,2857;7,64;13,28;11,54;11,07;6,37;2,65;52,55;47,21
60;08/09/2023;19:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 9;Barranquilla;Cartagena;29;21;25;21;1,2857;1,3095;1,2976;7,46;9,6;6,17;12,56;9,77;6,4;51,96;47,98
61;08/09/2023;12:30;CHILE;PRIMERA B - ROUND 26;Recoleta;Cobreloa;29;21;29;21;1,2381;1,3571;1,2976;7,46;9,24;5,72;12,54;10,13;6,87;51,96;47,95
62;08/09/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Shanghai RCB W;Zhejiang W;46;21;14;20;1,9202;0,6833;1,3018;7,4;14,21;13,64;9,71;5,06;1,73;51,75;47,89
63;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Epinal;Sochaux;35;22;24;24;1,5246;1,0909;1,3078;7,31;11,15;8,5;12,16;7,98;4,35;51,45;48,44
64;08/09/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;York Utd;Valour;22;20;17;21;1,3357;1,2798;1,3077;7,31;9,77;6,52;12,5;9,36;5,99;51,45;48,45
65;08/09/2023;22:00;CANADA;U SPORTS;UNBC;Thompson Rivers;31;21;28;24;1,2381;1,3929;1,3155;7,2;8,92;5,52;12,42;10,03;6,99;51,08;48,86
66;08/09/2023;09:00;WORLD;CLUB FRIENDLY;Honka;Riga FC;42;25;47;21;1,1733;1,459;1,3162;7,19;8,44;4,95;12,31;10,49;7,65;51,03;48,86
67;08/09/2023;09:00;ISRAEL;LIGA ALEF SOUTH - ROUND 1;H. Marmorek;Holon Yermiyahu;36;22;29;25;1,5182;1,1255;1,3218;7,11;10,79;8,19;12,15;8,0;4,5;50,74;49,14
68;08/09/2023;06:00;ISRAEL;LIGA ALEF NORTH - ROUND 1;Hapoel Kaukab;Maccabi Nujeidat Ahmad;34;22;13;16;1,3977;1,2472;1,3224;7,1;9,93;6,94;12,38;8,86;5,52;50,73;49,19
69;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 4 - ROUND 3;FC Pucioasa;Tricolorul Breaza;27;22;9;19;1,8242;0,8278;1,326;7,05;12,86;11,73;10,65;5,84;2,42;50,55;49,15
70;08/09/2023;10:30;WORLD;FRIENDLY INTERNATIONAL;Georgia U19;Lithuania U19;32;22;22;30;1,7939;0,8667;1,3303;6,99;12,54;11,25;10,87;6,06;2,63;50,34;49,41
71;08/09/2023;13:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;AD Limianos;Varzim;51;23;16;19;1,635;1,0297;1,3324;6,96;11,38;9,31;11,72;7,17;3,69;50,23;49,6
72;08/09/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Wuhan Jiangda W;Beijing Beikong W;57;21;24;21;1,8571;0,8095;1,3333;6,95;12,9;11,98;10,45;5,62;2,28;50,18;49,49
73;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 3;Univ. din Alba Iulia;Unirea Alba-Iulia;27;18;27;22;1,75;0,9192;1,3346;6,93;12,13;10,61;11,15;6,37;2,93;50,12;49,67
74;08/09/2023;16:00;IRELAND;DIVISION 1 - ROUND 30;Finn Harps;Waterford;22;20;44;21;0,8833;1,7976;1,3405;6,85;6,05;2,67;10,88;12,31;11,07;49,83;49,9
75;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Luxembourg;Iceland;16;22;32;27;1,2525;1,4335;1,343;6,82;8,54;5,35;12,24;9,77;7,0;49,72;50,18
76;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Nimes;Chateauroux;33;21;26;21;1,4048;1,2857;1,3452;6,78;9,53;6,69;12,25;8,72;5,61;49,58;50,32
77;08/09/2023;06:00;WORLD;CLUB FRIENDLY;Nyiregyhaza;Kisvarda;33;21;31;28;1,5893;1,1012;1,3452;6,78;10,78;8,57;11,87;7,47;4,11;49,58;50,27
78;08/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 2;Pineto;Entella;39;20;26;19;1,6592;1,0592;1,3592;6,6;10,95;9,08;11,6;6,99;3,7;48,92;50,9
79;08/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Greece U19;Bulgaria U19;46;23;16;15;1,6667;1,0551;1,3609;6,58;10,96;9,13;11,56;6,94;3,66;48,83;50,98
80;08/09/2023;22:00;MEXICO;LIGA PREMIER SERIE A - ROUND 5;Cimarrones de Sonora 2;Saltillo;28;21;32;22;1,4167;1,3225;1,3696;6,46;9,15;6,48;12,11;8,55;5,65;48,4;51,5
81;08/09/2023;14:30;GERMANY;OBERLIGA WESTFALEN - ROUND 5;Lotte;Gievenbeck;38;19;28;20;1,65;1,0947;1,3724;6,43;10,6;8,75;11,61;7,04;3,85;48,28;51,52
82;08/09/2023;11:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 5;Studentski Grad;Prva Iskra;30;22;27;22;1,4545;1,2955;1,375;6,39;9,3;6,76;12,05;8,28;5,36;48,14;51,71
83;08/09/2023;12:00;POLAND;DIVISION 2 - ROUND 8;GKS Jastrzebie;Lech Poznan II;29;20;28;22;1,5886;1,1614;1,375;6,39;10,16;8,07;11,79;7,42;4,31;48,14;51,7
84;08/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 3;Gloria 2018 Bistrita;Industria Galda;45;21;21;20;1,8464;0,906;1,3762;6,38;11,78;10,87;10,67;5,78;2,62;48,1;51,62
85;08/09/2023;15:45;WALES;CYMRU PREMIER - ROUND 6;Cardiff Metropolitan;Pontypridd;25;20;30;23;1,4511;1,3022;1,3766;6,37;9,25;6,71;12,04;8,3;5,4;48,07;51,8
86;08/09/2023;14:00;DENMARK;3RD DIVISION;Young Boys;Naesby;37;21;36;21;1,4524;1,3095;1,381;6,32;9,17;6,66;12,01;8,27;5,42;47,85;51,98
87;08/09/2023;14:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 10;Erlbach;Landsberg;31;21;42;21;1,4048;1,3571;1,381;6,32;8,87;6,23;12,04;8,57;5,82;47,85;52,01
88;08/09/2023;08:45;ISRAEL;LIGA ALEF NORTH - ROUND 1;Tayibe;M. Kiryat Ata-Bialik;36;22;25;21;1,6039;1,1634;1,3837;6,28;10,08;8,08;11,72;7,31;4,25;47,72;52,1
89;08/09/2023;13:30;WORLD;FRIENDLY INTERNATIONAL;Latvia U19;Austria U19;31;20;23;20;1,625;1,15;1,3875;6,23;10,13;8,23;11,65;7,17;4,12;47,53;52,28
