Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
190;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Turkey;Armenia;46;24;24;23;2,2192;1,1884;1,7038;3,31;7,35;8,16;8,73;3,94;2,34;33,83;65,4
191;08/09/2023;14:30;AUSTRIA;REGIONALLIGA WEST - ROUND 7;Kufstein;TSV St. Johann;38;20;29;21;2,069;1,3405;1,7048;3,31;6,84;7,08;9,17;4,43;2,97;33,8;65,61
192;08/09/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 5;Willem II;Maastricht;44;21;32;22;2,0931;1,3225;1,7078;3,29;6,88;7,2;9,1;4,35;2,87;33,69;65,69
193;08/09/2023;13:00;FINLAND;KAKKONEN GROUP B;P-Iirot Rauma;HJS;35;19;23;19;1,9211;1,5;1,7105;3,27;6,28;6,03;9,42;4,9;3,68;33,58;65,94
194;08/09/2023;13:30;EUROPE;EURO U21 - QUALIFICATION;Portugal U21;Andorra U21;66;24;6;22;2,8523;0,5739;1,7131;3,25;9,27;13,23;5,32;1,87;0,54;33,48;63,87
195;08/09/2023;08:30;ISRAEL;LIGA ALEF NORTH - ROUND 1;H. Migdal HaEmek;Ironi Nesher;42;22;36;22;1,9318;1,5;1,7159;3,23;6,25;6,03;9,37;4,85;3,64;33,37;66,17
196;08/09/2023;12:00;CZECH REPUBLIC;CFL - GROUP B - ROUND 6;Brozany;Usti nad Labem;32;22;40;24;1,9356;1,5152;1,7254;3,17;6,14;5,94;9,3;4,81;3,64;33,0;66,51
197;08/09/2023;08:00;WORLD;CLUB FRIENDLY;Hoffenheim II;RW Essen;72;23;37;22;2,2698;1,1887;1,7292;3,15;7,14;8,11;8,49;3,74;2,22;32,85;66,21
198;08/09/2023;15:30;WALES;CYMRU SOUTH - ROUND 6;Caerau Ely;Goytre Utd;23;20;25;21;1,7417;1,7202;1,731;3,14;5,46;4,76;9,4;5,4;4,64;32,8;66,78
199;08/09/2023;14:00;POLAND;III LIGA - GROUP I - ROUND 7;Bron Radom;Concordia Elblag;33;20;23;23;2,0641;1,4;1,7321;3,13;6,46;6,67;9,05;4,38;3,07;32,76;66,65
200;08/09/2023;06:00;WORLD;CLUB FRIENDLY;Mlada Boleslav;Jihlava;46;23;39;22;1,9773;1,4951;1,7362;3,1;6,14;6,07;9,18;4,64;3,47;32,6;66,88
201;08/09/2023;12:45;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 20;Saffle SK;FBK Karlstad;24;21;28;19;2,0451;1,4273;1,7362;3,1;6,35;6,49;9,06;4,43;3,16;32,59;66,84
202;08/09/2023;17:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 1;Bermuda;French Guiana;45;21;32;22;2,0714;1,4177;1,7446;3,05;6,32;6,55;8,96;4,33;3,07;32,28;67,06
203;08/09/2023;12:00;WORLD;CLUB FRIENDLY;Amstetten;Rapid Vienna;37;22;40;21;1,6742;1,8387;1,7565;2,98;4,99;4,18;9,18;5,48;5,04;31,85;67,69
204;08/09/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 11;Ingolstadt II;Feucht;44;21;32;21;2,119;1,4048;1,7619;2,95;6,25;6,62;8,78;4,14;2,91;31,65;67,66
205;08/09/2023;10:00;WORLD;CLUB FRIENDLY;Dornbirn;Tirol;17;18;44;21;1,4484;2,0754;1,7619;2,95;4,27;3,09;8,86;6,12;6,35;31,64;67,72
