Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;Sum
11;31/05/2023;17:00;BOLIVIA;NACIONAL B - FIRST STAGE;Universitario Beni;San Lorenzo del Beni;14;15;3,8667;11;11;5,1818;0,9333;1,0;1,9333
12;31/05/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Macapa;Trem;15;15;4,6;12;15;3,0667;1,0;0,8;1,8
13;31/05/2023;15:00;BRAZIL;CAMPEONATO CARIOCA 2 - ROUND 3;Cabofriense;Resende;11;15;2,5333;10;15;2,4;0,7333;0,6667;1,4
14;31/05/2023;19:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Bahia;Santos;13;15;2,8667;6;15;1,5333;0,8667;0,4;1,2667
15;31/05/2023;19:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Fortaleza;Palmeiras;13;15;3,2;14;15;3,1333;0,8667;0,9333;1,8
16;31/05/2023;20:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Cruzeiro;Gremio;12;15;2,4;11;15;2,6;0,8;0,7333;1,5333
17;31/05/2023;21:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Botafogo RJ;Athletico-PR;13;15;3,1333;13;15;2,7333;0,8667;0,8667;1,7334
18;31/05/2023;21:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Corinthians;Atletico-MG;12;15;2,2667;14;15;2,4;0,8;0,9333;1,7333
19;31/05/2023;21:30;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Internacional;America MG;13;15;2,4667;15;15;3,2667;0,8667;1,0;1,8667
20;31/05/2023;20:00;BRAZIL;COPA VERDE - FINAL;Goias;Paysandu PA;12;15;2,5333;12;15;2,6;0,8;0,8;1,6
21;31/05/2023;12:30;BULGARIA;THIRD LEAGUE - SOUTH-EAST - ROUND 38;Borislav Parvomay;Zagorets;9;15;3,0;11;15;2,0667;0,6;0,7333;1,3333
22;31/05/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;Forge;York Utd;9;15;2,0667;10;15;2,6667;0,6;0,6667;1,2667
23;31/05/2023;20:15;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;Chico;Ind. Medellin;10;15;1,8667;14;15;3,4;0,6667;0,9333;1,6
24;31/05/2023;22:30;COLOMBIA;PRIMERA A - APERTURA - QUADRANGULAR - ROUND 3;America De Cali;Millonarios;12;15;2,6667;11;15;2,4667;0,8;0,7333;1,5333
25;31/05/2023;17:00;CUBA;LIGA NACIONAL - CLAUSURA - ROUND 9;FC Guantanamo;FC Cienfuegos;12;15;2,5333;12;15;2,4;0,8;0,8;1,6
26;31/05/2023;17:00;CUBA;LIGA NACIONAL - CLAUSURA - ROUND 9;FC Santiago de Cuba;FC La Habana;12;15;2,8;9;15;2,1333;0,8;0,6;1,4
27;31/05/2023;17:00;CUBA;LIGA NACIONAL - CLAUSURA - ROUND 9;Matanzas;Holguin;12;15;2,9333;11;15;3,0;0,8;0,7333;1,5333
28;31/05/2023;17:00;DOMINICAN REPUBLIC;LDF - ROUND 13;Atlantico;Universidad O&M;10;15;2,6667;10;15;2,0;0,6667;0,6667;1,3334
29;31/05/2023;17:00;DOMINICAN REPUBLIC;LDF - ROUND 13;Delfines Del Este;Cibao;8;15;1,6;9;15;2,2667;0,5333;0,6;1,1333
30;31/05/2023;17:00;DOMINICAN REPUBLIC;LDF - ROUND 13;Jarabacoa;Vega Real;13;15;3,3333;8;15;2,2667;0,8667;0,5333;1,4
31;31/05/2023;19:00;DOMINICAN REPUBLIC;LDF - ROUND 13;San Cristobal;Moca;9;15;2,3333;9;15;1,8667;0,6;0,6;1,2
32;31/05/2023;17:00;ECUADOR;SERIE B - ROUND 12;Chacaritas;Cuniburo;10;15;2,8667;5;11;1,7273;0,6667;0,4545;1,1212
33;31/05/2023;17:00;ECUADOR;SERIE B - ROUND 12;Vargas Torres;Ind. Juniors;6;14;1,7143;10;15;2,6667;0,4286;0,6667;1,0953
34;31/05/2023;21:00;ECUADOR;SERIE B - ROUND 12;America de Quito;Nueve de Octubre;12;15;2,6;10;15;2,7333;0,8;0,6667;1,4667
