Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
21;QZ3JJmpl;11/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Benevento;Virtus Francavilla;17;21;14;20;1,3048;0,969;2,2738;10,29;13,43;8,76;13,01;9,97;4,83;60,29;39,63
22;t6h7qSbc;11/09/2023;16:00;SPAIN;LALIGA2 - ROUND 5;Eldense;Alcorcon;38;22;32;23;1,1897;1,1502;2,3399;9,63;11,46;6,82;13,18;11,08;6,37;58,54;41,39
23;A313uTek;11/09/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Envigado;Aguilas;24;21;21;20;1,2964;1,0488;2,3452;9,58;12,42;8,05;13,03;10,05;5,27;58,4;41,54
24;WAs0NrhO;11/09/2023;15:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Sintrense;Operario;35;22;22;21;1,4859;0,8647;2,3506;9,53;14,16;10,52;12,25;8,24;3,56;58,26;41,65
25;zLiERo8f;11/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Guinea Bissau;Sierra Leone;21;20;16;25;1,405;0,97;2,375;9,3;13,07;9,18;12,68;9,02;4,38;57,63;42,3
26;zX5iiaEA;11/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 34;General Lamadrid;Victoriano A.;26;21;13;21;1,6429;0,7381;2,381;9,25;15,19;12,48;11,21;6,82;2,52;57,47;42,35
27;08W0O7kj;11/09/2023;20:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 10;Resistencia;Guairena;14;21;21;22;1,1288;1,263;2,3918;9,15;10,32;5,83;13,04;11,55;7,3;57,19;42,76
28;6gqCuN7K;11/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Latvia;Wales;21;20;19;19;1,1829;1,25;2,4329;8,78;10,38;6,14;12,98;10,97;6,86;56,11;43,83
29;hb7yJCeq;11/09/2023;05:00;INDONESIA;LIGA 2 - ROUND 1;PSCS Cilacap;Deltras Sidoarjo;30;21;17;23;1,7578;0,6791;2,4369;8,74;15,37;13,51;10,44;5,94;2,02;56,02;43,72
30;vDlDOTrn;11/09/2023;20:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 1;Defensa y Justicia;Godoy Cruz;41;23;17;23;1,6739;0,7826;2,4565;8,57;14,35;12,01;11,23;6,71;2,63;55,5;44,28
31;Wl6uIWAk;11/09/2023;10:30;INDONESIA;LIGA 2 - ROUND 1;Persiraja Aceh;PSPS Riau;17;22;13;21;1,2911;1,1732;2,4643;8,51;10,98;7,09;12,89;9,98;5,85;55,3;44,65
32;t6MykrP5;11/09/2023;15:30;PARAGUAY;DIVISION INTERMEDIA - ROUND 26;Atyra;12 de Octubre;21;21;15;20;1,55;0,9702;2,5202;8,04;12,47;9,66;12,1;7,8;3,79;53,86;45,99
33;0hdWGoU6;11/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Foggia;Giugliano;40;22;22;21;1,671;0,8874;2,5584;7,74;12,94;10,81;11,48;6,87;3,05;52,89;46,94
34;p0xcyn11;11/09/2023;11:15;EUROPE;ELITE LEAGUE U20;Poland U20;Germany U20;38;23;30;23;1,4348;1,1304;2,5652;7,69;11,03;7,92;12,47;8,69;4,91;52,71;47,21
35;61kV2g0n;11/09/2023;18:00;BRAZIL;COPA RIO - 1/8-FINALS;Volta Redonda;Goncalense;37;20;22;21;1,5679;1,0238;2,5917;7,49;11,74;9,21;12,02;7,67;3,93;52,06;47,84
36;CfGdQsco;11/09/2023;15:30;POLAND;DIVISION 2 - ROUND 8;Wisla Pulawy;Polonia Bytom;36;23;34;24;1,4284;1,2083;2,6368;7,16;10,23;7,3;12,36;8,65;5,23;50,93;48,99
37;t2CGdkIa;11/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Iceland;Bosnia & Herzegovina;16;16;18;19;1,4211;1,2237;2,6447;7,1;10,09;7,17;12,35;8,69;5,32;50,72;49,18
38;UR0zG5qD;11/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 2;Juve Stabia;Avellino;23;21;30;21;1,4048;1,2619;2,6667;6,95;9,76;6,86;12,32;8,77;5,53;50,19;49,73
39;rPXErL70;11/09/2023;23:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Nicaragua;Barbados;25;18;24;24;1,8194;0,8889;2,7083;6,66;12,13;11,03;10,78;5,92;2,63;49,15;50,57
40;rgX7Nus4;11/09/2023;13:30;POLAND;DIVISION 2 - ROUND 8;Stomil Olsztyn;KKS Kalisz;34;22;24;18;1,4672;1,2576;2,7247;6,56;9,62;7,06;12,1;8,25;5,18;48,77;51,1
41;z9XEXuSg;11/09/2023;13:00;ISRAEL;LEUMIT LEAGUE - ROUND 3;Maccabi Jaffa;Hap. Ramat Gan;34;21;26;23;1,4834;1,2795;2,7629;6,31;9,36;6,94;11,98;8,07;5,17;47,83;52,01
42;2LOVTcRI;11/09/2023;13:00;ISRAEL;LEUMIT LEAGUE - ROUND 3;Kiryat Shmona;Bnei Yehuda;25;20;26;22;1,4205;1,3659;2,7864;6,16;8,76;6,22;11,96;8,42;5,75;47,27;52,63
43;xp2JlgJg;11/09/2023;15:00;EUROPE;EURO U21 - QUALIFICATION;Belgium U21;Kazakhstan U21;32;17;20;21;1,9412;0,8585;2,7997;6,08;11,81;11,46;10,14;5,22;2,24;46,95;52,67
44;GEF3E7Kf;11/09/2023;12:00;EUROPE;ELITE LEAGUE U20;Czech Republic U20;Italy U20;28;22;39;21;1,1602;1,6558;2,816;5,98;6,94;4,03;11,5;9,91;8,2;46,56;53,24
45;pzy9YQKi;11/09/2023;11:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 5;Polet Dorcol;Zvezdara;28;21;23;24;1,3958;1,4315;2,8274;5,92;8,26;5,76;11,82;8,47;6,06;46,29;53,58
46;rB2Zkv1p;11/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Slovakia;Liechtenstein;22;21;10;24;2,0238;0,8036;2,8274;5,92;11,97;12,12;9,62;4,75;1,91;46,29;53,19
47;YuPYR3wL;11/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 6;Armenia;Croatia;28;20;31;19;1,1474;1,7158;2,8632;5,71;6,55;3,76;11,24;9,8;8,4;45,46;54,34
48;2FNrlj9g;11/09/2023;18:45;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;Cruz Azul W;Atlas W;22;21;25;21;1,6905;1,1905;2,881;5,61;9,48;8,01;11,29;6,68;3,97;45,04;54,78
49;jm6NmDYa;11/09/2023;16:00;EUROPE;EURO U21 - QUALIFICATION;Spain U21;Scotland U21;75;27;27;18;1,9167;1,0648;2,9815;5,07;9,72;9,32;10,35;5,4;2,88;42,74;56,88
50;pOSmQ1O8;11/09/2023;15:00;ITALY;COPPA ITALIA WOMEN - 1/16-FINALS;Ravenna W;Cesena W;33;23;29;20;1,5424;1,4641;3,0065;4,95;7,63;5,88;11,17;7,24;5,3;42,17;57,67
51;fcEo6zNL;11/09/2023;17:30;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE C - ROUND 2;Cayman Islands;Aruba;24;23;17;22;1,7945;1,2125;3,0069;4,94;8,87;7,96;10,76;5,99;3,63;42,15;57,56
52;ttiZv9Wo;11/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Slovenia U21;France U21;37;25;42;20;1,415;1,61;3,025;4,86;6,87;4,86;11,06;7,82;6,29;41,76;58,05
53;l8mwqWm0;11/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Portugal;Luxembourg;67;24;20;20;2,1958;0,8333;3,0292;4,84;10,62;11,66;8,85;4,03;1,68;41,68;57,56
54;ddHO5W4o;11/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Hitchin;Nuneaton;35;24;24;18;1,7292;1,3333;3,0625;4,68;8,09;6,99;10,78;6,24;4,16;40,94;58,79
55;Q7iRBA66;11/09/2023;17:00;PERU;LIGA 2 - ROUND 24;Santos;Carlos Stein;36;21;17;21;2,381;0,6905;3,0714;4,64;11,04;13,14;7,62;3,2;1,11;40,75;58,12
56;EaWIWas0;11/09/2023;13:00;ISRAEL;LEUMIT LEAGUE - ROUND 3;Ihud Bnei Shfaram;Nof Hagalil;46;20;18;20;2,025;1,1;3,125;4,39;8,9;9,01;9,79;4,83;2,66;39,58;59,91
57;bJIJDQYu;11/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Luxembourg U21;England U21;17;22;54;21;0,9578;2,1721;3,1299;4,37;4,19;2,01;9,1;9,5;10,31;39,48;59,79
58;Q1UEzIrK;11/09/2023;11:30;ESTONIA;ESTONIAN CUP - 1/16-FINALS;Kalju;Tulevik;33;22;20;19;2,1974;0,9581;3,1555;4,26;9,36;10,29;8,97;4,08;1,96;38,92;60,32
59;bHTEpFa6;11/09/2023;15:00;ENGLAND;PREMIER LEAGUE CUP;Reading U21;Blackburn U21;31;20;36;21;1,8226;1,3571;3,1798;4,16;7,58;6,91;10,29;5,65;3,83;38,42;61,31
60;KhaVDAT2;11/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Crewe U21;Watford U21;19;16;24;21;1,9985;1,2589;3,2574;3,85;7,69;7,69;9,68;4,85;3,05;36,81;62,73
61;tzvA49Qa;11/09/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 21;Trollhattan;Oddevold;64;26;42;24;1,6683;1,6058;3,274;3,79;6,31;5,27;10,14;6,08;4,88;36,47;63,23
62;MFWIsuN6;11/09/2023;20:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Dominican Republic;Montserrat;37;25;25;22;2,2173;1,0682;3,2855;3,74;8,3;9,2;8,86;4,0;2,14;36,24;62,99
63;WS2ZCUr9;11/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Birmingham U21;Millwall U21;32;19;33;17;1,6068;1,7601;3,3669;3,45;5,54;4,45;9,76;6,07;5,34;34,61;65,02
64;ANXTQPs6;11/09/2023;14:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 10;RW Koblenz;Karbach;38;23;33;20;1,7761;1,6076;3,3837;3,39;6,02;5,35;9,69;5,45;4,38;34,28;65,31
65;MPwI2kOn;11/09/2023;22:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;U.A.N.L.- Tigres W;Club Leon W;70;24;27;21;2,5536;0,9345;3,4881;3,06;7,8;9,96;7,29;2,86;1,33;32,3;66,15
66;EqriuTtA;11/09/2023;15:10;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 4;Boca Juniors W;Ferro W;74;21;14;21;2,9048;0,619;3,5238;2,95;8,57;12,44;5,3;1,83;0,56;31,65;65,47
67;6BM1S9T9;11/09/2023;15:00;EUROPE;PREMIER LEAGUE INTERNATIONAL CUP;Nottingham U21;Jong PSV;35;16;45;24;1,9896;1,5938;3,5833;2,78;5,53;5,5;8,81;4,43;3,53;30,58;68,84
68;zqvYhTbk;11/09/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 19;Fredrikstad 2;Start 2;44;21;29;20;2,3226;1,2964;3,619;2,68;6,23;7,23;8,07;3,48;2,25;29,94;69,03
69;hOMQwel1;11/09/2023;14:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 19;Skeid 2;Sarpsborg 08 2;50;22;21;22;2,3409;1,4318;3,7727;2,3;5,38;6,3;7,71;3,29;2,36;27,34;71,61
70;hOz9bkyS;11/09/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 19;Mjondalen 2;Sandefjord 2;48;21;32;22;2,461;1,5844;4,0455;1,75;4,31;5,3;6,82;2,77;2,2;23,15;75,43
71;Kx9ilyDJ;11/09/2023;13:00;ESTONIA;ESTONIAN CUP - 1/16-FINALS;Olympic Tallinn;Harju JK Laagri;29;15;23;20;1,9167;2,6083;4,525;1,08;2,08;1,99;5,42;2,83;3,69;17,09;80,79
72;t2lptQl7;11/09/2023;11:00;CROATIA;1. HNL WOMEN - ROUND 2;Zadar W;ZNK Split W;47;22;95;24;1,3598;3,4564;4,8163;0,81;1,1;0,75;3,81;2,8;4,84;14,11;79,68
