Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
23;07/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 5;Lithuania;Montenegro;15;20;14;18;1,0972;1,3889;1,2431;8,32;9,13;5,01;12,68;11,56;8,03;54,73;45,2
24;07/09/2023;17:15;PERU;LIGA 2 - ROUND 23;Union Huaral;Deportivo Coopsol;22;22;19;22;1,5227;0,9773;1,25;8,21;12,5;9,52;12,22;8,02;3,92;54,39;45,52
25;07/09/2023;07:00;WORLD;FRIENDLY INTERNATIONAL;Bangladesh;Afghanistan;21;21;15;22;1,6136;0,8885;1,2511;8,19;13,22;10,66;11,74;7,28;3,23;54,32;45,54
26;07/09/2023;13:45;EUROPE;EURO U21 - QUALIFICATION;Bosnia & Herzegovina U21;Slovenia U21;38;20;16;18;1,6167;0,8944;1,2556;8,12;13,12;10,61;11,74;7,26;3,25;54,1;45,77
27;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Slovenia;Northern Ireland;34;22;29;22;1,5227;1,0;1,2614;8,02;12,22;9,3;12,22;8,02;4,01;53,79;46,09
28;07/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Austria U17;Greece U17;42;23;23;20;1,488;1,0533;1,2707;7,88;11,72;8,72;12,34;8,3;4,37;53,33;46,57
29;07/09/2023;08:30;GEORGIA;GEORGIAN CUP - 1/8-FINALS;Spaeri;Torpedo Kutaisi;42;22;22;21;1,5022;1,092;1,2971;7,47;11,22;8,43;12,25;8,16;4,45;51,98;47,92
30;07/09/2023;21:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 1;Argentina;Ecuador;65;28;25;24;1,869;0,753;1,311;7,27;13,58;12,69;10,23;5,47;2,06;51,3;48,39
31;07/09/2023;13:30;WORLD;CLUB FRIENDLY;Zenit;Sepahan;65;24;26;21;1,6875;0,9524;1,3199;7,14;12,04;10,16;11,47;6,8;3,24;50,85;48,98
32;07/09/2023;14:00;WORLD;FRIENDLY INTERNATIONAL;Norway;Jordan;48;24;20;19;1,6053;1,0471;1,3262;7,05;11,31;9,08;11,85;7,38;3,86;50,53;49,32
33;07/09/2023;23:10;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 1;Guatemala;El Salvador;47;23;19;19;1,8375;0,8261;1,3318;6,97;12,81;11,77;10,58;5,76;2,38;50,27;49,46
34;07/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Czech Republic U21;Slovakia U21;39;23;28;21;1,6573;1,0145;1,3359;6,91;11,46;9,49;11,62;7,01;3,56;50,05;49,77
35;07/09/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 3;M. Herzliya;Nes Tziona;40;22;21;22;1,6364;1,0455;1,3409;6,84;11,2;9,16;11,71;7,15;3,74;49,8;50,03
36;07/09/2023;11:00;EUROPE;EURO - QUALIFICATION - ROUND 5;Kazakhstan;Finland;25;20;26;22;1,4205;1,2659;1,3432;6,81;9,68;6,87;12,25;8,62;5,46;49,69;50,22
37;07/09/2023;11:30;EUROPE;EURO U21 - QUALIFICATION;Estonia U21;Bulgaria U21;15;19;18;21;0,9424;1,7444;1,3434;6,81;6,42;3,02;11,2;11,88;10,36;49,69;50,12
38;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Netherlands;Greece;66;28;24;24;1,6577;1,0357;1,3467;6,76;11,21;9,3;11,61;7,01;3,63;49,52;50,29
39;07/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Bahrain;Kuwait;57;29;20;20;1,7078;1,0;1,3539;6,67;11,39;9,72;11,39;6,67;3,33;49,17;50,61
40;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Czech Republic;Albania;40;20;23;22;1,6136;1,0977;1,3557;6,64;10,72;8,65;11,77;7,29;4,0;49,07;50,73
41;07/09/2023;20:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 1;Saint Kitts and Nevis;Guadeloupe;22;20;33;21;1,3595;1,3607;1,3601;6,59;8,95;6,09;12,18;8,96;6,1;48,87;51,04
42;07/09/2023;16:20;BRAZIL;BRASILEIRO WOMEN - PLAY OFFS - FINAL;Ferroviaria W;Corinthians W;33;23;51;21;1,0983;1,6273;1,3628;6,55;7,19;3,95;11,71;10,66;8,67;48,73;51,13
43;07/09/2023;13:30;WORLD;FRIENDLY INTERNATIONAL;France U21;Denmark U21;59;23;24;19;1,8352;0,8924;1,3638;6,54;12,0;11,01;10,71;5,83;2,6;48,69;50,99
44;07/09/2023;14:00;EUROPE;EURO U21 - QUALIFICATION;Cyprus U21;Austria U21;24;20;37;23;1,1217;1,6293;1,3755;6,39;7,16;4,02;11,67;10,4;8,48;48,12;51,7
45;07/09/2023;10:00;EUROPE;EURO U21 - QUALIFICATION;Northern Ireland U21;Luxembourg U21;20;19;5;20;1,9263;0,8355;1,3809;6,32;12,17;11,72;10,17;5,28;2,21;47,87;51,77
46;07/09/2023;13:00;ISRAEL;LIGA ALEF SOUTH - ROUND 1;Hapoel Bnei Lod;Hapoel Kfar Shalem;32;21;36;20;1,2369;1,5429;1,3899;6,21;7,68;4,75;11,84;9,57;7,39;47,44;52,45
47;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;France;Ireland;63;24;20;20;1,8875;0,9167;1,4021;6,06;11,43;10,79;10,48;5,55;2,54;46,85;52,84
48;07/09/2023;11:30;WORLD;FRIENDLY INTERNATIONAL;Italy U19;Northern Ireland U19;45;21;19;21;1,9524;0,881;1,4167;5,88;11,48;11,21;10,12;5,18;2,28;46,15;53,46
49;07/09/2023;12:00;ISRAEL;LIGA ALEF SOUTH - ROUND 1;SC Dimona;MS Ironi Kuseife;33;21;26;21;1,5714;1,2619;1,4167;5,88;9,24;7,26;11,66;7,42;4,68;46,14;53,67
50;07/09/2023;07:00;WORLD;CLUB FRIENDLY;Eintracht Frankfurt;Wehen;34;19;34;20;1,6447;1,1921;1,4184;5,86;9,64;7,93;11,49;6,99;4,16;46,07;53,75
51;07/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Angola;Madagascar;36;23;30;20;1,6576;1,1848;1,4212;5,83;9,66;8,01;11,45;6,91;4,09;45,95;53,9
52;07/09/2023;07:00;WORLD;FRIENDLY INTERNATIONAL;Finland U21;Iceland U21;27;19;30;25;1,3505;1,4947;1,4226;5,81;7,85;5,3;11,73;8,69;6,49;45,87;53,99
53;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Poland;Faroe Islands;41;23;15;22;2,0731;0,7757;1,4244;5,79;12,01;12,45;9,31;4,49;1,74;45,79;53,65
54;07/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Ghana;Central Africa;35;19;26;23;2,0297;0,8284;1,4291;5,74;11,65;11,82;9,65;4,75;1,97;45,58;53,94
55;07/09/2023;11:00;WORLD;FRIENDLY INTERNATIONAL;Sweden U19;Norway U19;37;21;34;26;1,5925;1,2967;1,4446;5,56;8,86;7,05;11,49;7,21;4,68;44,85;54,98
56;07/09/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 3;Hapoel Kfar Saba;Hapoel Afula;25;20;23;21;1,5536;1,3476;1,4506;5,5;8,54;6,63;11,51;7,41;4,99;44,58;55,26
57;07/09/2023;16:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 9;Municipal Turrialba;Guadalupe;21;21;21;20;1,5;1,406;1,453;5,47;8,2;6,15;11,54;7,69;5,41;44,46;55,39
58;07/09/2023;09:00;WORLD;CLUB FRIENDLY;Nurnberg;Heidenheim;27;20;50;23;1,3707;1,537;1,4538;5,46;7,48;5,13;11,5;8,39;6,45;44,41;55,39
59;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Serbia;Hungary;44;19;27;19;1,6316;1,2895;1,4605;5,39;8,79;7,17;11,34;6,95;4,48;44,12;55,7
60;07/09/2023;15:30;WORLD;FRIENDLY INTERNATIONAL;Austria;Moldova;41;21;9;19;2,0288;0,9035;1,4662;5,33;10,81;10,96;9,77;4,81;2,17;43,85;55,66
61;07/09/2023;07:30;WORLD;FRIENDLY INTERNATIONAL;Denmark U19;Poland U19;48;21;22;20;1,8429;1,0976;1,4702;5,28;9,74;8,97;10,69;5,8;3,18;43,66;56,01
62;07/09/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 8;Tapatio;Zacatecas Mineros;33;20;26;20;1,875;1,075;1,475;5,23;9,81;9,2;10,55;5,63;3,02;43,44;56,22
63;07/09/2023;11:00;WORLD;FRIENDLY INTERNATIONAL;Serbia U19;Hungary U19;59;30;27;21;1,769;1,1929;1,481;5,17;9,15;8,09;10,91;6,17;3,68;43,17;56,55
64;07/09/2023;09:00;WORLD;CLUB FRIENDLY;Bochum;St. Truiden;31;21;31;23;1,3903;1,5787;1,4845;5,14;7,14;4,96;11,27;8,11;6,4;43,02;56,8
65;07/09/2023;09:00;WORLD;FRIENDLY INTERNATIONAL;Cambodia;Hong Kong;29;24;16;22;1,6723;1,3011;1,4867;5,11;8,55;7,15;11,12;6,65;4,33;42,91;56,88
66;07/09/2023;15:00;PERU;LIGA 2 - ROUND 23;Alianza Huanuco;Los Chankas;47;22;24;21;1,8539;1,1623;1,5081;4,9;9,08;8,42;10,56;5,69;3,31;41,96;57,7
67;07/09/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Bulgaria;Iran;26;20;46;21;1,0786;1,9452;1,5119;4,86;5,24;2,83;10,2;9,46;9,2;41,79;57,81
68;07/09/2023;12:00;WORLD;CLUB FRIENDLY;SG Dynamo Dresden;Freital;41;19;28;21;1,9123;1,114;1,5132;4,85;9,27;8,87;10,33;5,4;3,01;41,73;57,88
69;07/09/2023;10:00;WORLD;CLUB FRIENDLY;Duren;Fortuna Koln;46;20;28;21;1,7214;1,3167;1,519;4,79;8,25;7,1;10,86;6,31;4,15;41,46;58,25
70;07/09/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 1;Panama;Martinique;31;17;33;22;1,7981;1,25;1,5241;4,74;8,53;7,67;10,66;5,93;3,71;41,24;58,47
71;07/09/2023;11:00;WORLD;FRIENDLY INTERNATIONAL;France U19;Montenegro U19;57;24;34;27;2,0579;1,0046;1,5312;4,68;9,62;9,9;9,67;4,7;2,36;40,93;58,51
72;07/09/2023;11:00;BRAZIL;BRASILEIRO U20 - PLAY OFFS - FINAL;Flamengo RJ U20;Palmeiras U20;51;23;43;19;1,6087;1,4577;1,5332;4,66;7,49;6,03;10,93;6,79;4,95;40,85;58,93
73;07/09/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Luxembourg U17;Montenegro U17;16;18;27;26;1,4444;1,6581;1,5513;4,49;6,49;4,69;10,76;7,45;6,18;40,06;59,71
74;07/09/2023;12:45;EUROPE;EURO U21 - QUALIFICATION;Hungary U21;Kazakhstan U21;32;22;22;21;1,7273;1,4329;1,5801;4,24;7,33;6,33;10,5;6,08;4,35;38,83;60,92
75;07/09/2023;12:00;EUROPE;ELITE LEAGUE U20;Germany U20;Italy U20;44;19;38;21;1,6817;1,4837;1,5827;4,22;7,1;5,97;10,53;6,26;4,64;38,72;61,03
76;07/09/2023;14:30;ISRAEL;LIGA ALEF SOUTH - ROUND 1;H. Bikat Hayarden;Shimshon Tel Aviv;50;23;23;20;2,037;1,162;1,5995;4,08;8,31;8,47;9,66;4,74;2,75;38,01;61,46
77;07/09/2023;13:00;WORLD;CLUB FRIENDLY;Bregenz;A. Lustenau;48;23;32;19;1,8856;1,3421;1,6138;3,96;7,48;7,05;10,03;5,32;3,57;37,41;62,22
78;07/09/2023;10:30;EUROPE;EURO U21 - QUALIFICATION;Belarus U21;Faroe Islands U21;33;19;11;21;1,9398;1,2882;1,614;3,96;7,69;7,46;9,9;5,11;3,29;37,41;62,16
79;07/09/2023;12:00;WORLD;CLUB FRIENDLY;First Vienna;Horn;47;22;27;22;1,9545;1,3409;1,6477;3,71;7,24;7,08;9,71;4,97;3,33;36,04;63,52
80;07/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Denmark;San Marino;47;21;2;22;3,0509;0,2597;1,6553;3,65;11,13;16,98;2,89;0,95;0,12;35,72;60,63
81;07/09/2023;12:30;WORLD;CLUB FRIENDLY;B. Monchengladbach;Werder Bremen;44;22;31;22;2,0;1,3182;1,6591;3,62;7,24;7,24;9,55;4,77;3,15;35,57;63,92
82;07/09/2023;09:00;WORLD;CLUB FRIENDLY;Karlsruher SC;Freiburg;50;20;22;18;2,1111;1,2111;1,6611;3,61;7,62;8,04;9,22;4,37;2,65;35,51;63,88
83;07/09/2023;06:00;WORLD;CLUB FRIENDLY;Bayer Leverkusen;Alemannia Aachen;49;21;47;25;1,9067;1,44;1,6733;3,52;6,71;6,4;9,66;5,07;3,65;35,01;64,54
84;07/09/2023;07:00;WORLD;CLUB FRIENDLY;Magdeburg;Aue;56;23;29;21;2,0745;1,2774;1,676;3,5;7,26;7,53;9,28;4,47;2,86;34,9;64,52
85;07/09/2023;21:00;CANADA;U SPORTS;York;Waterloo;64;21;37;23;2,3934;0,9948;1,6941;3,38;8,08;9,67;8,04;3,36;1,67;34,2;64,66
86;07/09/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 7;Atlas W;Atl. San Luis W;34;21;20;21;2,0714;1,3333;1,7024;3,32;6,88;7,13;9,17;4,43;2,95;33,88;65,55
87;07/09/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 1;Trinidad & Tobago;Curacao;56;21;34;21;2,2143;1,1905;1,7024;3,32;7,35;8,14;8,76;3,95;2,35;33,87;65,31
88;07/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;San Marino U21;Norway U21;1;21;45;28;0,9167;2,494;1,7054;3,3;3,03;1,39;7,55;8,23;10,27;33,77;64,83
89;07/09/2023;15:00;NETHERLANDS;DERDE DIVISIE - ROUND 4;RKAV Volendam;IJsselmeervogels;39;21;23;21;2,0238;1,4286;1,7262;3,17;6,41;6,49;9,16;4,52;3,23;32,98;66,49
90;07/09/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Germany U17;Israel U17;102;28;23;20;2,4714;1,0393;1,7554;2,99;7,38;9,12;7,67;3,1;1,61;31,87;66,8
91;07/09/2023;10:30;WORLD;CLUB FRIENDLY;Hoffenheim;Luzern;48;23;38;23;1,7174;1,8261;1,7717;2,89;4,97;4,26;9,07;5,28;4,82;31,29;68,27
92;07/09/2023;13:00;NORWAY;DIVISION 2 - GROUP 1 - ROUND 8;Aalesund 2;Brattvag;50;20;36;24;2,3333;1,225;1,7792;2,85;6,65;7,75;8,14;3,49;2,14;31,02;67,97
93;07/09/2023;11:00;WORLD;FRIENDLY INTERNATIONAL;Italy U17;Denmark U17;40;19;44;17;1,8173;1,7941;1,8057;2,7;4,91;4,46;8,81;4,85;4,35;30,08;69,45
94;07/09/2023;14:30;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 20;Sleipner;IFK Eskilstuna;46;22;29;22;2,2045;1,5;1,8523;2,46;5,43;5,98;8,14;3,69;2,77;28,47;70,65
95;07/09/2023;13:30;AUSTRIA;BURGENLAND - ROUND 6;Klingenbach;Ritzing;32;17;54;23;1,8977;1,821;1,8593;2,43;4,6;4,37;8,39;4,42;4,02;28,23;71,15
96;07/09/2023;19:00;USA;MLS NEXT PRO;New England Revolution II;Orlando City B;42;21;35;22;2,4091;1,4383;1,9237;2,13;5,14;6,19;7,39;3,07;2,21;26,13;72,62
97;07/09/2023;20:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE C - ROUND 1;United States Virgin Islands;Cayman Islands;11;21;11;20;1,6869;2,4417;2,0643;1,61;2,72;2,29;6,63;3,93;4,8;21,98;76,57
98;07/09/2023;13:30;NORWAY;DIVISION 3 - GROUP 2 - ROUND 19;Hodd 2;Forde;43;22;40;21;2,2154;2,0887;2,1521;1,35;2,99;3,32;6,25;2,82;2,95;19,68;78,99
99;07/09/2023;13:00;NORWAY;DIVISION 3 - GROUP 3 - ROUND 19;Staal Jorpeland;Vidar;43;22;49;22;1,8864;2,5455;2,2159;1,19;2,24;2,12;5,71;3,03;3,85;18,14;79,99
100;07/09/2023;17:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE C - ROUND 1;Anguilla;Saint Martin;8;19;18;22;1,9605;2,6459;2,3032;1,0;1,96;1,92;5,18;2,64;3,5;16,2;81,53
