Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
18;29/07/2023;01:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 13;Adamstown Rosebud;Cooks Hill United;36;19;1,8947;23;19;1,2105;3,1052
19;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Cockburn City;Olympic Kingsway;30;17;1,7647;24;18;1,3333;3,098
20;29/07/2023;06:00;AUSTRALIA;NPL NSW - ROUND 26;St. George City;Mount Druitt Rangers;48;25;1,92;28;25;1,12;3,04
21;29/07/2023;12:10;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Dep. Riestra;Deportivo Maipu;37;23;1,6087;32;23;1,3913;3,0
22;29/07/2023;04:30;WORLD;WORLD CUP WOMEN - ROUND 2;Sweden W;Italy W;2;1;2,0;1;1;1,0;3,0
23;29/07/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 24;Bentleigh Greens;Port Melbourne Sharks;46;23;2,0;21;23;0,913;2,913
24;29/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Sydney Olympic;Central Coast U21;35;25;1,4;37;25;1,48;2,88
25;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Olimpo Bahia Blanca;Sansinena;32;19;1,6842;22;20;1,1;2,7842
26;29/07/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Argentino MM;San Martin Mendoza;37;19;1,9474;12;20;0,6;2,5474
27;29/07/2023;02:15;AUSTRALIA;NPL QUEENSLAND - ROUND 19;Redlands;Sunshine Coast Wanderers;26;18;1,4444;19;18;1,0556;2,5
28;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Puerto Nuevo;San Martin Burzaco;45;27;1,6667;21;26;0,8077;2,4744
29;29/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Bulls Academy;WS Wanderers U21;38;25;1,52;22;25;0,88;2,4
30;29/07/2023;14:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Germinal;Villa Mitre;24;19;1,2632;21;20;1,05;2,3132
31;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Claypole;Justo Jose de Urquiza;30;27;1,1111;31;26;1,1923;2,3034
32;29/07/2023;14:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Ciudad Bolivar;Juventud Unida Universitario;29;19;1,5263;14;20;0,7;2,2263
33;29/07/2023;19:05;ARGENTINA;PRIMERA NACIONAL - ROUND 24;Quilmes;Atl. Rafaela;27;23;1,1739;24;23;1,0435;2,2174
34;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Canuelas;San Miguel;10;7;1,4286;5;7;0,7143;2,1429
35;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Ferro Gen. Pico;Biblioteca Atenas;21;19;1,1053;20;20;1,0;2,1053
36;29/07/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 24;Moreland City;Heidelberg Utd;23;22;1,0455;24;23;1,0435;2,089
37;29/07/2023;17:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Independiente;Boca Juniors;31;26;1,1923;23;26;0,8846;2,0769
38;29/07/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Union Sunchales;Douglas Haig;26;19;1,3684;14;20;0,7;2,0684
39;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;9 de Julio Rafaela;Gimnasia y Tiro;21;20;1,05;19;19;1,0;2,05
40;29/07/2023;06:15;AUSTRALIA;NPL NSW - ROUND 26;Manly Utd;Sutherland Sharks;34;25;1,36;17;25;0,68;2,04
41;29/07/2023;13:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Estudiantes Rio Cuarto;San Martin S.J.;30;25;1,2;20;25;0,8;2,0
42;29/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Deportivo Moron;Gimnasia Mendoza;26;25;1,04;23;24;0,9583;1,9983
43;29/07/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Defensores Belgrano VR;Independiente Chivilcoy;23;20;1,15;16;19;0,8421;1,9921
44;29/07/2023;20:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Almirante Brown;Alvarado;27;25;1,08;21;24;0,875;1,955
45;29/07/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Cipolletti;Santamarina;17;19;0,8947;21;20;1,05;1,9447
46;29/07/2023;21:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Central Norte;San Martin Formosa;23;19;1,2105;14;20;0,7;1,9105
47;29/07/2023;15:55;ARGENTINA;TORNEO FEDERAL - ROUND 23;Sol de America;Crucero del Norte;21;20;1,05;16;19;0,8421;1,8921
48;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Def. Pronunciamiento;Sportivo Las Parejas;22;20;1,1;15;19;0,7895;1,8895
49;29/07/2023;14:10;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Nueva Chicago;Guillermo Brown;23;24;0,9583;23;25;0,92;1,8783
50;29/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;Def. de Cambaceres;Sportivo Barracas;4;7;0,5714;9;7;1,2857;1,8571
51;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Comunicaciones;Villa San Carlos;6;7;0,8571;6;6;1,0;1,8571
52;29/07/2023;20:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Tigre;San Lorenzo;23;26;0,8846;25;26;0,9615;1,8461
53;29/07/2023;14:05;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Deportivo Armenio;Los Andes;7;6;1,1667;4;7;0,5714;1,7381
54;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Sol de Mayo;CA Liniers;19;19;1,0;14;20;0,7;1,7
55;29/07/2023;15:00;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Sarmiento Junin;Banfield;23;26;0,8846;21;26;0,8077;1,6923
56;29/07/2023;14:30;ARGENTINA;LIGA PROFESIONAL - ROUND 27;Central Cordoba;Atl. Tucuman;23;26;0,8846;20;26;0,7692;1,6538
57;29/07/2023;03:00;AUSTRALIA;NPL VICTORIA - ROUND 24;St Albans;North Geelong;21;23;0,913;16;23;0,6957;1,6087
58;29/07/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Temperley;Almagro;25;24;1,0417;14;25;0,56;1,6017
59;29/07/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Boca Unidos;Juventud Antoniana;18;20;0,9;12;19;0,6316;1,5316
60;29/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Leandro N. Alem;Victoriano A.;18;26;0,6923;20;27;0,7407;1,433
61;29/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;UAI Urquiza;Sacachispas;5;7;0,7143;0;6;0,0;0,7143
62;29/07/2023;09:30;WORLD;WORLD CUP WOMEN - ROUND 2;Panama W;Jamaica W;0;1;0,0;0;1;0,0;0,0
63;29/07/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 1;West Armenia;Shirak Gyumri;0;0;0;0;0;0;0
64;29/07/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 1;Noah;Van;0;0;0;0;0;0;0
65;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Hartberg;A. Lustenau;0;0;0;0;0;0;0
66;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Tirol;A. Klagenfurt;0;0;0;0;0;0;0
67;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Wolfsberger AC;BW Linz;0;0;0;0;0;0;0
68;29/07/2023;14:30;AUSTRIA;BUNDESLIGA - ROUND 1;Altach;Salzburg;0;0;0;0;0;0;0
