Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
25;05/08/2023;11:00;LATVIA;1. LIGA - ROUND 14;FK Smiltene;Alberts JDFS;16;13;1,2308;34;13;2,6154;3,8462
26;05/08/2023;02:00;AUSTRALIA;NPL ACT - ROUND 17;Tuggeranong Utd;O'Connor Knights;17;16;1,0625;44;16;2,75;3,8125
27;05/08/2023;09:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;IFK Berga;Rappe GOIF;21;14;1,5;32;14;2,2857;3,7857
28;05/08/2023;21:00;USA;MLS NEXT PRO;Colorado Rapids 2;Vancouver Whitecaps 2;45;19;2,3684;28;20;1,4;3,7684
29;05/08/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;Pitea;Sandviken;19;15;1,2667;37;15;2,4667;3,7334
30;05/08/2023;09:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;Sandvik;Skelleftea;16;14;1,1429;36;14;2,5714;3,7143
31;05/08/2023;10:00;FINLAND;KAKKONEN GROUP A;PPJ;Klubi 04;18;11;1,6364;27;13;2,0769;3,7133
32;05/08/2023;10:00;SWEDEN;SUPERETTAN - ROUND 17;Jonkoping;Utsikten;29;16;1,8125;30;16;1,875;3,6875
33;05/08/2023;03:00;AUSTRALIA;NPL NSW - ROUND 27;Sydney Olympic;APIA Leichhardt;42;26;1,6154;53;26;2,0385;3,6539
34;05/08/2023;04:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;Adelaide Comets;Modbury Jets;27;20;1,35;46;20;2,3;3,65
35;05/08/2023;09:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 15;Gauthiod;Torslanda;21;14;1,5;30;14;2,1429;3,6429
36;05/08/2023;05:30;CHINA;YI LEAGUE - ROUND 14;Guangxi Lanhang;Chongqing Tonglianglong;14;13;1,0769;33;13;2,5385;3,6154
37;05/08/2023;02:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;Croydon Kings;Adelaide U21;37;20;1,85;35;20;1,75;3,6
38;05/08/2023;10:00;FINLAND;YKKONEN;SJK Akatemia;Mikkeli;30;17;1,7647;31;17;1,8235;3,5882
39;05/08/2023;10:00;FINLAND;KAKKONEN GROUP A;PK-35;PEPO;25;12;2,0833;18;12;1,5;3,5833
40;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Mjolner;Floya;25;13;1,9231;21;13;1,6154;3,5385
41;05/08/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 16;Dordoi Bishkek;Muras United;32;15;2,1333;21;15;1,4;3,5333
42;05/08/2023;14:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 19;Dinamo Batumi;Shukura;40;19;2,1053;27;19;1,4211;3,5264
43;05/08/2023;11:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;Notvikens IK;Team TG FF;13;14;0,9286;36;14;2,5714;3,5
44;05/08/2023;11:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 14;Skeid 2;Skanland;28;13;2,1538;17;13;1,3077;3,4615
45;05/08/2023;09:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;IFK Malmo;IFK Trelleborg;19;14;1,3571;29;14;2,0714;3,4285
46;05/08/2023;06:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 12;Olympic Kingsway;Stirling Macedonia;30;18;1,6667;31;18;1,7222;3,3889
47;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Sprint-Jeloy;Mandalskameratene;20;13;1,5385;24;13;1,8462;3,3847
48;05/08/2023;13:00;LATVIA;1. LIGA - ROUND 14;AFA Olaine;Skanste;17;13;1,3077;27;13;2,0769;3,3846
49;05/08/2023;09:00;LITHUANIA;I LYGA - ROUND 17;Jonava;Transinvest;12;16;0,75;42;16;2,625;3,375
50;05/08/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 22;Nacional Potosi;Vaca Diez;39;20;1,95;27;19;1,4211;3,3711
51;05/08/2023;08:45;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;Storfors AIK;Friska Viljor;16;14;1,1429;31;14;2,2143;3,3572
52;05/08/2023;11:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 15;Gute;Skiljebo;18;14;1,2857;29;14;2,0714;3,3571
53;05/08/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Oskarshamn;Oddevold;19;15;1,2667;31;15;2,0667;3,3334
54;05/08/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 14;Stjordals Blink;Strommen;23;13;1,7692;20;13;1,5385;3,3077
55;05/08/2023;16:30;VENEZUELA;LIGA FUTVE - ROUND 22;Estudiantes Merida;Caracas;32;20;1,6;34;20;1,7;3,3
56;05/08/2023;01:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 21;New Lambton;Weston Workers;21;20;1,05;45;20;2,25;3,3
57;05/08/2023;08:00;ESTONIA;ESILIIGA - ROUND 22;Elva;FC Tallinn;27;21;1,2857;42;21;2,0;3,2857
58;05/08/2023;10:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 16;Slavia Mozyr 2;Minsk 2;22;14;1,5714;24;14;1,7143;3,2857
59;05/08/2023;21:00;USA;MLS NEXT PRO;Minnesota 2;North Texas;35;19;1,8421;30;21;1,4286;3,2707
60;05/08/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 15;Pakhtakor;Neftchi Fargona;23;13;1,7692;21;14;1,5;3,2692
61;05/08/2023;20:30;USA;USL LEAGUE ONE;Tormenta;North Carolina;31;19;1,6316;29;18;1,6111;3,2427
62;05/08/2023;09:00;ESTONIA;ESILIIGA - ROUND 22;FC Alliance;Paide Linnameeskond U21;28;21;1,3333;40;21;1,9048;3,2381
63;05/08/2023;10:00;FINLAND;YKKONEN;SalPa;TPS;20;17;1,1765;35;17;2,0588;3,2353
64;05/08/2023;10:00;FAROE ISLANDS;1. DEILD - ROUND 17;Sandur;Hoyvik;26;15;1,7333;24;16;1,5;3,2333
65;05/08/2023;21:00;BRAZIL;SERIE A - ROUND 18;Fluminense;Palmeiras;22;17;1,2941;32;17;1,8824;3,1765
66;05/08/2023;07:30;SOUTH KOREA;K LEAGUE 1 - ROUND 25;Daegu;Ulsan Hyundai;27;24;1,125;49;24;2,0417;3,1667
67;05/08/2023;10:00;FINLAND;KAKKONEN GROUP C;JBK;VIFK;16;12;1,3333;22;12;1,8333;3,1666
68;05/08/2023;08:30;CHINA;YI LEAGUE - ROUND 14;Yunnan Yukun;Hainan Star;31;13;2,3846;10;13;0,7692;3,1538
69;05/08/2023;06:00;JAPAN;J3 LEAGUE - ROUND 21;Toyama;Imabari;33;20;1,65;30;20;1,5;3,15
70;05/08/2023;07:00;JAPAN;J3 LEAGUE - ROUND 21;Gainare Tottori;Yamaga;29;20;1,45;34;20;1,7;3,15
71;05/08/2023;06:00;ESTONIA;ESILIIGA - ROUND 22;Legion;Flora U21;20;21;0,9524;46;21;2,1905;3,1429
72;05/08/2023;12:00;BELARUS;PERSHAYA LIGA - ROUND 17;Osipovichi;Dnepr Mogilev;15;15;1,0;32;15;2,1333;3,1333
73;05/08/2023;23:30;USA;MLS NEXT PRO;Portland Timbers 2;Tacoma Defiance;26;19;1,3684;33;19;1,7368;3,1052
74;05/08/2023;01:30;AUSTRALIA;NPL NORTHERN NSW - ROUND 21;Edgeworth E.;Adamstown Rosebud;39;20;1,95;23;20;1,15;3,1
75;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Tronder-Lyn;Kolstad;28;13;2,1538;12;13;0,9231;3,0769
76;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Askollen;Randesund;28;13;2,1538;12;13;0,9231;3,0769
77;05/08/2023;07:00;JAPAN;J2 LEAGUE - ROUND 29;Fujieda MYFC;Montedio Yamagata;41;28;1,4643;45;28;1,6071;3,0714
78;05/08/2023;10:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 16;Naftan 2;Shakhter Soligorsk 2;14;14;1,0;29;14;2,0714;3,0714
79;05/08/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;IFK Stocksund;Sollentuna;19;15;1,2667;27;15;1,8;3,0667
80;05/08/2023;11:00;BELARUS;PERSHAYA LIGA - ROUND 17;BumProm Gomel;Zhodino Yuzhnoe;21;15;1,4;25;15;1,6667;3,0667
81;05/08/2023;11:00;LITHUANIA;I LYGA - ROUND 17;Marijampole City;Garliava;22;15;1,4667;25;16;1,5625;3,0292
82;05/08/2023;22:00;USA;USL LEAGUE ONE;Northern Colorado;Lexington;32;18;1,7778;25;20;1,25;3,0278
83;05/08/2023;23:00;USA;USL CHAMPIONSHIP;San Diego Loyal;Orange County SC;36;20;1,8;27;22;1,2273;3,0273
84;05/08/2023;20:00;USA;USL CHAMPIONSHIP;Pittsburgh;Tampa Bay;31;23;1,3478;35;21;1,6667;3,0145
85;05/08/2023;19:00;USA;MLS NEXT PRO;Inter Miami II;Orlando City B;20;19;1,0526;39;20;1,95;3,0026
86;05/08/2023;18:30;CHILE;PRIMERA DIVISION - ROUND 20;U. Catolica;A. Italiano;32;19;1,6842;25;19;1,3158;3,0
87;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Verdal;Tiller;18;13;1,3846;21;13;1,6154;3,0
88;05/08/2023;11:00;ICELAND;BESTA DEILD KARLA - ROUND 18;Vestmannaeyjar;Stjarnan;19;17;1,1176;32;17;1,8824;3,0
89;05/08/2023;11:00;LITHUANIA;I LYGA - ROUND 17;BE1 NFA;Siauliai 2;24;15;1,6;22;16;1,375;2,975
90;05/08/2023;20:00;USA;USL LEAGUE ONE;Greenville;Charlotte Independ.;29;19;1,5263;30;21;1,4286;2,9549
91;05/08/2023;23:00;USA;USL CHAMPIONSHIP;Monterey Bay;Sacramento Republic;28;22;1,2727;37;22;1,6818;2,9545
92;05/08/2023;08:00;SWEDEN;SUPERETTAN - ROUND 17;AFC Eskilstuna;Oster;15;16;0,9375;32;16;2,0;2,9375
93;05/08/2023;10:00;FINLAND;KAKKONEN GROUP C;Rovaniemi;Vaajakoski;21;12;1,75;13;11;1,1818;2,9318
94;05/08/2023;12:00;FINLAND;KAKKONEN GROUP C;Hercules;KuPS Akatemia;15;12;1,25;20;12;1,6667;2,9167
95;05/08/2023;10:00;FINLAND;KAKKONEN GROUP A;JIPPO;Futura;23;12;1,9167;12;12;1,0;2,9167
96;05/08/2023;10:00;FINLAND;KAKKONEN GROUP A;Keski-Uusimaa;TiPS;27;12;2,25;8;12;0,6667;2,9167
97;05/08/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 25;Jeonnam;Bucheon FC 1995;35;22;1,5909;29;22;1,3182;2,9091
98;05/08/2023;07:00;JAPAN;J2 LEAGUE - ROUND 29;Okayama;Machida;34;28;1,2143;45;27;1,6667;2,881
99;05/08/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Ypiranga FC;Brusque;23;15;1,5333;20;15;1,3333;2,8666
100;05/08/2023;20:00;USA;USL CHAMPIONSHIP;Indy Eleven;Memphis;23;21;1,0952;37;21;1,7619;2,8571
101;05/08/2023;10:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;Gottne IF;Bergnasets AIK;25;14;1,7857;15;14;1,0714;2,8571
102;05/08/2023;13:30;CHILE;PRIMERA B - ROUND 21;San Felipe;S. Wanderers;33;20;1,65;24;20;1,2;2,85
103;05/08/2023;18:30;CHILE;PRIMERA B - ROUND 21;Cobreloa;La Serena;27;20;1,35;30;20;1,5;2,85
104;05/08/2023;06:00;AUSTRALIA;NPL NSW - ROUND 27;Marconi Stallions;Bulls Academy;52;26;2,0;22;26;0,8462;2,8462
105;05/08/2023;12:00;LATVIA;OPTIBET VIRSLIGA - ROUND 25;Tukums 2000;FK Liepaja;32;24;1,3333;36;24;1,5;2,8333
106;05/08/2023;18:00;BRAZIL;SERIE B - ROUND 22;Sport Recife;Novorizontino;32;21;1,5238;27;21;1,2857;2,8095
107;05/08/2023;10:00;NORWAY;OBOS-LIGAEN - ROUND 16;Jerv;Moss;24;15;1,6;18;15;1,2;2,8
108;05/08/2023;20:00;USA;USL CHAMPIONSHIP;Hartford Athletic;New Mexico;27;21;1,2857;30;20;1,5;2,7857
109;05/08/2023;08:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 15;Osterlen FF;Balkan;17;14;1,2143;22;14;1,5714;2,7857
110;05/08/2023;09:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 14;Donn;Halsen;16;13;1,2308;20;13;1,5385;2,7693
111;05/08/2023;12:00;FINLAND;KAKKONEN GROUP C;Kuopion Elo;OTP;14;12;1,1667;19;12;1,5833;2,75
112;05/08/2023;12:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 19;Gagra;Samgurali;20;19;1,0526;32;19;1,6842;2,7368
113;05/08/2023;08:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;Stockholm Internazionale;Taby;19;15;1,2667;22;15;1,4667;2,7334
114;05/08/2023;08:00;SOUTH KOREA;K LEAGUE 2 - ROUND 25;Gimpo FC;Anyang;22;22;1,0;38;22;1,7273;2,7273
115;05/08/2023;09:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 15;Haninge;Karlslund;21;14;1,5;17;14;1,2143;2,7143
116;05/08/2023;05:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;Adelaide Olympic;White City;26;20;1,3;28;20;1,4;2,7
117;05/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 30;Excursionistas;Atlas;36;28;1,2857;38;27;1,4074;2,6931
118;05/08/2023;12:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 14;Ullern;Alta;11;13;0,8462;24;13;1,8462;2,6924
119;05/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 14;Orkla;Steinkjer;18;13;1,3846;17;13;1,3077;2,6923
120;05/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 17;Jinan Xingzhou;Shijiazhuang Gongfu;19;16;1,1875;24;16;1,5;2,6875
121;05/08/2023;16:00;CHILE;PRIMERA DIVISION - ROUND 20;Huachipato;Coquimbo;28;19;1,4737;23;19;1,2105;2,6842
122;05/08/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Remo;Volta Redonda;14;15;0,9333;26;15;1,7333;2,6666
123;05/08/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 18;Melipilla;San Antonio Unido;24;17;1,4118;21;17;1,2353;2,6471
124;05/08/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 18;Linares Unido;Limache;19;17;1,1176;26;17;1,5294;2,647
125;05/08/2023;08:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 15;Uppsala;Karlbergs;9;14;0,6429;26;13;2,0;2,6429
126;05/08/2023;21:00;USA;USL LEAGUE ONE;Union Omaha;One Knoxville;30;20;1,5;24;21;1,1429;2,6429
127;05/08/2023;09:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 15;Ytterhogdal;Algarna-Harnosand;12;14;0,8571;25;14;1,7857;2,6428
128;05/08/2023;10:00;SWEDEN;SUPERETTAN - ROUND 17;Landskrona;Ostersund;19;16;1,1875;23;16;1,4375;2,625
129;05/08/2023;02:30;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 21;West Adelaide;South Adelaide;19;20;0,95;33;20;1,65;2,6
130;05/08/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;Karlstad;Sylvia;20;15;1,3333;19;15;1,2667;2,6
131;05/08/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 16;Vasalund;Hammarby TFF;20;15;1,3333;19;15;1,2667;2,6
132;05/08/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 18;Ngezi Platinum;Bulawayo Chiefs;21;17;1,2353;23;17;1,3529;2,5882
133;05/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Sp. Carapegua;2 de Mayo;20;19;1,0526;29;19;1,5263;2,5789
134;05/08/2023;04:30;AUSTRALIA;NPL NSW - ROUND 27;NWS Spirit;Sydney Utd;32;26;1,2308;35;26;1,3462;2,577
135;05/08/2023;07:00;SINGAPORE;PREMIER LEAGUE;Tanjong Pagar;Young Lions;30;20;1,5;22;21;1,0476;2,5476
136;05/08/2023;18:10;ARGENTINA;PRIMERA NACIONAL - ROUND 25;Chacarita Juniors;Tristan Suarez;35;24;1,4583;26;24;1,0833;2,5416
137;05/08/2023;19:00;USA;NISA;Flower City Union;Maryland Bobcats;11;11;1,0;23;15;1,5333;2,5333
138;05/08/2023;16:00;BRAZIL;SERIE A - ROUND 18;Santos;Athletico-PR;18;17;1,0588;25;17;1,4706;2,5294
139;05/08/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;Atl. Ottawa;York Utd;25;17;1,4706;19;18;1,0556;2,5262
140;05/08/2023;18:30;BOLIVIA;DIVISION PROFESIONAL - ROUND 22;Independiente Petrolero;Aurora;21;20;1,05;29;20;1,45;2,5
141;05/08/2023;11:00;FINLAND;KAKKONEN GROUP A;Kiffen;NJS;13;12;1,0833;17;12;1,4167;2,5
142;05/08/2023;06:00;JAPAN;J3 LEAGUE - ROUND 21;Gifu;Ehime;21;20;1,05;29;20;1,45;2,5
143;05/08/2023;01:00;AUSTRALIA;NPL ACT - ROUND 17;West Canberra Wanderers;Monaro Panthers;12;16;0,75;26;15;1,7333;2,4833
144;05/08/2023;07:00;JAPAN;J1 LEAGUE - ROUND 22;Nagoya Grampus;Albirex Niigata;30;21;1,4286;22;21;1,0476;2,4762
145;05/08/2023;20:00;USA;USL CHAMPIONSHIP;Miami FC;El Paso;24;22;1,0909;29;21;1,381;2,4719
146;05/08/2023;10:00;FINLAND;YKKONEN;Gnistan;KPV Kokkola;29;17;1,7059;13;17;0,7647;2,4706
147;05/08/2023;20:00;USA;USL LEAGUE ONE;Richmond Kickers;Forward Madison;25;20;1,25;23;19;1,2105;2,4605
148;05/08/2023;10:00;SWEDEN;SUPERETTAN - ROUND 17;Gefle;Brage;19;16;1,1875;20;16;1,25;2,4375
149;05/08/2023;07:00;VIETNAM;V.LEAGUE 1 - RELEGATION GROUP - ROUND 4;Gia Lai;Ho Chi Minh;19;16;1,1875;20;16;1,25;2,4375
150;05/08/2023;23:00;USA;NISA;LA Force;Club de Lyon;13;11;1,1818;15;12;1,25;2,4318
151;05/08/2023;09:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 15;Laholms;Tord;10;14;0,7143;24;14;1,7143;2,4286
152;05/08/2023;11:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 15;Nassjo;Frolunda;14;14;1,0;20;14;1,4286;2,4286
153;05/08/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 16;Aldier;Alay Osh;18;15;1,2;18;15;1,2;2,4
154;05/08/2023;13:00;NORWAY;ELITESERIEN - ROUND 17;Stromsgodset;Valerenga;19;16;1,1875;18;15;1,2;2,3875
155;05/08/2023;09:00;FINLAND;VEIKKAUSLIIGA;HJK;Mariehamn;27;18;1,5;15;17;0,8824;2,3824
156;05/08/2023;07:00;JAPAN;J1 LEAGUE - ROUND 22;Shonan Bellmare;Sanfrecce Hiroshima;26;21;1,2381;24;21;1,1429;2,381
157;05/08/2023;13:30;CHILE;PRIMERA DIVISION - ROUND 20;Magallanes;U. Espanola;20;19;1,0526;25;19;1,3158;2,3684
158;05/08/2023;08:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 15;Forward;IK Zenith;19;14;1,3571;14;14;1,0;2,3571
159;05/08/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 18;Deportes Rengo;Trasandino;22;17;1,2941;18;17;1,0588;2,3529
160;05/08/2023;05:00;JAPAN;J3 LEAGUE - ROUND 21;Tegevajaro Miyazaki;Kagoshima Utd;17;20;0,85;30;20;1,5;2,35
161;05/08/2023;21:00;CHILE;PRIMERA B - ROUND 21;Rangers;Barnechea;24;20;1,2;23;20;1,15;2,35
162;05/08/2023;08:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Tvaaker;Olympic;18;15;1,2;17;15;1,1333;2,3333
163;05/08/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 16;Amazonas;Aparecidense;21;15;1,4;14;15;0,9333;2,3333
164;05/08/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 22;Palmaflor;Oriente Petrolero;22;20;1,1;24;20;1,2;2,3
165;05/08/2023;20:30;USA;NISA;Chattanooga;Savannah Clovers;25;14;1,7857;6;12;0,5;2,2857
166;05/08/2023;10:00;NORWAY;OBOS-LIGAEN - ROUND 16;Mjondalen;Hodd;19;15;1,2667;15;15;1,0;2,2667
167;05/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 16;Chitipa United;Karonga United;18;15;1,2;16;15;1,0667;2,2667
168;05/08/2023;23:30;USA;USL CHAMPIONSHIP;Las Vegas Lights;Rio Grande;20;21;0,9524;27;21;1,2857;2,2381
169;05/08/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 25;Busan;Cheonan City;30;22;1,3636;19;22;0,8636;2,2272
170;05/08/2023;11:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 15;IK Franke;Kvarnsveden;17;14;1,2143;13;13;1,0;2,2143
171;05/08/2023;22:00;VENEZUELA;LIGA FUTVE - ROUND 22;La Guaira;Mineros;24;19;1,2632;19;20;0,95;2,2132
172;05/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Cangzhou;Shenzhen;23;19;1,2105;19;19;1,0;2,2105
173;05/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 20;Atyra;San Lorenzo;19;19;1,0;23;19;1,2105;2,2105
174;05/08/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Ariana;Atvidaberg;19;15;1,2667;14;15;0,9333;2,2
175;05/08/2023;07:00;JAPAN;J3 LEAGUE - ROUND 21;Vanraure;Ryukyu;22;20;1,1;22;20;1,1;2,2
176;05/08/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 18;Brommapojkarna;Varnamo;20;17;1,1765;17;17;1,0;2,1765
177;05/08/2023;12:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 18;Shakhter Karagandy;Atyrau;19;17;1,1176;18;17;1,0588;2,1764
178;05/08/2023;17:00;BRAZIL;SERIE B - ROUND 22;Ituano;Guarani;19;21;0,9048;26;21;1,2381;2,1429
179;05/08/2023;07:00;SOUTH KOREA;K LEAGUE 1 - ROUND 25;Suwon Bluewings;Suwon FC;25;24;1,0417;26;24;1,0833;2,125
180;05/08/2023;08:00;CHINA;JIA LEAGUE - ROUND 17;Shenyang Urban FC;Suzhou Dongwu;15;16;0,9375;19;16;1,1875;2,125
181;05/08/2023;08:00;CHINA;JIA LEAGUE - ROUND 17;Yanbian Longding;Dandong Tengyue;16;16;1,0;18;16;1,125;2,125
182;05/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 30;General Lamadrid;Puerto Nuevo;35;28;1,25;23;27;0,8519;2,1019
183;05/08/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 15;Turon;Nasaf Qarshi;10;14;0,7143;18;13;1,3846;2,0989
184;05/08/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 15;Ba;Labasa;14;13;1,0769;14;14;1,0;2,0769
185;05/08/2023;09:00;BELARUS;PERSHAYA LIGA - ROUND 17;Petrikov;Lida;14;15;0,9333;17;15;1,1333;2,0666
