Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
226;31/05/2023;20:30;USA;MLS;DC United;CF Montreal;27;43;1,186;31;43;1,4884;0,6279;0,7209;1,3488
227;31/05/2023;20:30;USA;MLS;Inter Miami;New York Red Bulls;29;40;1,35;26;43;0,9535;0,725;0,6047;1,3297
228;31/05/2023;20:30;USA;MLS;New York City;FC Cincinnati;30;43;1,186;27;39;1,4872;0,6977;0,6923;1,39
229;31/05/2023;20:30;USA;MLS;Philadelphia Union;Charlotte;25;40;1,15;31;41;1,2927;0,625;0,7561;1,3811
230;31/05/2023;20:30;USA;MLS;Toronto FC;Chicago Fire;28;43;1,2326;31;42;1,3333;0,6512;0,7381;1,3893
231;31/05/2023;21:30;USA;MLS;Austin FC;Minnesota United;28;40;1,3;28;43;1,186;0,7;0,6512;1,3512
232;31/05/2023;21:30;USA;MLS;Sporting Kansas City;FC Dallas;32;43;1,3023;28;43;0,907;0,7442;0,6512;1,3954
233;31/05/2023;22:30;USA;MLS;Real Salt Lake;Los Angeles Galaxy;32;43;1,3488;32;42;1,3095;0,7442;0,7619;1,5061
234;31/05/2023;23:30;USA;MLS;Seattle Sounders;San Jose Earthquakes;33;43;1,1628;34;43;1,4419;0,7674;0,7907;1,5581
235;31/05/2023;23:30;USA;MLS;Vancouver Whitecaps;Houston Dynamo;31;42;1,3095;28;40;1,125;0,7381;0,7;1,4381
236;31/05/2023;23:00;USA;USL CHAMPIONSHIP;Monterey Bay;FC Tulsa;30;43;1,3488;30;43;1,2791;0,6977;0,6977;1,3954
237;31/05/2023;12:00;USA;USL LEAGUE TWO;Flint City;Lansing City;25;38;1,2895;18;26;1,0769;0,6579;0,6923;1,3502
238;31/05/2023;17:00;USA;USL LEAGUE TWO;Black Rock;Pathfinder;31;37;1,7838;15;25;1,24;0,8378;0,6;1,4378
239;31/05/2023;19:00;USA;USL LEAGUE TWO;St. Charles;Chicago Dutch Lions;16;16;2,5;22;24;2,0;1,0;0,9167;1,9167
240;31/05/2023;19:00;USA;USL LEAGUE TWO;Tobacco Road;Charlotte Independ. 2;34;37;2,1081;22;28;1,75;0,9189;0,7857;1,7046
241;31/05/2023;19:00;USA;USL LEAGUE TWO;Virginia Marauders;Lionsbridge;16;16;1,5;35;40;2,075;1,0;0,875;1,875
242;31/05/2023;20:00;USA;USL LEAGUE TWO;Albany Rush;AC Connecticut;20;26;1,6923;30;38;2,1316;0,7692;0,7895;1,5587
243;31/05/2023;20:00;USA;USL LEAGUE TWO;Brevard SC;The Villages;12;16;0,75;30;40;1,375;0,75;0,75;1,5
244;31/05/2023;20:00;USA;USL LEAGUE TWO;Cedar;Hudson Valley;30;37;1,7568;22;28;2,1429;0,8108;0,7857;1,5965
245;31/05/2023;20:00;USA;USL LEAGUE TWO;Cleveland Force;Kings Hammer;15;17;1,9412;25;32;1,4375;0,8824;0,7812;1,6636
246;31/05/2023;20:00;USA;USL LEAGUE TWO;Dayton;Toledo Villa;28;33;1,9394;24;26;2,0;0,8485;0,9231;1,7716
247;31/05/2023;20:00;USA;USL LEAGUE TWO;Florida Elite;Tampa Bay U23;27;32;1,3438;16;22;1,3182;0,8438;0,7273;1,5711
248;31/05/2023;20:00;USA;USL LEAGUE TWO;Seacoast Utd Phantoms;Boston Bolts;30;38;1,7368;28;33;1,8788;0,7895;0,8485;1,638
249;31/05/2023;20:00;USA;USL LEAGUE TWO;South Bend Lions;Ann Arbor;25;28;1,7857;14;18;1,4444;0,8929;0,7778;1,6707
250;31/05/2023;20:00;USA;USL LEAGUE TWO;Wake FC;North Carolina FC U23;38;40;1,85;24;31;1,6452;0,95;0,7742;1,7242
251;31/05/2023;20:00;USA;USL LEAGUE TWO;Weston;Miami;24;34;1,2059;16;28;0,7143;0,7059;0,5714;1,2773
252;31/05/2023;20:30;USA;USL LEAGUE TWO;Long Island;Motown;28;40;1,375;33;40;1,5;0,7;0,825;1,525
253;31/05/2023;21:00;USA;USL LEAGUE TWO;AHFC Royals;Corpus Christi FC;22;28;1,6786;25;29;1,6207;0,7857;0,8621;1,6478
254;31/05/2023;21:00;USA;USL LEAGUE TWO;Blue Goose;Mississippi Brilla;16;17;2,4118;27;39;1,4872;0,9412;0,6923;1,6335
255;31/05/2023;21:00;USA;USL LEAGUE TWO;Manhattan;New Jersey Copa;31;39;1,5128;25;30;1,3333;0,7949;0,8333;1,6282
