Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
19;08/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 21;Meizhou Hakka;Changchun Yatai;28;20;1,4;32;20;1,6;3,0
20;08/08/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 25;North Geelong;Oakleigh Cannons;16;24;0,6667;55;24;2,2917;2,9584
21;08/08/2023;17:15;PERU;LIGA 2 - ROUND 19;Alianza Huanuco;Santos;31;18;1,7222;20;18;1,1111;2,8333
22;08/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 20;Merani Martvili;Spaeri;13;19;0,6842;35;19;1,8421;2,5263
23;08/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 19;Kelantan United;Terengganu;18;18;1,0;25;18;1,3889;2,3889
24;08/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 21;Zhejiang Professional;Nantong Zhiyun;31;20;1,55;16;20;0,8;2,35
25;08/08/2023;21:00;USA;NISA;Albion San Diego;Club de Lyon;16;14;1,1429;15;13;1,1538;2,2967
26;08/08/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 16;Angelholm;Eskilsminne;6;15;0,4;28;15;1,8667;2,2667
27;08/08/2023;08:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Ba Ria Vung Tau;PVF-CAND;11;14;0,7857;19;14;1,3571;2,1428
28;08/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 20;Merani Tbilisi;WIT Georgia;15;19;0,7895;25;19;1,3158;2,1053
29;08/08/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 25;Ansan Greeners;Cheongju;21;22;0,9545;25;22;1,1364;2,0909
30;08/08/2023;07:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Binh Phuoc;Hoa Binh;16;14;1,1429;11;14;0,7857;1,9286
31;08/08/2023;07:30;KYRGYZSTAN;PREMIER LIGA - ROUND 17;Kara Balta;Muras United;7;16;0,4375;22;16;1,375;1,8125
32;08/08/2023;14:00;SWEDEN;SUPERETTAN - ROUND 17;Helsingborg;Orgryte;13;16;0,8125;16;16;1,0;1,8125
33;08/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;Khatlon;Ravshan;8;15;0,5333;19;15;1,2667;1,8
34;08/08/2023;15:00;PERU;LIGA 2 - ROUND 19;Pirata;Carlos Stein;14;18;0,7778;18;18;1,0;1,7778
35;08/08/2023;06:30;AUSTRALIA;NPL NSW - ROUND 27;Sutherland Sharks;Mount Druitt Rangers;17;26;0,6538;28;26;1,0769;1,7307
36;08/08/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Phu Tho;Hue;14;14;1,0;10;14;0,7143;1,7143
37;08/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;CSKA Pomir Dushanbe;Khosilot Parkhar;11;14;0,7857;11;15;0,7333;1,519
38;08/08/2023;14:00;ICELAND;BESTA DEILD WOMEN - ROUND 13;Tindastoll W;Selfoss W;12;14;0,8571;8;14;0,5714;1,4285
39;08/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 16;Mighty Tigers;Bangwe All Stars;8;15;0,5333;12;15;0,8;1,3333
