Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
189;19/05/2023;12:00;SLOVAKIA;2. LIGA - ROUND 30;Trebisov;D. Kubin;0;0;0;0;0;0.0;0;0;0;0
190;19/05/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 36;ND Gorica;Tabor Sezana;0;0;0;0;0;0.0;0;0;0;0
191;19/05/2023;11:30;SLOVENIA;2. SNL - ROUND 30;Krsko;Rogaska;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
192;19/05/2023;11:30;SLOVENIA;2. SNL - ROUND 30;NK Krka;Aluminij;0;0;0;30;43;0.0;0;0,6977;0,6977;0,0
193;19/05/2023;12:00;SLOVENIA;2. SNL - ROUND 30;Primorje;Grosuplje;0;0;0;0;0;0.0;0;0;0;0
194;19/05/2023;12:30;SLOVENIA;2. SNL - ROUND 30;Dob;Triglav;0;0;0;0;0;0.0;0;0;0;0
195;19/05/2023;04:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 12;Boeun Sangmu W;Changnyeong W;0;0;0;32;43;0.046511627906976744;0;0,7442;0,7442;0,0
196;19/05/2023;04:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 12;Sejong Sportstoto W;Incheon Hyundai Steel W;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
197;19/05/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 12;Gyeongju W;Hwacheon W;0;0;0;29;43;0.046511627906976744;0;0,6744;0,6744;0,0
198;19/05/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 12;Seoul W;Suwon FC W;0;0;0;35;43;0.023255813953488372;0;0,814;0,814;0,0
199;19/05/2023;14:00;SPAIN;LIGA F WOMEN - ROUND 30;Real Sociedad W;Real Madrid W;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
200;19/05/2023;15:00;SPAIN;LIGA F WOMEN - ROUND 30;Sevilla FC W;Valencia W;0;0;0;0;0;0.0;0;0;0;0
201;19/05/2023;16:00;SPAIN;LIGA F WOMEN - ROUND 30;Atl. Madrid W;Granadilla Tenerife W;0;0;0;34;43;0.023255813953488372;0;0,7907;0,7907;0,0
202;19/05/2023;14:00;SWEDEN;SUPERETTAN - ROUND 8;Brage;Gefle;0;0;0;36;43;0.046511627906976744;0;0,8372;0,8372;0,0
203;19/05/2023;13:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Hacken W;Linkoping W;0;0;0;0;0;0.0;0;0;0;0
204;19/05/2023;13:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 9;Kristianstad W;Djurgarden W;0;0;0;0;0;0.0;0;0;0;0
205;19/05/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 34;Aarau;Schaffhausen;0;0;0;0;0;0.0;0;0;0;0
206;19/05/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 34;Lausanne Ouchy;Yverdon;0;0;0;0;0;0.0;0;0;0;0
207;19/05/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 34;Thun;Lausanne;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
208;19/05/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 34;Xamax;Bellinzona;0;0;0;29;43;0.0;0;0,6744;0,6744;0,0
209;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Jaish;Jableh;0;0;0;0;0;0.0;0;0;0;0
210;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Karamah;Wathbah;0;0;0;0;0;0.0;0;0;0;0
211;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al Wahda;Al Taliya;0;0;0;0;0;0.0;0;0;0;0
212;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Al-Ittihad;Hottin;0;0;0;0;0;0.0;0;0;0;0
213;19/05/2023;09:00;SYRIA;PREMIER LEAGUE - ROUND 20;Tishreen;Al Majd;0;0;0;0;0;0.0;0;0;0;0
214;19/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Khujand;Khatlon;0;0;0;0;0;0.0;0;0;0;0
215;19/05/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Ravshan;Faizkand;0;0;0;0;0;0.0;0;0;0;0
216;19/05/2023;10:30;TAJIKISTAN;VYSSHAYA LIGA - ROUND 10;Istiqlol Dushanbe;Khosilot Parkhar;0;0;0;0;0;0.0;0;0;0;0
217;19/05/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;Defence Force;Prison Service;0;0;0;0;0;0.0;0;0;0;0
218;19/05/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 16;La Horquetta;Central FC;0;0;0;0;0;0.0;0;0;0;0
219;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Express;Maroons;0;0;0;0;0;0.0;0;0;0;0
220;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Gadaffi;UPDF;0;0;0;26;43;0.0;0;0,6047;0,6047;0,0
221;19/05/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 29;Onduparaka FC;Blacks Power;0;0;0;16;25;0.16;0;0,64;0,64;0,0
222;19/05/2023;08:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Dnipro-1;Kolos Kovalivka;0;0;0;0;0;0.0;0;0;0;0
223;19/05/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Vorskla Poltava;Kryvbas;0;0;0;23;43;0.0;0;0,5349;0,5349;0,0
224;19/05/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 27;Shakhtar Donetsk;Veres-Rivne;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
225;19/05/2023;22:00;USA;USL CHAMPIONSHIP;FC Tulsa;Memphis;0;0;0;36;43;0.023255813953488372;0;0,8372;0,8372;0,0
226;19/05/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 11;Buxoro;Sogdiana;0;0;0;27;43;0.0;0;0,6279;0,6279;0,0
227;19/05/2023;18:00;VENEZUELA;LIGA FUTVE - ROUND 15;Universidad Central;Rayo Zuliano;0;0;0;0;0;0.0;0;0;0;0
228;19/05/2023;20:15;VENEZUELA;LIGA FUTVE - ROUND 15;Angostura;Zamora;0;0;0;0;0;0.0;0;0;0;0
229;19/05/2023;07:00;VIETNAM;V.LEAGUE 1 - ROUND 8;Gia Lai;Thanh Hoa;0;0;0;27;43;0.0;0;0,6279;0,6279;0,0
230;19/05/2023;08:00;WORLD;FRIENDLY INTERNATIONAL;Sweden U16;Poland U16;0;0;0;0;0;0.0;0;0;0;0
231;19/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Denmark U16;Belgium U16;0;0;0;0;0;0.0;0;0;0;0
232;19/05/2023;16:00;WORLD;ARAB CLUB CHAMPIONS CUP - QUALIFICATION - FINAL;FAR Rabat;Al Wahda;0;0;0;27;43;0.046511627906976744;0;0,6279;0,6279;0,0
233;19/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Japan U19 W;Panama U20 W;0;0;0;0;0;0.0;0;0;0;0
234;19/05/2023;16:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;France U20 W;Cameroon U20 W;0;0;0;0;0;0.0;0;0;0;0
235;19/05/2023;10:00;ZIMBABWE;PREMIER SOCCER LEAGUE - ROUND 10;Yadah;Herentals;0;0;0;0;0;0.0;0;0;0;0
