Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
75;24/08/2023;21:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 4;Miguelito;Alajuelense;40;22;35;21;1,8182;1,1535;1,6667;1,5533;3,4849;3,07;5,11;4,26;9,29;5,57;5,07;32,37
76;24/08/2023;08:00;NORWAY;NASJONAL U19 CL - LOSERS PLAY OFFS - QUARTER-FINALS;Start U19;Kristiansund U19;41;22;35;21;1,8636;1,7398;1,6667;1,9599;3,5303;2,93;4,88;4,07;9,1;5,46;5,09;31,53
77;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Farul Constanta;HJK;50;22;24;19;2,2727;2,049;1,2632;1,0178;3,5359;2,91;3,68;2,32;8,37;6,62;7,53;31,43
78;24/08/2023;15:45;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Klaksvik;Sheriff Tiraspol;49;23;31;21;2,1304;1,9628;1,4762;1,3316;3,6066;2,71;4,01;2,96;8,54;5,78;6,16;30,16
79;24/08/2023;10:00;NORWAY;NASJONAL U19 CL - PLAY OFFS - QUARTER-FINALS;Stromsgodset U19;Aalesund U19;87;20;51;22;4,35;2,1512;2,3182;2,2236;6,6682;0,13;0,29;0,34;1,28;0,55;1,2;3,79
80;24/08/2023;14:00;WORLD;CLUB FRIENDLY WOMEN;Barcelona W;Juventus W;94;22;51;21;4,2727;2,2194;2,4286;1,3997;6,7013;0,12;0,3;0,36;1,28;0,53;1,12;3,71
81;24/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;O. Ljubljana;Qarabag;39;22;43;23;1,7727;1,3461;1,8696;1,5409;3,6423;2,62;4,9;4,58;8,68;4,64;4,12;29,54
82;24/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 21;Ekibastuz;Turkistan;43;21;37;23;2,0476;1,5268;1,6087;1,5808;3,6563;2,58;4,15;3,34;8,51;5,29;5,41;29,28
83;24/08/2023;13:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Nordsjaelland;Partizan;51;22;27;20;2,3182;1,3944;1,35;1,1522;3,6682;2,55;3,45;2,33;7,99;5,91;6,86;29,09
84;24/08/2023;12:50;KUWAIT;PREMIER LEAGUE - ROUND 1;Al Kuwait;Al Jahra;54;23;28;21;2,3478;1,9249;1,3333;1,3569;3,6811;2,52;3,36;2,24;7,89;5,92;6,94;28,87
85;24/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Gent;APOEL;43;20;34;22;2,15;1,3883;1,5455;0,8381;3,6955;2,48;3,84;2,97;8,25;5,34;5,74;28,62
86;24/08/2023;05:30;WORLD;FRIENDLY INTERNATIONAL;Italy U16;England U16;41;25;38;18;1,64;1,1621;2,1111;1,3287;3,7511;2,35;4,96;5,24;8,13;3,85;3,16;27,69
87;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Levski Sofia;Eintracht Frankfurt;40;24;53;25;1,6667;1,3744;2,12;3,0242;3,7867;2,27;4,81;5,09;8,01;3,78;3,15;27,11
88;24/08/2023;15:30;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Slovan Bratislava;Aris;42;20;39;23;2,1;1,179;1,6957;1,3;3,7957;2,25;3,81;3,23;8,0;4,72;4,95;26,96
89;24/08/2023;15:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Hearts;PAOK;39;20;45;24;1,95;1,7741;1,875;1,3938;3,825;2,18;4,09;3,84;7,98;4,26;4,15;26,5
