Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;jogosAway;GPH;GAH;GPA;GAA;avgHome;avgAway;avgSum;U25;O25
119;txwvzgqE;19/09/2023;16:00;WALES;LEAGUE CUP - 1/8-FINALS;Aberystwyth;Pontypridd;20;23;1,25;1,85;1,3043;1,6522;1,4511;1,5772;3,0283;41,69;58,1
120;MsNLfSNT;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;DVS '33 Ermelo;IJsselmeervogels;21;20;1,6667;0,9524;1,25;2,2;1,9333;1,1012;3,0345;41,56;58,02
121;YqJqxKd1;19/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 1;Winchester;Walton & Hersham;20;17;1,25;2,0;1,3529;1,4706;1,3603;1,6765;3,0368;41,5;58,27
122;jNCxjjvg;19/09/2023;14:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 7;Mainz II;Hoffenheim II;21;19;1,8571;1,2857;2,2105;0,7368;1,297;1,7481;3,0451;41,31;58,44
123;WMqBSAyl;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Afan Lido;Cardiff Metropolitan;22;22;2,3636;1,2273;1,0;1,5;1,9318;1,1136;3,0455;41,31;58,31
124;0SlP6OGf;19/09/2023;15:00;ENGLAND;EFL TROPHY;Doncaster;Everton U21;21;23;0,9524;1,3333;1,5217;2,3043;1,6284;1,4275;3,0559;41,08;58,73
125;4zrJQl60;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Buckley;Gresford;21;24;2,0;1,4762;1,2917;1,375;1,6875;1,3839;3,0714;40,75;59,08
126;xChUUk5T;19/09/2023;15:00;ENGLAND;EFL TROPHY;Leyton Orient;Fulham U21;16;19;1,0625;1,0;2,7368;1,3684;1,2155;1,8684;3,0839;40,46;59,21
127;pU5LdGWA;19/09/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 7;Burghausen;Furth II;22;20;1,7727;1,0909;1,55;1,8;1,7864;1,3205;3,1068;39,96;59,76
128;ADrFRUjf;19/09/2023;15:45;WALES;LEAGUE CUP - 1/8-FINALS;Guilsfield;Bala;20;17;2,1;1,25;1,4118;1,4706;1,7853;1,3309;3,1162;39,76;59,95
129;SzEdRk6g;19/09/2023;15:00;PERU;LIGA 2 - ROUND 25;Carlos Stein;Llacuabamba;21;21;1,1905;2,1429;1,0476;1,8571;1,5238;1,5952;3,119;39,7;60,05
130;EgRCR8hi;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;DEM;Sportlust;23;22;1,7826;1,3913;1,5909;1,5;1,6413;1,4911;3,1324;39,41;60,37
131;0vJKSFhU;19/09/2023;08:30;ASIA;ASIAN GAMES - ROUND 1;South Korea U23;Kuwait U23;26;20;2,3846;1,0385;1,1;1,75;2,0673;1,0692;3,1365;39,32;60,13
132;OUiaLm2F;19/09/2023;15:15;LIBERIA;LFA FIRST DIVISION - ROUND 2;NPA Anchors;LPRC Oiler;21;23;1,0952;1,7619;1,8696;1,5652;1,3302;1,8157;3,146;39,12;60,52
133;YcttAiqh;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Dorking;Wealdstone;20;21;1,75;1,7;1,0;1,8571;1,8036;1,35;3,1536;38,96;60,77
134;QeDrJ2GE;19/09/2023;21:30;BRAZIL;SERIE A - ROUND 24;America MG;Bragantino;22;22;1,8182;1,5;1,4091;1,5909;1,7045;1,4545;3,1591;38,86;60,88
135;b3ET3QRd;19/09/2023;13:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Ahal;Al Feiha;21;21;3,0;0,8571;1,0952;1,381;2,1905;0,9762;3,1667;38,68;60,55
136;2DMv9JEF;19/09/2023;14:00;AUSTRIA;REGIONALLIGA EAST - ROUND 7;Austria Vienna;Neusiedl;24;20;1,7917;1,4583;1,35;1,75;1,7708;1,4042;3,175;38,51;61,21
137;OnDNiATN;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Altrincham;Hartlepool;20;19;1,6;1,55;1,3684;1,8421;1,7211;1,4592;3,1803;38,42;61,33
138;jwT0Ww4C;19/09/2023;11:00;PORTUGAL;LIGA REVELACAO U23 - ROUND 5;Sporting CP U23;Mafra U23;23;18;1,9565;1,6957;1,1111;1,6111;1,7838;1,4034;3,1872;38,26;61,44
139;8zsqtHzq;19/09/2023;07:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Yokohama F. Marinos;Incheon;23;19;2,6087;1,2609;1,1579;1,3684;1,9886;1,2094;3,1979;38,03;61,48
140;GpOPgDdA;19/09/2023;12:15;GERMANY;OBERLIGA BAYERN SÜD - ROUND 14;Pipinsried;Gundelfingen;19;20;0,8947;2,5263;1,2;1,8;1,3474;1,8632;3,2105;37,77;61,87
141;WxtKacb8;19/09/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 5;ATSV;Bayern Hof;21;21;1,7143;1,6667;1,4286;1,619;1,6667;1,5476;3,2143;37,69;62,05
142;zZACeFkO;19/09/2023;11:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Paris SG U19;Dortmund U19;21;23;1,9048;1,381;1,8261;1,3478;1,6263;1,6035;3,2298;37,37;62,34
143;d89eS3U2;19/09/2023;12:00;POLAND;POLISH CUP - 1/32-FINALS;Legnica 2;S. Rzeszow;22;24;1,5455;2,4091;0,9583;1,625;1,5852;1,6837;3,2689;36,56;63,14
144;MP52NUMD;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Folkestone;Margate;22;22;2,2727;1,4091;1,0909;1,7727;2,0227;1,25;3,2727;36,49;63,0
145;boqQ350p;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;GVVV;Barendrecht;22;22;2,0455;1,2273;1,8182;1,4545;1,75;1,5227;3,2727;36,48;63,23
146;Oj9mjnWp;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;RKAV Volendam;Westlandia;21;21;1,7619;1,8095;1,0;2,1429;1,9524;1,4048;3,3571;34,8;64,72
147;46SGe88N;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;Scheveningen;Hoek;22;22;1,2273;1,4545;2,0909;1,9545;1,5909;1,7727;3,3636;34,69;64,92
148;8ET7HuVC;19/09/2023;15:45;ENGLAND;EFL TROPHY;Sutton;Aston Villa U21;21;28;1,1905;1,0952;2,0;2,5;1,8452;1,5476;3,3929;34,11;65,46
149;Em6wpIV7;19/09/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 4;Augsburg II;Bayreuth;23;22;2,087;1,5217;1,2727;1,9091;1,998;1,3972;3,3953;34,06;65,4
150;Au5LFIzt;19/09/2023;09:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Lazio U19;Atl. Madrid U19;20;24;2,6;0,95;1,9167;1,3333;1,9667;1,4333;3,4;33,97;65,54
151;t6lhabRF;19/09/2023;11:00;SLOVAKIA;3. LIGA - WEST - ROUND 7;MSK Martin;Raca;18;26;2,0;1,6111;1,3846;1,8846;1,9423;1,4979;3,4402;33,22;66,32
152;AaXnM3Gs;19/09/2023;15:00;ENGLAND;EFL TROPHY;Shrewsbury;Brighton U21;22;21;1,5;1,3636;2,1429;1,9048;1,7024;1,7532;3,4556;32,9;66,68
153;dWiradsL;19/09/2023;09:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Kaya;Shandong Taishan;23;23;3,5217;0,5652;1,7826;1,1304;2,3261;1,1739;3,5;32,08;66,88
154;IsIFslRh;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Manchester City;Crvena zvezda;23;20;2,8696;0,6087;2,65;0,9;1,8848;1,6293;3,5141;31,82;67,73
155;WjoM3Q5e;19/09/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Burnley U21;Sheffield Wed U21;19;16;1,8947;2,2632;1,0625;1,8125;1,8536;1,6628;3,5164;31,79;67,75
156;QBmGdyJf;19/09/2023;12:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 7;Wolfsberger AC;Vorwarts Steyr;19;22;2,0526;1,8947;0,9545;2,1364;2,0945;1,4246;3,5191;31,73;67,62
157;8UFnpsmi;19/09/2023;13:45;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Young Boys;RB Leipzig;23;16;3,087;0,8261;1,875;1,25;2,1685;1,3505;3,519;31,73;67,53
158;Qemhjvfh;19/09/2023;11:00;PORTUGAL;LIGA REVELACAO U23 - ROUND 5;Gil Vicente U23;Vizela U23;19;21;2,1053;1,5263;1,8095;1,6667;1,886;1,6679;3,5539;31,1;68,44
159;ziEOSPbg;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Cray Valley;Northwood;16;16;1,9375;2,0625;1,5625;1,5625;1,75;1,8125;3,5625;30,94;68,55
160;xlM3d5SH;19/09/2023;08:00;GERMANY;REGIONALLIGA NORTH - ROUND 7;Hamburger SV II;Hannover II;22;22;2,0;1,2273;2,0909;1,8182;1,9091;1,6591;3,5682;30,83;68,63
161;SIh3HiDm;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Feyenoord;Celtic;26;22;2,6923;1,0;2,2727;1,1818;1,9371;1,6364;3,5734;30,75;68,69
162;4xXdM5Y3;19/09/2023;11:30;CZECH REPUBLIC;U19 LEAGUE - ROUND 6;Sparta Prague U19;Dukla Prague U19;23;22;2,2609;1,1739;1,3182;2,4091;2,335;1,246;3,581;30,6;68,36
163;6PuVVjSt;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Paris SG;Dortmund;22;25;2,0;1,2273;2,64;1,36;1,68;1,9336;3,6136;30,04;69,42
164;2DI2qQKT;19/09/2023;15:00;ENGLAND;PREMIER LEAGUE CUP;Norwich U21;Wolves U21;17;21;2,0;2,0588;1,1905;2,0476;2,0238;1,6246;3,6485;29,43;69,98
165;fusrZCbK;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Ammanford;Briton Ferry;22;22;1,8182;1,7273;2,5;1,3182;1,5682;2,1136;3,6818;28,86;70,41
166;xfcVEV8o;19/09/2023;15:00;NETHERLANDS;KNVB BEKER - 1/64-FINALS;Eemdijk;Harkemase Boys;24;22;1,7083;2,3333;1,5;1,8636;1,786;1,9167;3,7027;28,5;70,91
167;ImuyJSOl;19/09/2023;00:00;MEXICO;LIGA MX - APERTURA - ROUND 8;Pachuca;Santos Laguna;20;22;2,15;1,4;1,6364;2,2273;2,1886;1,5182;3,7068;28,43;70,74
168;jBSDTjMs;19/09/2023;15:45;WALES;LEAGUE CUP - 1/8-FINALS;Prestatyn;Colwyn Bay;22;21;2,1818;1,4545;2,8095;1,0;1,5909;2,132;3,7229;28,16;71,13
169;4SDg29tO;19/09/2023;07:00;ASIA;AFC CUP - ROUND 1;Maziya;Bashundara Kings;30;23;3,9;0,4667;2,1304;1,1739;2,537;1,2986;3,8355;26,32;72,11
170;n1nolijH;19/09/2023;09:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Johor DT;Kawasaki Frontale;23;21;3,7391;0,4348;1,7143;1,8095;2,7743;1,0745;3,8489;26,11;71,55
171;lW3PExjn;19/09/2023;10:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Feyenoord U19;Celtic U19;21;21;2,381;1,7619;1,7143;1,8571;2,119;1,7381;3,8571;25,97;73,18
172;vXbeB96D;19/09/2023;15:45;WALES;LEAGUE CUP - 1/8-FINALS;TNS;Porthmadog;20;22;4,0;0,75;1,3636;1,9091;2,9545;1,0568;4,0114;23,63;73,23
173;l2tnYWDQ;19/09/2023;15:30;WALES;LEAGUE CUP - 1/8-FINALS;Swansea U21;Cardiff U21;21;23;3,3333;1,4286;1,3043;2,1304;2,7319;1,3665;4,0983;22,4;75,38
