Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
122;25/08/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 4;Cape Town Spurs;Chippa Utd.;35;21;20;19;1,6667;0,8909;1,0526;0,8255;2,7193;6,59;6,94;3,65;11,57;10,99;9,15;48,89
123;25/08/2023;16:00;IRELAND;DIVISION 1 - ROUND 28;Finn Harps;Longford;22;19;33;21;1,1579;1,348;1,5714;1,4333;2,7293;6,52;10,26;8,06;11,87;7,55;4,37;48,63
124;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 1;Baia Mare;Sighetu Marmatiei;31;19;20;18;1,6316;1,1792;1,1111;1,2862;2,7427;6,44;7,16;3,97;11,68;10,51;8,57;48,33
125;25/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 19;Haukar;IR Reykjavik;28;21;31;22;1,3333;1,0838;1,4091;1,267;2,7424;6,44;9,08;6,39;12,1;8,59;5,73;48,33
126;25/08/2023;15:30;ITALY;SERIE B - ROUND 2;Sampdoria;Pisa;39;23;22;21;1,6957;1,5724;1,0476;0,9989;2,7433;6,44;6,74;3,53;11,43;10,91;9,25;48,3
127;25/08/2023;14:00;GERMANY;REGIONALLIGA NORTH - ROUND 5;SC Weiche-08;VfB Oldenburg;34;23;32;25;1,4783;1,0159;1,28;1,3717;2,7583;6,34;8,11;5,19;12,0;9,37;6,93;47,94
128;25/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 5;Vorwarts Steyr;Ried;23;19;31;20;1,2105;0,6943;1,55;1,4309;2,7605;6,32;9,8;7,6;11,87;7,66;4,63;47,88
129;25/08/2023;22:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Aguilas;Ind. Medellin;35;21;22;20;1,6667;1,0389;1,1;0,8888;2,7667;6,29;6,92;3,8;11,53;10,48;8,73;47,75
130;25/08/2023;21:00;ECUADOR;LIGA PRO - SECOND STAGE - ROUND 19;EL Nacional;Cumbaya;48;22;13;22;2,1818;1,4025;0,5909;0,7781;2,7727;6,25;3,69;1,09;8,06;13,63;14,88;47,6
131;25/08/2023;14:00;DENMARK;1ST DIVISION - ROUND 7;Horsens;Naestved;28;19;26;20;1,4737;1,3521;1,3;1,3454;2,7737;6,24;8,12;5,28;11,96;9,2;6,78;47,58
132;25/08/2023;15:30;POLAND;EKSTRAKLASA - ROUND 6;Widzew Lodz;Slask Wroclaw;35;26;30;21;1,3462;1,2386;1,4286;1,7613;2,7748;6,24;8,91;6,36;11,99;8,4;5,65;47,55
133;25/08/2023;18:00;URUGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 2;Defensor Sp.;Wanderers;38;24;25;21;1,5833;1,0375;1,1905;1,0963;2,7738;6,24;7,43;4,42;11,76;9,88;7,82;47,55
134;25/08/2023;13:00;AUSTRIA;WIEN - ROUND 2;Wienerberger;Schwechat;41;25;25;22;1,64;1,7636;1,1364;1,1792;2,7764;6,23;7,08;4,02;11,6;10,21;8,37;47,51
135;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;Cambuur;Jong Ajax;34;24;29;21;1,4167;1,5253;1,381;1,4953;2,7977;6,09;8,42;5,81;11,93;8,63;6,12;47,0
136;25/08/2023;10:00;ARMENIA;FIRST LEAGUE - ROUND 5;Pyunik Yerevan 2;Shirak Gyumri 2;37;21;23;22;1,7619;1,6876;1,0455;1,0215;2,8074;6,04;6,31;3,3;11,12;10,63;9,37;46,77
137;25/08/2023;15:30;ROMANIA;LIGA 1 - ROUND 7;U Craiova 1948;FC Rapid Bucuresti;35;21;23;20;1,6667;1,3569;1,15;1,1948;2,8167;5,98;6,88;3,96;11,46;9,97;8,3;46,55
138;25/08/2023;13:00;LITHUANIA;I LYGA - ROUND 20;Garliava;Neptunas;26;21;30;19;1,2381;0,9209;1,5789;1,5666;2,817;5,98;9,44;7,45;11,69;7,4;4,58;46,54
139;25/08/2023;21:00;MEXICO;LIGA PREMIER SERIE A - ROUND 3;Tecos FC;Gavilanes de Matamoros;38;22;23;21;1,7273;1,0082;1,0952;1,2688;2,8225;5,95;6,51;3,57;11,25;10,27;8,87;46,42
140;25/08/2023;14:00;DENMARK;2ND DIVISION;Hellerup;Nykobing;39;23;26;23;1,6957;1,2313;1,1304;0,9466;2,8261;5,93;6,7;3,79;11,36;10,05;8,52;46,35
141;25/08/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 5;Rochdale;Bromley;27;20;30;20;1,35;1,2757;1,5;0,9747;2,85;5,78;8,68;6,51;11,71;7,81;5,27;45,76
142;25/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 5;SV Oberwart;TWL Elektra;17;21;49;24;0,8095;0,794;2,0417;2,3537;2,8512;5,78;11,8;12,04;9,55;4,68;1,89;45,74
143;25/08/2023;23:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 6;Cartagines;AD Santos;39;20;19;21;1,95;1,2835;0,9048;0,8109;2,8548;5,76;5,21;2,36;10,16;11,22;10,94;45,65
144;25/08/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 8;Mazatlan FC W;Club America W;15;22;50;23;0,6818;0,9717;2,1739;1,8333;2,8557;5,75;12,5;13,59;8,52;3,92;1,34;45,62
145;25/08/2023;13:00;POLAND;DIVISION 1 - ROUND 6;Tychy;Legnica;38;22;25;22;1,7273;1,1748;1,1364;1,2539;2,8637;5,71;6,49;3,68;11,2;9,86;8,51;45,45
146;25/08/2023;13:00;CZECH REPUBLIC;DIVISION D - ROUND 4;Vrchovina;Havlickuv Brod;30;20;30;22;1,5;1,4663;1,3636;1,7721;2,8636;5,7;7,78;5,31;11,67;8,56;6,42;45,44
147;25/08/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 5;Southend;Eastleigh;36;21;23;20;1,7143;0,9828;1,15;0,9631;2,8643;5,7;6,56;3,77;11,24;9,77;8,38;45,42
148;25/08/2023;15:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;Middlesbrough U21;Wolves U21;32;18;23;21;1,7778;1,1811;1,0952;1,0191;2,873;5,65;6,19;3,39;11,01;10,05;8,93;45,22
149;25/08/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 8;Eltersdorf;Kornburg;35;20;26;23;1,75;1,2196;1,1304;0,9915;2,8804;5,61;6,34;3,59;11,1;9,82;8,59;45,05
150;25/08/2023;14:00;DENMARK;2ND DIVISION;FA 2000;AB Copenhagen;21;18;36;21;1,1667;1,118;1,7143;1,2778;2,881;5,61;9,61;8,24;11,22;6,54;3,82;45,04
151;25/08/2023;15:30;BELGIUM;BELGIAN CUP - QUALIFICATION - SEMI-FINALS;Dessel;Tongeren;30;24;36;22;1,25;1,199;1,6364;1,5535;2,8864;5,58;9,13;7,47;11,41;6,97;4,36;44,92
152;25/08/2023;15:30;POLAND;DIVISION 1 - ROUND 6;Lechia Gdansk;Podbeskidzie;31;24;29;18;1,2917;1,5674;1,6111;1,1125;2,9028;5,49;8,84;7,12;11,42;7,09;4,58;44,54
153;25/08/2023;13:00;CZECH REPUBLIC;DIVISION 2 - ROUND 7;Jihlava;Chrudim;41;21;19;20;1,9524;1,5879;0,95;0,8047;2,9024;5,49;5,21;2,48;10,18;10,72;10,46;44,54
154;25/08/2023;15:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 5;Bellinzona;Thun;23;18;31;19;1,2778;1,3665;1,6316;1,5631;2,9094;5,45;8,9;7,26;11,37;6,97;4,45;44,4
155;25/08/2023;23:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 7;Consultants Desamparados;Cariari Pococi;38;22;28;23;1,7273;1,2856;1,2174;1,0614;2,9447;5,26;6,41;3,9;11,06;9,09;7,85;43,57
156;25/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 21;Akademiya Ontustik;FC Astana 2;39;21;23;21;1,8571;1,7535;1,0952;1,3418;2,9523;5,22;5,72;3,13;10,62;9,7;9,0;43,39
157;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;Dordrecht;Maastricht;36;24;32;22;1,5;1,472;1,4545;1,3727;2,9545;5,21;7,58;5,51;11,37;7,82;5,86;43,35
158;25/08/2023;15:45;WALES;CYMRU PREMIER - ROUND 3;Pontypridd;Penybont;28;20;33;21;1,4;1,2;1,5714;1,3997;2,9714;5,12;8,05;6,33;11,27;7,17;5,02;42,96
159;25/08/2023;23:30;USA;MLS NEXT PRO;Vancouver Whitecaps 2;North Texas;39;21;25;22;1,8571;1,2066;1,1364;0,9674;2,9935;5,01;5,69;3,23;10,58;9,31;8,64;42,46
160;25/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 5;St. Polten;Floridsdorfer AC;33;23;39;25;1,4348;1,1731;1,56;1,4444;2,9948;5,0;7,81;6,09;11,2;7,18;5,15;42,43
161;25/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 28;Shamrock Rovers;Dundalk;45;22;19;20;2,0455;1,609;0,95;0,7399;2,9955;5,0;4,75;2,26;9,72;10,23;10,46;42,42
162;25/08/2023;13:00;CZECH REPUBLIC;DIVISION A - ROUND 4;Marianske Lazne;Sokolov;47;22;19;22;2,1364;1,4553;0,8636;0,6938;3,0;4,98;4,3;1,86;9,19;10,64;11,36;42,33
163;25/08/2023;15:00;ICELAND;DIVISION 1 - ROUND 19;Grindavik;Aegir;27;18;33;22;1,5;1,2134;1,5;1,234;3,0;4,98;7,47;5,6;11,2;7,47;5,6;42,32
164;25/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 28;Athlone;Wexford;37;22;29;22;1,6818;1,0611;1,3182;1,3276;3,0;4,98;6,56;4,32;11,04;8,37;7,04;42,31
165;25/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 6;Buchbach;Burghausen;40;22;24;20;1,8182;1,4025;1,2;1,4697;3,0182;4,89;5,87;3,52;10,66;8,89;8,08;41,91
166;25/08/2023;12:00;FINLAND;KAKKONEN GROUP C;GBK Kokkola;Narpes Kraft;37;20;26;22;1,85;1,2757;1,1818;1,2298;3,0318;4,82;5,7;3,37;10,55;8,92;8,25;41,61
167;25/08/2023;15:45;NORTHERN IRELAND;NIFL CHAMPIONSHIP - ROUND 4;Portadown;Bangor FC;23;20;32;17;1,15;1,0137;1,8824;1,278;3,0324;4,82;9,07;8,54;10,44;5,54;3,19;41,6
168;25/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 5;Liefering;Ried;49;24;19;19;2,0417;1,6703;1,0;1,026;3,0417;4,78;4,78;2,39;9,75;9,75;9,96;41,41
169;25/08/2023;15:45;NORTHERN IRELAND;NIFL PREMIERSHIP - ROUND 5;Ballymena;Glentoran;22;18;42;23;1,2222;1,3563;1,8261;1,3401;3,0483;4,74;8,66;7,91;10,59;5,8;3,54;41,24
170;25/08/2023;13:10;AUSTRIA;2. LIGA - ROUND 5;Admira;Amstetten;35;25;33;20;1,4;1,2961;1,65;1,4586;3,05;4,73;7,81;6,45;10,94;6,63;4,64;41,2
171;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;Roda;Oss;41;23;28;22;1,7826;1,2839;1,2727;1,3545;3,0553;4,71;5,99;3,81;10,68;8,4;7,48;41,07
172;25/08/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Fateh;Al Nassr;29;20;37;23;1,45;1,0712;1,6087;1,4961;3,0587;4,69;7,55;6,08;10,95;6,81;4,93;41,01
173;25/08/2023;13:30;DENMARK;SUPERLIGA - ROUND 6;Randers FC;Viborg;32;24;40;23;1,3333;1,1426;1,7391;1,2586;3,0724;4,63;8,05;7,0;10,74;6,18;4,12;40,72
174;25/08/2023;15:45;NORTHERN IRELAND;NIFL PREMIERSHIP - ROUND 5;Dungannon;Coleraine;32;20;31;21;1,6;1,5297;1,4762;1,4013;3,0762;4,61;6,81;5,03;10,89;7,38;5,9;40,62
175;25/08/2023;13:00;ITALY;PRIMAVERA 1 - ROUND 1;Inter U19;Empoli U19;44;22;22;20;2,0;1,3484;1,1;0,995;3,1;4,5;4,95;2,72;9,91;9,01;9,01;40,1
176;25/08/2023;14:30;FRANCE;NATIONAL - ROUND 3;Niort;Villefranche;29;19;30;19;1,5263;1,3905;1,5789;1,4624;3,1052;4,48;7,08;5,58;10,8;6,84;5,22;40,0
177;25/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA - ROUND 23;Dila Gori;Shukura;33;18;27;21;1,8333;1,5723;1,2857;1,2399;3,119;4,42;5,68;3,65;10,42;8,1;7,43;39,7
178;25/08/2023;13:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 8;Wurzburger FV;Eichstatt;30;19;37;24;1,5789;1,5666;1,5417;1,7315;3,1206;4,41;6,8;5,24;10,74;6,97;5,5;39,66
179;25/08/2023;15:45;WALES;CYMRU PREMIER - ROUND 3;Bala;Connahs Q.;39;24;32;21;1,625;1,1479;1,5238;1,3316;3,1488;4,29;6,54;4,98;10,62;6,97;5,67;39,07
180;25/08/2023;15:10;KUWAIT;PREMIER LEAGUE - ROUND 1;Al Arabi;Al Salmiya;39;23;35;24;1,6957;1,333;1,4583;1,0793;3,154;4,27;6,22;4,54;10,55;7,24;6,14;38,96
181;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 1;Viitorul Cluj;Gloria 2018 Bistrita;31;20;34;21;1,55;1,3219;1,619;1,8892;3,169;4,2;6,81;5,51;10,55;6,52;5,05;38,64
182;25/08/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 18;Team TG FF;Friska Viljor;28;22;42;22;1,2727;1,7368;1,9091;1,2026;3,1818;4,15;7,93;7,57;10,09;5,28;3,36;38,38
183;25/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 21;Kelantan;Selangor;26;22;46;23;1,1818;0,8332;2,0;1,8178;3,1818;4,15;8,3;8,3;9,81;4,9;2,9;38,36
184;25/08/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 8;Neudrossenfeld;Ingolstadt II;33;23;35;20;1,4348;1,1731;1,75;1,337;3,1848;4,14;7,24;6,34;10,39;5,94;4,26;38,31
185;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;De Graafschap;FC Emmen;41;21;30;24;1,9524;1,5268;1,25;1,199;3,2024;4,07;5,08;3,18;9,92;7,94;7,75;37,94
186;25/08/2023;14:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 8;1. SC Feucht;Donaustauf;26;20;40;21;1,3;1,1874;1,9048;1,5401;3,2048;4,06;7,73;7,36;10,04;5,28;3,43;37,9
187;25/08/2023;09:00;THAILAND;THAI LEAGUE 1 - ROUND 3;Lamphun Warrior;Bangkok Utd;29;21;42;23;1,381;1,2141;1,8261;1,4935;3,2071;4,05;7,39;6,75;10,21;5,59;3,86;37,85
188;25/08/2023;13:00;DENMARK;2ND DIVISION;Aarhus Fremad;Brabrand;40;20;23;19;2,0;1,5811;1,2105;0,9503;3,2105;4,03;4,88;2,95;9,77;8,07;8,07;37,77
189;25/08/2023;16:30;SPAIN;LALIGA - ROUND 3;Celta Vigo;Real Madrid;26;19;35;19;1,3684;1,1792;1,8421;1,4605;3,2105;4,03;7,43;6,84;10,17;5,52;3,78;37,77
190;25/08/2023;15:30;AUSTRIA;2. LIGA - ROUND 5;Dornbirn;Bregenz;19;18;41;19;1,0556;1,0259;2,1579;1,3865;3,2135;4,02;8,68;9,36;9,16;4,25;2,24;37,71
191;25/08/2023;15:45;NORTHERN IRELAND;NIFL CHAMPIONSHIP - ROUND 4;Ards;H&W Welders;33;18;29;21;1,8333;1,2583;1,381;0,9989;3,2143;4,02;5,55;3,83;10,17;7,37;6,75;37,69
192;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 4 - ROUND 1;FC Pucioasa;Moreni;31;22;38;21;1,4091;1,3704;1,8095;1,3316;3,2186;4,0;7,24;6,55;10,2;5,64;3,97;37,6
193;25/08/2023;19:00;CHILE;PRIMERA DIVISION - ROUND 22;Union La Calera;U. De Chile;31;19;35;22;1,6316;1,1337;1,5909;2,0595;3,2225;3,98;6,34;5,04;10,35;6,5;5,3;37,51
194;25/08/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 18;Landvetter;Savedalen;32;21;34;20;1,5238;1,2196;1,7;1,5843;3,2238;3,98;6,77;5,75;10,31;6,07;4,62;37,5
195;25/08/2023;13:30;WORLD;CLUB FRIENDLY;Cayon;Rayo Cantabria;42;20;27;24;2,1;1,6093;1,125;1,0129;3,225;3,98;4,47;2,52;9,39;8,35;8,77;37,48
196;25/08/2023;12:50;KUWAIT;PREMIER LEAGUE - ROUND 1;Al Qadisiya;Khaitan;39;21;26;19;1,8571;1,7535;1,3684;1,1337;3,2255;3,97;5,44;3,72;10,1;7,38;6,85;37,46
197;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 1;Baile Felix;CSM Zalau;35;20;34;23;1,75;1,0428;1,4783;2,0188;3,2283;3,96;5,86;4,33;10,25;6,93;6,07;37,4
198;25/08/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 5;Allerheiligen;SC Weiz;28;19;37;21;1,4737;1,3905;1,7619;1,411;3,2356;3,93;6,93;6,11;10,21;5,8;4,27;37,25
199;25/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 19;Fjallabyggd;Volsungur;41;21;27;21;1,9524;1,9143;1,2857;0,7649;3,2381;3,92;5,04;3,24;9,85;7,66;7,48;37,19
200;25/08/2023;13:30;NORWAY;DIVISION 3 - GROUP 3 - ROUND 17;Staal Jorpeland;Brodd;42;22;28;21;1,9091;1,7557;1,3333;1,0389;3,2424;3,91;5,21;3,47;9,95;7,46;7,12;37,12
201;25/08/2023;14:00;GERMANY;OBERLIGA WESTFALEN - ROUND 3;Siegen;Finnentrop/Bamenohl;34;20;34;22;1,7;1,3077;1,5455;1,751;3,2455;3,9;6,02;4,65;10,23;6,62;5,63;37,05
202;25/08/2023;12:00;CZECH REPUBLIC;MSFL - ROUND 4;Zlinsko;Hodonin;31;18;32;21;1,7222;1,3252;1,5238;1,2196;3,246;3,89;5,93;4,52;10,22;6,7;5,77;37,03
203;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 5 - ROUND 1;Kids Tampa Brasov;Sepsi Sf. Gheorghe 2;38;22;35;23;1,7273;1,4827;1,5217;1,7661;3,249;3,88;5,91;4,49;10,2;6,7;5,79;36,97
204;25/08/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 28;Bohemians;Derry City;42;21;25;20;2,0;1,5736;1,25;1,299;3,25;3,88;4,85;3,03;9,69;7,76;7,76;36,97
205;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 1;Metalurgistul Cugir;Avantul Reghin;40;21;27;20;1,9048;1,2307;1,35;1,5256;3,2548;3,86;5,21;3,52;9,92;7,35;7,0;36,86
206;25/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 5;Traiskirchen;Leobendorf;39;21;28;20;1,8571;1,7535;1,4;1,2;3,2571;3,85;5,39;3,77;10,01;7,15;6,64;36,81
207;25/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 6;Aschaffenburg;Turkgucu Munchen;37;20;27;19;1,85;1,558;1,4211;1,2276;3,2711;3,8;5,39;3,83;9,98;7,03;6,5;36,53
208;25/08/2023;15:00;AUSTRIA;BURGENLAND - ROUND 4;Ritzing;Deutschkreutz;36;20;31;21;1,8;1,249;1,4762;1,3669;3,2762;3,78;5,58;4,12;10,03;6,8;6,12;36,43
209;25/08/2023;13:00;AZERBAIJAN;PREMIER LEAGUE - ROUND 4;Araz;Sumqayit;49;20;19;23;2,45;1,4309;0,8261;1,0896;3,2761;3,78;3,12;1,29;7,64;9,26;11,34;36,43
210;25/08/2023;13:30;DENMARK;ELITEDIVISIONEN WOMEN - ROUND 1;KoldingQ W;Aarhus W;25;23;46;21;1,087;1,2481;2,1905;2,0614;3,2775;3,77;8,26;9,05;8,98;4,1;2,23;36,39
211;25/08/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 18;Varbergs GIF;BK Astrio;26;21;45;22;1,2381;1,1086;2,0455;1,609;3,2836;3,75;7,67;7,84;9,5;4,64;2,87;36,27
212;25/08/2023;14:30;AUSTRIA;REGIONALLIGA EAST - ROUND 5;Drassburg;Mauerwerk;41;20;26;21;2,05;1,6576;1,2381;1,2307;3,2881;3,73;4,62;2,86;9,47;7,65;7,84;36,17
213;25/08/2023;22:00;PANAMA;LPF - CLAUSURA - ROUND 6;Independiente;Potros del Este;42;20;25;21;2,1;1,2207;1,1905;0,8518;3,2905;3,73;4,43;2,64;9,31;7,82;8,21;36,14
214;25/08/2023;14:30;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 4;Heeslinger;BSV Rehden;39;22;35;23;1,7727;1,5935;1,5217;1,4407;3,2944;3,71;5,64;4,3;10,0;6,57;5,83;36,05
215;25/08/2023;13:00;ITALY;PRIMAVERA 1 - ROUND 1;Sassuolo U19;Sampdoria U19;46;23;26;20;2,0;1,0632;1,3;1,1;3,3;3,69;4,79;3,12;9,59;7,38;7,38;35,95
216;25/08/2023;15:45;WORLD;CLUB FRIENDLY;Mosta;Santa Lucia;49;23;27;23;2,1304;1,2956;1,1739;0,8674;3,3043;3,67;4,31;2,53;9,18;7,83;8,34;35,86
217;25/08/2023;13:00;ESTONIA;MEISTRILIIGA - ROUND 25;Flora;Harju JK Laagri;43;22;27;20;1,9545;1,5219;1,35;1,5898;3,3045;3,67;4,96;3,34;9,69;7,17;7,01;35,84
218;25/08/2023;06:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 4;Dukla Prague U19;Ceske Budejovice U19;35;21;35;21;1,6667;1,3569;1,6667;1,4254;3,3334;3,57;5,95;4,95;9,91;5,95;4,95;35,28
219;25/08/2023;15:00;NETHERLANDS;EERSTE DIVISIE - ROUND 3;Den Bosch;Den Haag;31;19;36;21;1,6316;1,346;1,7143;1,6078;3,3459;3,52;6,04;5,18;9,85;5,75;4,69;35,03
220;25/08/2023;14:00;GERMANY;REGIONALLIGA WEST - ROUND 5;Wiedenbruck;Ahlen;48;22;21;18;2,1818;1,3697;1,1667;1,2134;3,3485;3,51;4,1;2,39;8,94;7,67;8,36;34,97
221;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 6 - ROUND 1;Sporting Rosiori;Ramnicu Valcea;55;21;14;19;2,619;1,3619;0,7368;1,0178;3,3558;3,49;2,57;0,95;6,73;9,14;11,96;34,84
222;25/08/2023;14:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 3;West Brom U21;Sunderland U21;31;15;31;24;2,0667;1,436;1,2917;1,1719;3,3584;3,48;4,49;2,9;9,29;7,19;7,43;34,78
223;25/08/2023;16:00;WORLD;CLUB FRIENDLY WOMEN;Guingamp W;Fleury 91 W;29;22;45;22;1,3182;1,2929;2,0455;1,5219;3,3637;3,46;7,08;7,24;9,33;4,56;3,01;34,68
224;25/08/2023;14:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 4;Hertha Zehlendorf;RSV Eintracht;41;21;27;19;1,9524;1,3619;1,4211;0,9356;3,3735;3,43;4,87;3,46;9,51;6,69;6,53;34,49
225;25/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 6;Memmingen;Schweinfurt;27;21;46;22;1,2857;1,0754;2,0909;1,3111;3,3766;3,42;7,14;7,47;9,18;4,39;2,82;34,42
226;25/08/2023;14:30;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 5;Deutschlandsberger;WSC Wels;40;24;36;21;1,6667;1,3123;1,7143;1,2778;3,381;3,4;5,83;5,0;9,72;5,67;4,72;34,34
227;25/08/2023;15:45;IRELAND;DIVISION 1 - ROUND 28;Bray;Waterford;24;20;46;21;1,2;1,077;2,1905;1,7077;3,3905;3,37;7,38;8,08;8,85;4,04;2,43;34,15
228;25/08/2023;15:30;WALES;CYMRU NORTH - ROUND 5;Guilsfield;Llanidloes;45;21;30;24;2,1429;1,6983;1,25;1,479;3,3929;3,36;4,2;2,63;9,0;7,2;7,72;34,11
229;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 2 - ROUND 1;CSM Focsani;CSM Ramnicu Sarat;48;22;23;19;2,1818;2,2691;1,2105;1,1507;3,3923;3,36;4,07;2,46;8,88;7,34;8,0;34,11
230;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 3 - ROUND 1;Inainte Modelu;Voluntari 2;37;22;36;21;1,6818;1,3614;1,7143;1,666;3,3961;3,35;5,74;4,92;9,66;5,64;4,74;34,05
231;25/08/2023;14:00;GERMANY;REGIONALLIGA BAYERN - ROUND 6;Illertissen;SpVgg Bayreuth;50;23;27;22;2,1739;1,7106;1,2273;1,929;3,4012;3,33;4,09;2,51;8,89;7,25;7,88;33,95
232;25/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 24;Henan Songshan Longmen;Shanghai Port;23;18;49;23;1,2778;1,0957;2,1304;1,6499;3,4082;3,31;7,05;7,51;9,01;4,23;2,7;33,81
233;25/08/2023;12:00;ROMANIA;LIGA 3 - SERIA 5 - ROUND 1;Odorheiu;Targu Secuiesc;52;22;21;20;2,3636;2,1436;1,05;1,1608;3,4136;3,29;3,46;1,82;8,17;7,78;9,2;33,72
234;25/08/2023;11:30;CZECH REPUBLIC;DIVISION E - ROUND 4;Novy Jicin;Prerov;41;23;33;20;1,7826;1,667;1,65;1,6815;3,4326;3,23;5,33;4,4;9,5;5,76;5,13;33,35
235;25/08/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 6;Aluminij;Mura;53;23;25;22;2,3043;2,4572;1,1364;1,0994;3,4407;3,2;3,64;2,07;8,39;7,38;8,51;33,19
236;25/08/2023;13:00;CZECH REPUBLIC;MSFL - ROUND 4;Start Brno;Blansko;43;20;22;17;2,15;1,4925;1,2941;1,3619;3,4441;3,19;4,13;2,67;8,88;6,86;7,38;33,11
237;25/08/2023;14:30;GERMANY;OBERLIGA HESSEN - ROUND 5;SV Steinbach;Hanau;40;21;34;22;1,9048;1,6007;1,5455;1,3048;3,4503;3,17;4,91;3,79;9,34;6,04;5,76;33,01
238;25/08/2023;13:00;CZECH REPUBLIC;MSFL - ROUND 4;Hlucin;Znojmo;36;18;32;22;2,0;1,3744;1,4545;1,3727;3,4545;3,16;4,59;3,34;9,19;6,32;6,32;32,92
239;25/08/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 21;Zhenis;Taraz;45;21;25;19;2,1429;1,2454;1,3158;1,6875;3,4587;3,15;4,14;2,72;8,87;6,75;7,23;32,86
240;25/08/2023;14:00;GERMANY;REGIONALLIGA NORDOST - ROUND 5;Viktoria Berlin;Altglienicke;24;18;49;23;1,3333;0,9428;2,1304;2,0066;3,4637;3,13;6,67;7,11;8,9;4,18;2,78;32,77
241;25/08/2023;12:00;FINLAND;VEIKKAUSLIIGA;VPS;KTP;33;20;42;23;1,65;1,5256;1,8261;2,7291;3,4761;3,09;5,65;5,16;9,32;5,1;4,21;32,53
242;25/08/2023;08:00;POLAND;CENTRAL YOUTH LEAGUE - ROUND 3;Wisla U19;Zaglebie U19;35;21;38;21;1,6667;1,4907;1,8095;1,3669;3,4762;3,09;5,6;5,06;9,33;5,15;4,29;32,52
