Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
75;02/06/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 19;Prison Service;Port Of Spain;15;18;3,1667;25;30;3,5;0,8333;0,8333;1,6666;6,6667
76;02/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Ypiranga AP;Santana EC;25;30;3,0667;23;28;3,5714;0,8333;0,8214;1,6547;6,6381
77;02/06/2023;13:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 29;Horni Redice;Lazne Bohdanec;26;30;3,4667;23;30;2,8;0,8667;0,7667;1,6334;6,2667
78;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Abahani Limited;Sheikh Jamal;26;30;4,0;23;30;2,8333;0,8667;0,7667;1,6334;6,8333
79;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Seoul W;Incheon Hyundai Steel W;26;30;3,3333;23;30;2,6333;0,8667;0,7667;1,6334;5,9666
80;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Deutschlandsberger;Allerheiligen;26;30;3,5333;23;30;3,0667;0,8667;0,7667;1,6334;6,6
81;02/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;FK Kyran;Turkistan;26;30;4,4333;23;30;4,0667;0,8667;0,7667;1,6334;8,5
82;02/06/2023;13:00;CZECH REPUBLIC;CFL - GROUP A - ROUND 29;Pisek;Vltavin;25;30;3,6333;24;30;2,8333;0,8333;0,8;1,6333;6,4666
83;02/06/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 32;A. Lustenau;Hartberg;24;30;3,5;25;30;3,0;0,8;0,8333;1,6333;6,5
84;02/06/2023;19:00;USA;USL LEAGUE TWO;St. Petersburg FC;Weston;3;3;3,6667;19;30;2,2667;1,0;0,6333;1,6333;5,9334
85;02/06/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 10;Landvetter;Qviding;21;30;2,5667;28;30;3,6333;0,7;0,9333;1,6333;6,2
86;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Suwon FC W;Hwacheon W;24;30;2,7;25;30;2,7;0,8;0,8333;1,6333;5,4
87;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Athlone;Longford;27;30;3,7;22;30;2,5667;0,9;0,7333;1,6333;6,2667
88;02/06/2023;23:00;MEXICO;LIGA MX WOMEN - CLAUSURA - PLAY OFFS - FINAL;Pachuca W;Club America W;25;30;3,9;24;30;3,4667;0,8333;0,8;1,6333;7,3667
89;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Waterford;Treaty United;22;30;3,1333;27;30;3,1667;0,7333;0,9;1,6333;6,3
90;02/06/2023;10:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;Dire Dawa;Adama City;27;30;2,9667;22;30;2,4;0,9;0,7333;1,6333;5,3667
91;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Gleisdorf;Kalsdorf;27;30;3,4333;22;30;2,9333;0,9;0,7333;1,6333;6,3666
92;02/06/2023;13:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 29;Hluboka nad Vltavou;Milevsko;27;30;3,5667;22;30;3,3;0,9;0,7333;1,6333;6,8667
93;02/06/2023;14:00;DENMARK;1ST DIVISION - RELEGATION GROUP - ROUND 32;Hillerod;Hobro;25;30;2,7333;24;30;2,5;0,8333;0,8;1,6333;5,2333
94;02/06/2023;13:00;POLAND;III LIGA - GROUP II - ROUND 32;Ol. Grudziadz;Sroda;22;30;2,6667;27;30;4,3333;0,7333;0,9;1,6333;7,0
95;02/06/2023;20:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 16;Aurora;Libertad Gran Mamore;22;30;2,4;27;30;3,3333;0,7333;0,9;1,6333;5,7333
96;02/06/2023;14:00;DENMARK;2ND DIVISION - RELEGATION GROUP - ROUND 8;Roskilde;BK Frem;22;30;2,8;27;30;3,5333;0,7333;0,9;1,6333;6,3333
97;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 10;Breidablik;Vikingur Reykjavik;24;30;3,3;25;30;3,1667;0,8;0,8333;1,6333;6,4667
98;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 11;Valur;Hafnarfjordur;21;30;2,8333;27;30;4,0;0,7;0,9;1,6;6,8333
99;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Paris FC;Annecy;21;30;2,6667;27;30;3,2333;0,7;0,9;1,6;5,9
100;02/06/2023;13:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Vantaa W;PK-35 Helsinki W;23;30;3,4;25;30;3,1333;0,7667;0,8333;1,6;6,5333
101;02/06/2023;15:30;ITALY;SERIE A - ROUND 38;Sassuolo;Fiorentina;24;30;2,9667;24;30;2,8667;0,8;0,8;1,6;5,8334
102;02/06/2023;15:00;ICELAND;LENGJUDEILDIN - ROUND 5;Thor Akureyri;Aegir;22;30;3,2333;26;30;3,5333;0,7333;0,8667;1,6;6,7666
103;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Bray;Galway;25;30;3,0333;23;30;2,9333;0,8333;0,7667;1,6;5,9666
104;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Wexford;Cobh Ramblers;24;30;2,8333;24;30;2,9333;0,8;0,8;1,6;5,7666
105;02/06/2023;11:00;ITALY;PRIMAVERA 1 - PLAY OFFS - QUARTER-FINALS;Sassuolo U19;Juventus U19;23;30;2,7333;25;30;3,5667;0,7667;0,8333;1,6;6,3
106;02/06/2023;13:00;CZECH REPUBLIC;DIVISION C - ROUND 29;Novy Bydzov;Dobrovice;25;30;3,0;23;30;3,3667;0,8333;0,7667;1,6;6,3667
107;02/06/2023;12:30;CZECH REPUBLIC;MSFL - ROUND 31;Velke Mezirici;Vrchovina;29;30;4,1333;19;30;2,6;0,9667;0,6333;1,6;6,7333
108;02/06/2023;16:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;Mexico U20 W;Canada U20 W;22;30;3,4333;26;30;4,9;0,7333;0,8667;1,6;8,3333
109;02/06/2023;22:30;PERU;LIGA 1 - APERTURA - ROUND 18;U. de Deportes;Cusco;21;30;2,2667;27;30;2,9;0,7;0,9;1,6;5,1667
110;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Gyeongju W;Boeun Sangmu W;24;30;2,7333;24;30;2,7;0,8;0,8;1,6;5,4333
111;02/06/2023;06:45;AUSTRALIA;NPL NSW - ROUND 18;Sutherland Sharks;Central Coast U21;20;30;2,4333;28;30;3,2667;0,6667;0,9333;1,6;5,7
112;02/06/2023;14:00;SWEDEN;DIVISION 1 - NORRA - ROUND 11;Karlstad;Orebro Syr.;24;30;3,0;24;30;3,1;0,8;0,8;1,6;6,1
113;02/06/2023;14:30;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;IFK Skovde;Saffle SK;26;30;4,0;22;30;2,8333;0,8667;0,7333;1,6;6,8333
114;02/06/2023;10:00;TURKEY;TFF 3. LIG PLAY OFFS - SEMI-FINALS;Beyoglu Yeni Carsi;Efeler 09;26;30;3,3;22;30;2,7;0,8667;0,7333;1,6;6,0
115;02/06/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 30;Minaj U19;Zorya U19;24;30;3,1667;24;30;3,5333;0,8;0,8;1,6;6,7
116;02/06/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - QUALIFICATION - FINAL;Nouadhibou;Al Kuwait;23;30;2,8667;25;30;3,5667;0,7667;0,8333;1,6;6,4334
117;02/06/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 7;Dagon;Ispe FC;22;28;3,3929;24;30;3,0;0,7857;0,8;1,5857;6,3929
118;02/06/2023;21:00;USA;USL LEAGUE TWO;Minneapolis City;Bavarian United;13;16;3,5;10;13;3,0;0,8125;0,7692;1,5817;6,5
119;02/06/2023;21:30;ECUADOR;LIGA PRO - FIRST STAGE - ROUND 13;LDU Quito;Libertad;26;30;2,8333;21;30;2,5333;0,8667;0,7;1,5667;5,3666
120;02/06/2023;13:30;GERMANY;REGIONALLIGA BAYERN - RELEGATION - FINAL;Eichstatt;Memmingen;26;30;3,4333;21;30;2,4;0,8667;0,7;1,5667;5,8333
121;02/06/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 13;Kelantan United;Kelantan;23;30;2,6333;24;30;3,3;0,7667;0,8;1,5667;5,9333
122;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;SAK Klagenfurt;Ried (Am);24;30;3,2;23;30;3,1667;0,8;0,7667;1,5667;6,3667
123;02/06/2023;14:30;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 42;SSVg Velbert;Germania Ratingen;23;30;3,4667;24;30;3,1667;0,7667;0,8;1,5667;6,6334
124;02/06/2023;11:00;SEYCHELLES;FIRST DIVISION LEAGUE - CHAMPIONSHIP GROUP - ROUND 14;Red Star;St Michel United;24;30;3,3667;23;30;2,5333;0,8;0,7667;1,5667;5,9
125;02/06/2023;19:00;BRAZIL;SERIE B - ROUND 10;Botafogo SP;Tombense;23;30;2,3667;24;30;2,7;0,7667;0,8;1,5667;5,0667
126;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;Shamrock Rovers;Dundalk;25;30;2,9333;22;30;2,7333;0,8333;0,7333;1,5666;5,6666
127;02/06/2023;20:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 21;Guarani;Olimpia Asuncion;25;30;2,8333;22;30;2,4333;0,8333;0,7333;1,5666;5,2666
128;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;St Etienne;Valenciennes;25;30;2,9;22;30;2,6667;0,8333;0,7333;1,5666;5,5667
129;02/06/2023;14:00;TURKEY;SUPER LIG WOMEN - PLAY OFFS - FINAL;Fomget GSK W;Fenerbahce W;23;30;4,4333;23;30;3,7333;0,7667;0,7667;1,5334;8,1666
130;02/06/2023;11:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Huracan 2;Central Cordoba 2;23;30;2,7667;23;30;2,8333;0,7667;0,7667;1,5334;5,6
131;02/06/2023;12:00;CZECH REPUBLIC;DIVISION D - ROUND 25;Breclav;Bohunice;23;30;3,4;23;30;3,2;0,7667;0,7667;1,5334;6,6
132;02/06/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 32;Ried;Wolfsberger AC;23;30;2,8667;23;30;2,8333;0,7667;0,7667;1,5334;5,7
133;02/06/2023;07:00;SOUTH KOREA;K3 LEAGUE - ROUND 13;Busan Kyotong;Changwon;26;30;2,6333;20;30;2,0;0,8667;0,6667;1,5334;4,6333
134;02/06/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 11;Sol de America;3 de Febrero;23;30;2,7667;23;30;2,2;0,7667;0,7667;1,5334;4,9667
135;02/06/2023;20:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 21;Cerro Porteno;Libertad Asuncion;25;30;2,9667;21;30;2,4333;0,8333;0,7;1,5333;5,4
136;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;UC Dublin;St. Patricks;22;30;2,7333;24;30;3,1;0,7333;0,8;1,5333;5,8333
137;02/06/2023;06:15;MYANMAR;NATIONAL LEAGUE - ROUND 7;Shan Utd;Rakhine United;22;30;2,7333;24;30;3,2;0,7333;0,8;1,5333;5,9333
138;02/06/2023;12:30;ALGERIA;LIGUE 2 - ROUND 30;El Khemis;Hussein Dey;25;30;2,8667;21;30;2,5;0,8333;0,7;1,5333;5,3667
139;02/06/2023;06:30;AUSTRALIA;NPL VICTORIA - ROUND 16;Melbourne Knights;South Melbourne;27;30;3,1;19;30;2,6;0,9;0,6333;1,5333;5,7
140;02/06/2023;15:00;ARGENTINA;PRIMERA A WOMEN - APERTURA - ROUND 15;Excursionistas W;UAI Urquiza W;24;30;3,2;22;30;3,3333;0,8;0,7333;1,5333;6,5333
141;02/06/2023;12:30;SLOVAKIA;4. LIGA - CENTRAL - ROUND 24;Badin;Zarnovica;19;30;2,8333;27;30;5,3;0,6333;0,9;1,5333;8,1333
142;02/06/2023;08:00;KENYA;SUPER LEAGUE - ROUND 31;Silibwet;Mombasa Elite;21;30;2,2667;25;30;2,7333;0,7;0,8333;1,5333;5,0
143;02/06/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 32;Tirol;Altach;27;30;3,5;19;30;2,3333;0,9;0,6333;1,5333;5,8333
144;02/06/2023;20:30;USA;NISA;Club de Lyon;Albion San Diego;5;7;3,0;24;30;2,6;0,7143;0,8;1,5143;5,6
145;02/06/2023;21:30;BRAZIL;SERIE B - ROUND 10;Vitoria;Ituano;26;30;2,5667;19;30;2,1333;0,8667;0,6333;1,5;4,7
146;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Beijing Guoan;Changchun Yatai;25;30;3,1667;20;30;2,7667;0,8333;0,6667;1,5;5,9334
147;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;Drogheda;Cork City;22;30;2,3333;23;30;2,7667;0,7333;0,7667;1,5;5,1
148;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Amiens;Laval;25;30;2,7;20;30;2,4;0,8333;0,6667;1,5;5,1
149;02/06/2023;16:15;ICELAND;LENGJUDEILDIN - ROUND 5;Grotta;Leiknir;21;30;3,2;24;30;3,7667;0,7;0,8;1,5;6,9667
