Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
447;29/07/2023;22:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Puntarenas FC;AD Santos;0;1;0,0;0;1;0,0;0,0
448;29/07/2023;09:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;Chelyabinsk;Tekstilshtik;0;2;0,0;0;2;0,0;0,0
449;29/07/2023;12:30;WORLD;CEE CUP;Al Ain U19;Flamengo RJ U19;0;1;0,0;0;0;0;0,0
450;29/07/2023;10:00;POLAND;EKSTRAKLASA - ROUND 2;Warta Poznan;Gornik Zabrze;0;1;0,0;0;1;0,0;0,0
451;29/07/2023;10:00;WORLD;CEE CUP;Palmeiras U19;West Ham U19;0;0;0;0;1;0,0;0,0
452;29/07/2023;22:30;PANAMA;LPF - CLAUSURA - ROUND 2;Tauro;Potros del Este;0;1;0,0;0;1;0,0;0,0
453;29/07/2023;06:00;RUSSIA;FNL 2 - DIVISION B - GROUP 2 - ROUND 2;Yenisey 2;Luki-Energiya;0;1;0,0;0;1;0,0;0,0
454;29/07/2023;13:15;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Charleroi;Leuven;0;0;0;0;0;0;0
455;29/07/2023;15:45;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;RWDM;Genk;0;0;0;0;0;0;0
456;29/07/2023;12:30;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Motz/Silz;Hohenems;0;0;0;0;0;0;0
457;29/07/2023;11:00;BELGIUM;JUPILER PRO LEAGUE - ROUND 1;Eupen;Westerlo;0;0;0;0;0;0;0
458;29/07/2023;15:30;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 1;Velez Mostar;Zvijezda 09;0;0;0;0;0;0;0
459;29/07/2023;13:00;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Saalfelden;A. Salzburg;0;0;0;0;0;0;0
460;29/07/2023;07:00;UKRAINE;YOUTH LEAGUE - ROUND 1;LNZ Cherkasy U19;Ch. Odessa U19;0;0;0;0;0;0;0
461;29/07/2023;12:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Pirmasens;Gonsenheim;0;0;0;0;0;0;0
462;29/07/2023;10:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;SpVgg Quierschied;Baumholder;0;0;0;0;0;0;0
463;29/07/2023;10:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;RW Koblenz;Mechtersheim;0;0;0;0;0;0;0
464;29/07/2023;07:00;UKRAINE;YOUTH LEAGUE - ROUND 1;Dyn. Kyiv U19;Minaj U19;0;0;0;0;0;0;0
465;29/07/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 1;Oleksandriya U19;Kryvbas 2020 U19;0;0;0;0;0;0;0
466;29/07/2023;11:00;UKRAINE;PERSHA LIGA - ROUND 1;Metalist Kharkiv;Epitsentr;0;0;0;0;0;0;0
467;29/07/2023;10:00;UKRAINE;PERSHA LIGA - ROUND 1;Inhulets;SC Poltava;0;0;0;0;0;0;0
468;29/07/2023;09:00;UKRAINE;PERSHA LIGA - ROUND 1;Prykarpattya;Podillya Khmelnytskyi;0;0;0;0;0;0;0
469;29/07/2023;12:30;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Dornbirner SV;TSV St. Johann;0;0;0;0;0;0;0
470;29/07/2023;18:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 1;Municipal;Guastatoya;0;0;0;0;0;0;0
471;29/07/2023;12:00;AUSTRIA;REGIONALLIGA WEST - ROUND 1;Bischofshofen;Rothis;0;0;0;0;0;0;0
472;29/07/2023;13:30;ISRAEL;TOTO CUP - ROUND 1;Hapoel Jerusalem;Hapoel Tel Aviv;0;0;0;0;0;0;0
473;29/07/2023;23:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 1;Ferretti;Matagalpa;0;0;0;0;0;0;0
474;29/07/2023;21:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 1;Diriangen;Masachapa;0;0;0;0;0;0;0
475;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Prestatyn;Gresford;0;0;0;0;0;0;0
476;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Holywell;Porthmadog;0;0;0;0;0;0;0
477;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Flint;Denbigh;0;0;0;0;0;0;0
478;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Caersws FC;Llandudno;0;0;0;0;0;0;0
479;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Bangor 1876;Llanidloes;0;0;0;0;0;0;0
480;29/07/2023;10:30;WALES;CYMRU NORTH - ROUND 1;Airbus;Guilsfield;0;0;0;0;0;0;0
481;29/07/2023;10:30;WALES;CYMRU SOUTH - ROUND 1;Pontardawe;Baglan Dragons;0;0;0;0;0;0;0
482;29/07/2023;10:30;WALES;CYMRU SOUTH - ROUND 1;Llantwit Major;Carmarthen Town;0;0;0;0;0;0;0
483;29/07/2023;10:30;WALES;CYMRU SOUTH - ROUND 1;Caerau Ely;Abergavenny Town;0;0;0;0;0;0;0
484;29/07/2023;20:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 1;Managua FC;Ocotal;0;0;0;0;0;0;0
485;29/07/2023;14:30;ISRAEL;TOTO CUP - ROUND 1;Maccabi Petah Tikva;Hapoel Petah Tikva;0;0;0;0;0;0;0
486;29/07/2023;13:00;ISRAEL;TOTO CUP - ROUND 1;Hapoel Haifa;Sakhnin;0;0;0;0;0;0;0
487;29/07/2023;14:30;AUSTRIA;BUNDESLIGA - ROUND 1;Altach;Salzburg;0;0;0;0;0;0;0
488;29/07/2023;12:00;HUNGARY;NB III - SOUTHEAST - ROUND 1;Martfui;Fuzesgyarmati SK;0;0;0;0;0;0;0
489;29/07/2023;08:00;HUNGARY;NB III - NORTHWEST - ROUND 1;Zalaegerszegi II;Dorogi;0;0;0;0;0;0;0
490;29/07/2023;15:15;HUNGARY;OTP BANK LIGA - ROUND 1;Ujpest;MOL Fehervar;0;0;0;0;0;0;0
491;29/07/2023;13:00;HUNGARY;OTP BANK LIGA - ROUND 1;DVTK;Puskas Academy;0;0;0;0;0;0;0
492;29/07/2023;22:00;HONDURAS;LIGA NACIONAL - APERTURA - ROUND 1;Vida;Genesis;0;0;0;0;0;0;0
493;29/07/2023;23:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 1;Antigua;Deportivo Achuapa;0;0;0;0;0;0;0
494;29/07/2023;21:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 1;Comunicaciones;Xinabajul;0;0;0;0;0;0;0
495;29/07/2023;11:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Metalist 1925;Shakhtar Donetsk;0;0;0;0;0;0;0
496;29/07/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 1;Noah;Van;0;0;0;0;0;0;0
497;29/07/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 1;West Armenia;Shirak Gyumri;0;0;0;0;0;0;0
498;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Hartberg;A. Lustenau;0;0;0;0;0;0;0
499;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Tirol;A. Klagenfurt;0;0;0;0;0;0;0
500;29/07/2023;12:00;AUSTRIA;BUNDESLIGA - ROUND 1;Wolfsberger AC;BW Linz;0;0;0;0;0;0;0
501;29/07/2023;06:00;UKRAINE;PERSHA LIGA - ROUND 1;FC Chernihiv;Dinaz Vyshgorod;0;0;0;0;0;0;0
502;29/07/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 1;Einheit Rudolstadt;Krieschow;0;0;0;0;0;0;0
503;29/07/2023;09:00;UKRAINE;PREMIER LEAGUE - ROUND 1;Rukh Lviv;FK Zorya Luhansk;0;0;0;0;0;0;0
504;29/07/2023;15:30;GERMANY;2. BUNDESLIGA - ROUND 1;Dusseldorf;Hertha Berlin;0;0;0;0;0;0;0
505;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;FK Humenne;Komarno;0;0;0;0;0;0;0
506;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;D. Kubin;Zilina B;0;0;0;0;0;0;0
507;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Nairn County;Brora Rangers;0;0;0;0;0;0;0
508;29/07/2023;13:00;SLOVAKIA;NIKE LIGA - ROUND 1;Skalica;Z. Moravce-Vrable;0;0;0;0;0;0;0
509;29/07/2023;13:00;SLOVAKIA;NIKE LIGA - ROUND 1;Michalovce;Dun. Streda;0;0;0;0;0;0;0
510;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Rothes;Huntly;0;0;0;0;0;0;0
511;29/07/2023;16:00;SERBIA;SUPER LIGA - ROUND 1;TSC;Partizan;0;0;0;0;0;0;0
512;29/07/2023;16:00;SERBIA;SUPER LIGA - ROUND 1;FK Vozdovac;Javor;0;0;0;0;0;0;0
513;29/07/2023;13:55;SERBIA;SUPER LIGA - ROUND 1;Sp. Subotica;IMT Novi Beograd;0;0;0;0;0;0;0
514;29/07/2023;13:55;SERBIA;SUPER LIGA - ROUND 1;Cukaricki;Radnicki Nis;0;0;0;0;0;0;0
515;29/07/2023;08:00;GERMANY;2. BUNDESLIGA - ROUND 1;Hannover;Elversberg;0;0;0;0;0;0;0
516;29/07/2023;08:00;GERMANY;2. BUNDESLIGA - ROUND 1;Kaiserslautern;St. Pauli;0;0;0;0;0;0;0
517;29/07/2023;08:00;GERMANY;2. BUNDESLIGA - ROUND 1;VfL Osnabruck;Karlsruher SC;0;0;0;0;0;0;0
518;29/07/2023;08:00;GERMANY;2. BUNDESLIGA - ROUND 1;Wehen;Magdeburg;0;0;0;0;0;0;0
519;29/07/2023;13:00;GERMANY;REGIONALLIGA NORTH - ROUND 1;SC Weiche-08;Teutonia Ottensen;0;0;0;0;0;0;0
520;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Povazska Bystrica;Samorin;0;0;0;0;0;0;0
521;29/07/2023;08:00;GERMANY;REGIONALLIGA NORDOST - ROUND 1;BFC Dynamo;Zwickau;0;0;0;0;0;0;0
522;29/07/2023;08:00;GERMANY;REGIONALLIGA NORDOST - ROUND 1;Greifswald;Eilenburg;0;0;0;0;0;0;0
523;29/07/2023;09:05;GERMANY;REGIONALLIGA NORDOST - ROUND 1;Chemnitzer;Jena;0;0;0;0;0;0;0
524;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;B. Monchengladbach II;Duren;0;0;0;0;0;0;0
525;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;Rodinghausen;Ahlen;0;0;0;0;0;0;0
526;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;Schalke II;Bocholt;0;0;0;0;0;0;0
527;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Turriff Utd;Inverurie Loco Works;0;0;0;0;0;0;0
528;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;SSVg Velbert;Lippstadt;0;0;0;0;0;0;0
529;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;Wegberg-Beeck;Dusseldorf II;0;0;0;0;0;0;0
530;29/07/2023;09:00;GERMANY;REGIONALLIGA WEST - ROUND 1;Wiedenbruck;Oberhausen;0;0;0;0;0;0;0
531;29/07/2023;08:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 1;Rathenow;Tasmania Berlin;0;0;0;0;0;0;0
532;29/07/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 1;Magdeburg II;Ludwigsfelde;0;0;0;0;0;0;0
533;29/07/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 1;RSV Eintracht;Staaken;0;0;0;0;0;0;0
534;29/07/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 1;Wismar;Hertha Zehlendorf;0;0;0;0;0;0;0
535;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Petrzalka;Pohronie;0;0;0;0;0;0;0
536;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Puchov;Myjava;0;0;0;0;0;0;0
537;29/07/2023;10:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Karbach;Diefflen;0;0;0;0;0;0;0
538;29/07/2023;09:30;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Preussen Reinfeld;Bordesholm;0;0;0;0;0;0;0
539;29/07/2023;10:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Dudenhofen;Auersmacher;0;0;0;0;0;0;0
540;29/07/2023;09:00;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 1;Eintracht Trier;Arminia Ludwigshafen;0;0;0;0;0;0;0
541;29/07/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 1;Arnstadt;Bautzen;0;0;0;0;0;0;0
542;29/07/2023;12:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Hanauer SC;TUS Dietkirchen;0;0;0;0;0;0;0
543;29/07/2023;12:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Erlensee;Viktoria Griesheim;0;0;0;0;0;0;0
544;29/07/2023;11:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Fernwald;Giessen;0;0;0;0;0;0;0
545;29/07/2023;10:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Waldgirmes;Alzenau;0;0;0;0;0;0;0
546;29/07/2023;10:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Hunfelder;SV Steinbach;0;0;0;0;0;0;0
547;29/07/2023;09:00;GERMANY;OBERLIGA HESSEN - ROUND 1;VfB Marburg;Hanau;0;0;0;0;0;0;0
548;29/07/2023;09:00;GERMANY;OBERLIGA HESSEN - ROUND 1;Baunatal;Friedberg;0;0;0;0;0;0;0
549;29/07/2023;10:30;GERMANY;OBERLIGA HAMBURG - ROUND 1;Altona;Duneberg;0;0;0;0;0;0;0
550;29/07/2023;09:00;GERMANY;OBERLIGA HAMBURG - ROUND 1;Turkiye Wilhelmsburg;Sasel;0;0;0;0;0;0;0
551;29/07/2023;16:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 1;Guadalupe;Escorpiones;0;0;0;0;0;0;0
552;29/07/2023;07:00;GERMANY;OBERLIGA HAMBURG - ROUND 1;Dassendorf;Wandsbeker Concordia;0;0;0;0;0;0;0
553;29/07/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Nordmark Satrup;Dornbreite Lubeck;0;0;0;0;0;0;0
554;29/07/2023;12:00;SLOVAKIA;2. LIGA - ROUND 1;Spisska Nova Ves;Presov;0;0;0;0;0;0;0
555;29/07/2023;09:00;GERMANY;OBERLIGA SCHLESWIG-HOLSTEIN - ROUND 1;Flensburg;Eckernforder SV;0;0;0;0;0;0;0
556;29/07/2023;09:00;GERMANY;OBERLIGA NOFV- SUD - ROUND 1;Motor Marienberg;Plauen;0;0;0;0;0;0;0
557;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Banks O' Dee;Wick Academy;0;0;0;0;0;0;0
558;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Brechin;Formartine Utd;0;0;0;0;0;0;0
559;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Clachnacuddin;Buckie Thistle;0;0;0;0;0;0;0
560;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Deveronvale;Keith;0;0;0;0;0;0;0
561;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Forres Mechanics;Strathspey Thistle;0;0;0;0;0;0;0
562;29/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Tabor Sezana;Triglav;0;0;0;0;0;0;0
563;29/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Jadran Dekani;Dravinja;0;0;0;0;0;0;0
564;29/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Grosuplje;ND Gorica;0;0;0;0;0;0;0
565;29/07/2023;13:00;SLOVENIA;2. SNL - ROUND 1;Bilje;Ilirija;0;0;0;0;0;0;0
566;29/07/2023;11:00;SCOTLAND;HIGHLAND LEAGUE - ROUND 1;Fraserburgh;Lossiemouth;0;0;0;0;0;0;0
567;29/07/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 1;Poprad;Lok. Kosice;0;0;0;0;0;0;0
568;29/07/2023;12:30;SLOVAKIA;4. LIGA - EAST - ROUND 1;Kezmarok;Velky Saris;0;0;0;0;0;0;0
569;29/07/2023;15:30;SLOVAKIA;NIKE LIGA - ROUND 1;Kosice;Slovan Bratislava;0;0;0;0;0;0;0
