Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
167;29/07/2023;04:30;WORLD;WORLD CUP WOMEN - ROUND 2;Sweden W;Italy W;2;1;2,0;1;1;1,0;3,0
168;29/07/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 2;Fortaleza;Real Santander;3;1;3,0;0;1;0,0;3,0
169;29/07/2023;14:00;BULGARIA;VTORA LIGA - ROUND 3;Belasitsa;Chernomorets 1919;4;2;2,0;2;2;1,0;3,0
170;29/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Zlin;Sparta Prague;1;1;1,0;2;1;2,0;3,0
171;29/07/2023;15:00;BRAZIL;COPA PAULISTA - ROUND 5;Primavera EC;Piracicaba;6;4;1,5;6;4;1,5;3,0
172;29/07/2023;15:30;BRAZIL;CAMPEONATO MINEIRO 2 - FINAL STAGE - ROUND 7;URT;Uberlandia;10;6;1,6667;8;6;1,3333;3,0
173;29/07/2023;08:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 14;Balkan;IFK Malmo;20;13;1,5385;19;13;1,4615;3,0
174;29/07/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 2;Atletico F.C.;Orsomarso;2;1;2,0;1;1;1,0;3,0
175;29/07/2023;09:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 14;Smedby;Assyriska FF;16;13;1,2308;23;13;1,7692;3,0
176;29/07/2023;18:30;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;The Strongest;Palmaflor;35;19;1,8421;22;19;1,1579;3,0
177;29/07/2023;11:00;LITHUANIA;I LYGA - ROUND 16;FK Minija;BE1 NFA;20;15;1,3333;23;14;1,6429;2,9762
178;29/07/2023;20:30;USA;USL CHAMPIONSHIP;Birmingham;Charleston;28;19;1,4737;31;21;1,4762;2,9499
179;29/07/2023;21:30;VENEZUELA;LIGA FUTVE - ROUND 21;Metropolitanos;Estudiantes Merida;25;19;1,3158;31;19;1,6316;2,9474
180;29/07/2023;15:00;PERU;LIGA 2 - ROUND 17;Deportivo Coopsol;Llacuabamba;18;16;1,125;29;16;1,8125;2,9375
181;29/07/2023;12:00;FINLAND;KAKKONEN GROUP B;Ilves 2;GrIFK;17;12;1,4167;18;12;1,5;2,9167
182;29/07/2023;08:00;CHINA;YI LEAGUE - ROUND 13;Qingdao Red Lions;Dalian Zhixing;17;12;1,4167;18;12;1,5;2,9167
183;29/07/2023;02:00;AUSTRALIA;NPL VICTORIA - ROUND 24;Bentleigh Greens;Port Melbourne Sharks;21;23;0,913;46;23;2,0;2,913
184;29/07/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Seongnam;Jeonnam;28;22;1,2727;34;21;1,619;2,8917
185;29/07/2023;07:00;JAPAN;J2 LEAGUE - ROUND 28;Oita Trinita;Montedio Yamagata;34;27;1,2593;44;27;1,6296;2,8889
186;29/07/2023;20:30;USA;USL CHAMPIONSHIP;Tampa Bay;FC Tulsa;32;20;1,6;27;21;1,2857;2,8857
187;29/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Sydney Olympic;Central Coast U21;37;25;1,48;35;25;1,4;2,88
188;29/07/2023;10:00;FINLAND;YKKONEN;Ekenas;SalPa;26;16;1,625;20;16;1,25;2,875
189;29/07/2023;21:00;BRAZIL;SERIE A - ROUND 17;Atletico-MG;Flamengo RJ;18;16;1,125;28;16;1,75;2,875
190;29/07/2023;08:30;CHINA;JIA LEAGUE - ROUND 16;Jinan Xingzhou;Guangxi Pingguo Haliao;19;15;1,2667;24;15;1,6;2,8667
191;29/07/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;United Nordic;Orebro Syr.;26;14;1,8571;14;14;1,0;2,8571
192;29/07/2023;07:00;JAPAN;J2 LEAGUE - ROUND 28;V-Varen Nagasaki;Kumamoto;42;27;1,5556;35;27;1,2963;2,8519
193;29/07/2023;11:00;ICELAND;DIVISION 2 - ROUND 14;Throttur Vogar;Sindri;22;13;1,6923;15;13;1,1538;2,8461
194;29/07/2023;10:45;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 14;Kungsangen;Gute;19;13;1,4615;18;13;1,3846;2,8461
195;29/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Libertad Gran Mamore;Nacional Potosi;17;19;0,8947;37;19;1,9474;2,8421
196;29/07/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 13;Black Bulls;Costa do Sol;18;12;1,5;16;12;1,3333;2,8333
197;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 13;KFUM-Kameratene Oslo 2;Oppsal;13;12;1,0833;21;12;1,75;2,8333
198;29/07/2023;23:00;USA;USL CHAMPIONSHIP;Monterey Bay;Phoenix Rising;28;21;1,3333;30;20;1,5;2,8333
199;29/07/2023;09:15;MALAYSIA;SUPER LEAGUE - ROUND 18;Kuching City FC;Kedah;14;17;0,8235;34;17;2,0;2,8235
200;29/07/2023;21:30;CHILE;PRIMERA B - ROUND 20;S. Wanderers;San Luis;24;19;1,2632;28;18;1,5556;2,8188
201;29/07/2023;11:00;FINLAND;KAKKONEN GROUP C;Vaajakoski;GBK Kokkola;13;11;1,1818;18;11;1,6364;2,8182
202;29/07/2023;23:00;USA;USL CHAMPIONSHIP;Orange County SC;New Mexico;26;21;1,2381;30;19;1,5789;2,817
203;29/07/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Gyeongnam;Gimpo FC;37;21;1,7619;22;21;1,0476;2,8095
204;29/07/2023;18:30;CHILE;PRIMERA DIVISION - ROUND 19;Colo Colo;Huachipato;22;17;1,2941;27;18;1,5;2,7941
205;29/07/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 23;Olimpo Bahia Blanca;Sansinena;32;19;1,6842;22;20;1,1;2,7842
206;29/07/2023;11:00;FINLAND;VEIKKAUSLIIGA;SJK;HJK;21;16;1,3125;25;17;1,4706;2,7831
207;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Iwaki;Iwata;27;27;1,0;48;27;1,7778;2,7778
208;29/07/2023;21:00;USA;USL LEAGUE ONE;Forward Madison;Greenville;22;18;1,2222;28;18;1,5556;2,7778
209;29/07/2023;12:00;UZBEKISTAN;SUPER LEAGUE - ROUND 14;OKMK;Termez Surkhon;23;13;1,7692;13;13;1,0;2,7692
210;29/07/2023;13:00;ICELAND;BESTA DEILD WOMEN - ROUND 14;IBV Vestmannaeyjar W;Valur W;12;13;0,9231;22;12;1,8333;2,7564
211;29/07/2023;09:00;INDONESIA;LIGA 1 - ROUND 5;FC Bhayangkara;PSM Makassar;4;4;1,0;7;4;1,75;2,75
212;29/07/2023;23:00;USA;NWSL CHALLENGE CUP WOMEN;Angel City W;Portland Thorns W;4;4;1,0;7;4;1,75;2,75
213;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Randesund;Vindbjart;11;12;0,9167;22;12;1,8333;2,75
214;29/07/2023;21:00;USA;NWSL CHALLENGE CUP WOMEN;Chicago W;Kansas City Current W;0;4;0,0;11;4;2,75;2,75
215;29/07/2023;10:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Strommen;SK Gjovik-Lyn;20;12;1,6667;13;12;1,0833;2,75
216;29/07/2023;21:15;USA;MLS NEXT PRO;North Texas;Portland Timbers 2;26;20;1,3;26;18;1,4444;2,7444
217;29/07/2023;07:00;JAPAN;J2 LEAGUE - ROUND 28;Vegalta Sendai;Fujieda MYFC;34;27;1,2593;40;27;1,4815;2,7408
218;29/07/2023;08:30;RUSSIA;SUPREME DIVISION WOMEN - ROUND 15;Dynamo Moscow W;Zvezda 2005 W;17;13;1,3077;20;14;1,4286;2,7363
219;29/07/2023;11:00;FINLAND;KAKKONEN GROUP C;VIFK;Kuopion Elo;19;11;1,7273;11;11;1,0;2,7273
220;29/07/2023;06:30;MALAYSIA;SUPER LEAGUE - ROUND 18;Kuala Lumpur City;Kelantan;27;17;1,5882;19;17;1,1176;2,7058
221;29/07/2023;11:00;LITHUANIA;I LYGA - ROUND 16;Marijampole City;Siauliai 2;22;14;1,5714;17;15;1,1333;2,7047
222;29/07/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 14;Ba;Nadi;12;12;1,0;22;13;1,6923;2,6923
223;29/07/2023;13:30;CHILE;PRIMERA B - ROUND 20;San Felipe;S. Morning;31;19;1,6316;19;18;1,0556;2,6872
224;29/07/2023;17:00;VENEZUELA;LIGA FUTVE - ROUND 21;Rayo Zuliano;Carabobo;24;19;1,2632;27;19;1,4211;2,6843
225;29/07/2023;08:00;SWEDEN;SUPERETTAN - ROUND 16;Ostersund;Sundsvall;22;15;1,4667;18;15;1,2;2,6667
226;29/07/2023;17:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 4;Sportivo Trinidense;Olimpia Asuncion;4;3;1,3333;4;3;1,3333;2,6666
227;29/07/2023;09:00;LATVIA;1. LIGA - ROUND 13;Saldus SS/Leevon;Valmiera 2;19;12;1,5833;13;12;1,0833;2,6666
228;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Ayr;Alloa;4;3;1,3333;4;3;1,3333;2,6666
229;29/07/2023;20:30;USA;USL LEAGUE ONE;Chattanooga Red Wolves;North Carolina;19;18;1,0556;27;17;1,5882;2,6438
230;29/07/2023;16:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;EC Sao Jose;Confianca;21;14;1,5;16;14;1,1429;2,6429
231;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Verdy;Mito;38;27;1,4074;33;27;1,2222;2,6296
232;29/07/2023;23:30;USA;USL CHAMPIONSHIP;Las Vegas Lights;Sacramento Republic;19;20;0,95;35;21;1,6667;2,6167
233;29/07/2023;21:00;CHILE;PRIMERA DIVISION - ROUND 19;U. Espanola;A. Italiano;22;18;1,2222;25;18;1,3889;2,6111
234;29/07/2023;15:30;IRELAND;DIVISION 1 - ROUND 24;Longford;Cobh Ramblers;24;23;1,0435;36;23;1,5652;2,6087
235;29/07/2023;06:00;JAPAN;J2 LEAGUE - ROUND 28;Machida;Tokushima;43;26;1,6538;25;27;0,9259;2,5797
236;29/07/2023;19:15;VENEZUELA;LIGA FUTVE - ROUND 21;Mineros;Caracas;18;19;0,9474;31;19;1,6316;2,579
237;29/07/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Sylvia;Vasalund;16;14;1,1429;20;14;1,4286;2,5715
238;29/07/2023;11:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Taby;Motala;22;14;1,5714;14;14;1,0;2,5714
239;29/07/2023;19:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;Volta Redonda;AE Altos;24;14;1,7143;12;14;0,8571;2,5714
240;29/07/2023;09:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Pitea;Karlstad;18;14;1,2857;18;14;1,2857;2,5714
241;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Norrby;Oskarshamn;18;14;1,2857;18;14;1,2857;2,5714
242;29/07/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 17;Real San Joaquin;Iberia;19;16;1,1875;22;16;1,375;2,5625
243;29/07/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 23;Argentino MM;San Martin Mendoza;37;19;1,9474;12;20;0,6;2,5474
244;29/07/2023;06:00;JAPAN;J3 LEAGUE - ROUND 20;Grulla Morioka;Nara Club;22;19;1,1579;26;19;1,3684;2,5263
245;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Berwick;Cumbernauld Colts;1;2;0,5;4;2;2,0;2,5
