Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
83;17/05/2023;11:00;EUROPE;EURO U17 WOMEN - ROUND 2;Estonia U17 W;Germany U17 W;36;43;38;43;0,8372;0,8837;1,7209
84;17/05/2023;13:00;EUROPE;EURO U17 WOMEN - ROUND 2;Spain U17 W;Switzerland U17 W;32;43;39;43;0,7442;0,907;1,6512
85;17/05/2023;13:00;EUROPE;EURO U17 WOMEN - ROUND 2;Sweden U17 W;England U17 W;35;43;34;43;0,814;0,7907;1,6047
86;17/05/2023;12:00;FINLAND;SUOMEN CUP - 1/32-FINALS;NoPS;Ilves;35;43;34;43;0,814;0,7907;1,6047
87;17/05/2023;12:00;FINLAND;SUOMEN CUP - 1/32-FINALS;SJK;AC Oulu;35;43;34;43;0,814;0,7907;1,6047
88;17/05/2023;12:00;FINLAND;SUOMEN CUP - 1/32-FINALS;Tampere Utd;Inter Turku;35;43;34;43;0,814;0,7907;1,6047
89;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;EPS;HIFK;34;43;34;43;0,7907;0,7907;1,5814
90;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;GrIFK;Gnistan;30;43;34;43;0,6977;0,7907;1,4884
91;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;KaaPo;Ekenas;39;43;34;43;0,907;0,7907;1,6977
92;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;KePS;KPV Kokkola;1;1;29;43;1,0;0,6744;1,6744
93;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;Mikkeli;JJK Jyvaskyla;35;43;33;43;0,814;0,7674;1,5814
94;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;MyPa;KTP;36;43;34;43;0,8372;0,7907;1,6279
95;17/05/2023;12:30;FINLAND;SUOMEN CUP - 1/32-FINALS;PPJ;Mariehamn;36;43;34;43;0,8372;0,7907;1,6279
96;17/05/2023;13:00;FINLAND;SUOMEN CUP - 1/32-FINALS;Jazz Pori;HJS;37;43;34;43;0,8605;0,7907;1,6512
