Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
119;27/08/2023;17:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Sarmiento Junin;Boca Juniors;26;22;18;18;1,1818;1,2662;1,0;1,1055;2,1818;11,28;13,34;7,88;13,34;11,28;5,64;62,76
120;27/08/2023;14:00;PORTUGAL;LIGA PORTUGAL - ROUND 3;Vitoria Guimaraes;Vizela;24;21;23;22;1,1429;1,0817;1,0455;1,0215;2,1884;11,21;12,81;7,32;13,4;11,72;6,13;62,59
121;27/08/2023;13:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;ASEC Mimosas;Coton FC;24;21;22;21;1,1429;1,0367;1,0476;1,09;2,1905;11,19;12,79;7,31;13,4;11,72;6,14;62,55
122;27/08/2023;15:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;Al Hilal Benghazi;Kakamega Homeboyz;18;18;25;21;1,0;0,8165;1,1905;1,2581;2,1905;11,19;11,19;5,59;13,32;13,32;7,93;62,54
123;27/08/2023;07:00;WORLD;CLUB FRIENDLY;Montijo;Olivenza;20;21;26;21;0,9524;0,8438;1,2381;1,1914;2,1905;11,18;10,65;5,07;13,19;13,85;8,57;62,51
124;27/08/2023;10:00;AFRICA;CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS;FC Loto;FUS Rabat;24;20;22;22;1,2;0,6782;1,0;0,9045;2,2;11,08;13,3;7,98;13,3;11,08;5,54;62,28
125;27/08/2023;15:15;MOROCCO;BOTOLA PRO - ROUND 1;Youssoufia Berrechid;Raja Casablanca;23;21;27;24;1,0952;0,9209;1,125;1,0921;2,2202;10,86;11,89;6,51;13,38;12,22;6,87;61,73
126;27/08/2023;06:00;JAPAN;J3 LEAGUE - ROUND 24;Azul Claro Numazu;Osaka;27;22;16;16;1,2273;1,1651;1,0;0,9354;2,2273;10,78;13,23;8,12;13,23;10,78;5,39;61,53
127;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;Alcoyano;Sanluqueno;27;22;19;19;1,2273;1,2407;1,0;0,8584;2,2273;10,78;13,23;8,12;13,23;10,78;5,39;61,53
128;27/08/2023;09:00;DENMARK;SUPERLIGA - ROUND 6;Aarhus;Lyngby;26;23;21;19;1,1304;0,8995;1,1053;1,2094;2,2357;10,69;12,09;6,83;13,36;11,82;6,53;61,32
129;27/08/2023;10:00;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 1;Casric Stars;Marumo Gallants;21;17;21;21;1,2353;0,8765;1,0;0,9258;2,2353;10,69;13,21;8,16;13,21;10,69;5,35;61,31
130;27/08/2023;11:30;PORTUGAL;LIGA PORTUGAL - ROUND 3;Boavista;Casa Pia;25;21;23;22;1,1905;1,0963;1,0455;0,976;2,236;10,69;12,72;7,57;13,3;11,18;5,84;61,3
131;27/08/2023;16:30;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Chaco For Ever;Ferro;25;21;22;21;1,1905;0,794;1,0476;1,09;2,2381;10,67;12,7;7,56;13,3;11,18;5,85;61,26
132;27/08/2023;17:30;ECUADOR;LIGA PRO - SECOND STAGE - ROUND 19;Emelec;Delfin;26;21;22;22;1,2381;0,9209;1,0;0,8528;2,2381;10,67;13,21;8,17;13,21;10,67;5,33;61,26
133;27/08/2023;12:00;BULGARIA;THIRD LEAGUE - SOUTH-EAST - ROUND 4;Karnobat;Sokol Markovo;28;21;19;21;1,3333;1,3214;0,9048;0,9209;2,2381;10,67;14,22;9,48;12,87;9,65;4,37;61,26
134;27/08/2023;16:30;ARGENTINA;TORNEO FEDERAL - ROUND 27;San Martin Formosa;Crucero del Norte;39;21;8;21;1,8571;1,3553;0,381;0,4856;2,2381;10,66;19,81;18,39;7,55;4,06;0,77;61,24
135;27/08/2023;11:00;ESTONIA;MEISTRILIIGA - ROUND 25;Narva;Paide;18;18;31;25;1,0;1,291;1,24;1,3647;2,24;10,65;10,65;5,32;13,2;13,2;8,19;61,21
136;27/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 4;Braga B;Canelas 2010;22;19;24;22;1,1579;1,0394;1,0909;0,7925;2,2488;10,55;12,22;7,07;13,33;11,51;6,28;60,96
137;27/08/2023;12:45;KUWAIT;DIVISION 1 - ROUND 1;Yarmouk;Burgan;30;24;25;25;1,25;1,299;1,0;0,9381;2,25;10,54;13,17;8,23;13,17;10,54;5,27;60,92
138;27/08/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 21;Varnamo;Halmstad;25;20;22;22;1,25;0,9421;1,0;1,0871;2,25;10,54;13,17;8,23;13,17;10,54;5,27;60,92
139;27/08/2023;14:30;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Platense;Defensa y Justicia;20;21;26;20;0,9524;0,7854;1,3;1,1;2,2524;10,51;10,01;4,77;13,02;13,67;8,88;60,86
140;27/08/2023;15:45;BRAZIL;SERIE B - ROUND 25;Chapecoense-SC;Avai;30;23;22;23;1,3043;1,0809;0,9565;0,9079;2,2608;10,42;13,6;8,87;13,01;9,97;4,77;60,64
141;27/08/2023;03:00;JAPAN;NADESHIKO LEAGUE WOMEN - ROUND 16;Ehime W;Yokohama FC Seagulls W;19;21;30;22;0,9048;0,7499;1,3636;1,2264;2,2684;10,35;9,36;4,23;12,77;14,11;9,62;60,44
142;27/08/2023;15:00;NICARAGUA;LIGA PRIMERA U20 - APERTURA - ROUND 5;Sport Sebaco U20;Ferretti U20;19;20;29;22;0,95;0,8646;1,3182;1,5488;2,2682;10,35;9,83;4,67;12,96;13,64;8,99;60,44
143;27/08/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - ROUND 2;AS Marsa;CS Sfaxien;33;20;13;21;1,65;1,4239;0,619;0,95;2,269;10,34;17,07;14,08;10,56;6,4;1,98;60,43
144;27/08/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 11;Villa San Carlos;Deportivo Armenio;29;22;20;21;1,3182;1,2572;0,9524;0,9989;2,2706;10,32;13,61;8,97;12,96;9,83;4,68;60,37
145;27/08/2023;03:00;JAPAN;NADESHIKO LEAGUE WOMEN - ROUND 16;Nittaidai W;NGU Nagoya W;21;22;29;22;0,9545;1,0215;1,3182;0,9717;2,2727;10,3;9,83;4,69;12,97;13,58;8,95;60,32
146;27/08/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Kazincbarcikai;Ajka;25;23;25;21;1,087;1,0597;1,1905;1,0963;2,2775;10,25;11,15;6,06;13,27;12,21;7,27;60,21
147;27/08/2023;12:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 4;Jankov;Drazice;26;21;23;22;1,2381;1,2688;1,0455;1,4609;2,2836;10,19;12,62;7,81;13,19;10,65;5,57;60,03
148;27/08/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 2;Rukinzo;Musongati;27;21;21;21;1,2857;0,8248;1,0;1,0235;2,2857;10,17;13,08;8,41;13,08;10,17;5,08;59,99
149;27/08/2023;10:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;St. George;KMKM;34;21;12;18;1,619;0,8985;0,6667;0,8165;2,2857;10,17;16,46;13,33;10,98;6,78;2,26;59,98
150;27/08/2023;15:00;MEXICO;LIGA PREMIER SERIE A - ROUND 3;Montaneses;Inter de Queretaro;31;21;17;21;1,4762;1,0519;0,8095;1,0519;2,2857;10,17;15,01;11,08;12,15;8,23;3,33;59,97
151;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 2 - ROUND 1;Baleares;Algeciras;28;21;21;22;1,3333;1,2472;0,9545;0,976;2,2878;10,15;13,53;9,02;12,92;9,69;4,62;59,93
152;27/08/2023;09:00;NETHERLANDS;DERDE DIVISIE - ROUND 2;OSS '20;TEC;23;20;24;21;1,15;0,9097;1,1429;0,8883;2,2929;10,1;11,61;6,68;13,27;11,54;6,59;59,79
153;27/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 24;Pastoreo;2 de Mayo;22;21;25;20;1,0476;0,9989;1,25;1,6394;2,2976;10,05;10,53;5,52;13,16;12,56;7,85;59,67
154;27/08/2023;08:30;CHINA;JIA LEAGUE - ROUND 20;Wuxi Wugou;Nanjing City;24;21;22;19;1,1429;1,2066;1,1579;1,3084;2,3008;10,02;11,45;6,54;13,26;11,6;6,72;59,59
155;27/08/2023;17:30;MOROCCO;BOTOLA PRO - ROUND 1;Berkane;Mouloudia Oujda;27;20;21;22;1,35;1,0137;0,9545;0,8779;2,3045;9,98;13,48;9,09;12,86;9,53;4,55;59,49
156;27/08/2023;10:30;TURKEY;2. LIG RED GROUP - ROUND 1;Etimesgut;Kastamonuspor;31;22;19;21;1,4091;0,9844;0,9048;0,9209;2,3139;9,89;13,93;9,82;12,6;8,95;4,05;59,24
157;27/08/2023;11:30;PORTUGAL;LIGA PORTUGAL 2 - ROUND 3;Benfica B;Maritimo;34;21;16;23;1,619;1,3619;0,6957;0,6875;2,3147;9,88;15,99;12,95;11,13;6,87;2,39;59,21
158;27/08/2023;09:00;GERMANY;2. BUNDESLIGA WOMEN - ROUND 2;Potsdam W;Jena W;17;19;27;19;0,8947;1,165;1,4211;1,3105;2,3158;9,87;8,83;3,95;12,55;14,02;9,96;59,18
159;27/08/2023;11:00;ICELAND;BESTA DEILD WOMEN - ROUND 18;Tindastoll W;Thor/KA W;25;22;26;22;1,1364;1,2171;1,1818;1,0285;2,3182;9,85;11,19;6,35;13,22;11,64;6,88;59,13
160;27/08/2023;15:30;URUGUAY;SEGUNDA DIVISION - ROUND 14;Tacuarembo;Progreso;22;21;28;22;1,0476;1,1329;1,2727;1,1748;2,3203;9,83;10,29;5,39;13,1;12,5;7,96;59,07
161;27/08/2023;12:30;URUGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 2;Racing Montevideo;Maldonado;25;21;26;23;1,1905;1,2196;1,1304;0,9915;2,3209;9,82;11,69;6,96;13,21;11,1;6,27;59,05
162;27/08/2023;05:00;LITHUANIA;I LYGA - ROUND 20;Riteriai 2;Kauno Zalgiris 2;35;23;17;21;1,5217;1,0982;0,8095;1,0519;2,3312;9,72;14,79;11,25;11,97;7,87;3,18;58,78
163;27/08/2023;13:15;OMAN;PROFESSIONAL LEAGUE - ROUND 2;Al Seeb;Al Nasr;32;21;17;21;1,5238;1,2954;0,8095;0,794;2,3333;9,7;14,78;11,26;11,96;7,85;3,18;58,73
164;27/08/2023;14:30;SERBIA;SUPER LIGA - ROUND 5;Cukaricki;Radnik;29;18;16;22;1,6111;1,1125;0,7273;0,7497;2,3384;9,65;15,54;12,52;11,3;7,02;2,55;58,58
165;27/08/2023;02:00;AUSTRALIA;NPL NSW - ROUND 30;Bulls Academy;Manly Utd;19;20;25;18;0,95;0,669;1,3889;1,0614;2,3389;9,64;9,16;4,35;12,72;13,39;9,3;58,56
166;27/08/2023;19:00;DOMINICAN REPUBLIC;LDF - WINNERS STAGE - ROUND 8;Moca;Universidad O&M;26;22;22;19;1,1818;0,9833;1,1579;0,9875;2,3397;9,63;11,39;6,73;13,18;11,15;6,46;58,54
167;27/08/2023;11:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP A - ROUND 15;Pevidem;Maritimo B;24;20;24;21;1,2;1,249;1,1429;0,833;2,3429;9,61;11,53;6,92;13,17;10,98;6,27;58,48
168;27/08/2023;12:00;BULGARIA;THIRD LEAGUE - SOUTH-EAST - ROUND 4;Dimitrovgrad;Sozopol;36;21;14;22;1,7143;1,5474;0,6364;0,8814;2,3507;9,53;16,34;14,0;10,4;6,07;1,93;58,27
169;27/08/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 27;CA Mitre;Dep. Riestra;28;22;25;23;1,2727;0,9621;1,087;0,7753;2,3597;9,44;12,02;7,65;13,07;10,27;5,58;58,03
170;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP A - ROUND 2;Tirsense;Dumiense;25;20;20;18;1,25;1,0428;1,1111;1,1493;2,3611;9,43;11,79;7,37;13,1;10,48;5,82;57,99
171;27/08/2023;11:00;BRAZIL;CAMPEONATO GAUCHO 2 - PLAY OFFS - FINAL;Santa Cruz RS;Guarany de Bage;36;22;16;22;1,6364;1,463;0,7273;0,808;2,3637;9,41;15,39;12,6;11,2;6,84;2,49;57,93
172;27/08/2023;10:00;CZECH REPUBLIC;DIVISION D - ROUND 4;Humpolec;Breclav;24;22;28;22;1,0909;1,3787;1,2727;1,1748;2,3636;9,41;10,26;5,6;13,06;11,97;7,62;57,92
173;27/08/2023;11:00;TURKEY;2. LIG WHITE GROUP - ROUND 1;Bursaspor;Yeni Mersin Idmanyurdu;34;22;18;22;1,5455;1,4993;0,8182;0,6492;2,3637;9,41;14,54;11,23;11,89;7,7;3,15;57,92
174;27/08/2023;12:30;TUNISIA;LIGUE PROFESSIONNELLE 1 - ROUND 2;US Tataouine;Esperance Tunis;28;23;22;19;1,2174;1,1404;1,1579;1,3865;2,3753;9,3;11,32;6,89;13,1;10,77;6,23;57,61
175;27/08/2023;17:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 8;Sp. Luqueno;Olimpia Asuncion;27;21;23;21;1,2857;0,8248;1,0952;0,9209;2,3809;9,25;11,89;7,64;13,02;10,13;5,55;57,48
176;27/08/2023;13:10;ARGENTINA;PRIMERA NACIONAL - ROUND 31;Almirante Brown;Deportivo Moron;29;21;23;23;1,381;1,1329;1,0;0,7802;2,381;9,25;12,77;8,82;12,77;9,25;4,62;57,48
177;27/08/2023;15:30;ARGENTINA;PRIMERA C - ROUND 32;General Lamadrid;Atlas;27;21;23;21;1,2857;0,9331;1,0952;0,8109;2,3809;9,25;11,89;7,64;13,02;10,13;5,55;57,48
178;27/08/2023;08:00;ENGLAND;WOMEN’S CHAMPIONSHIP - ROUND 1;Watford W;Durham W;32;24;22;21;1,3333;2,0138;1,0476;1,2901;2,3809;9,25;12,33;8,22;12,92;9,69;5,07;57,48
179;27/08/2023;05:00;CHINA;SUPER LEAGUE WOMEN - ROUND 14;Beijing Beikong W;Shandong SL W;26;22;24;20;1,1818;1,1134;1,2;1,249;2,3818;9,24;10,92;6,45;13,1;11,08;6,65;57,44
180;27/08/2023;07:00;PORTUGAL;LIGA PORTUGAL 2 - ROUND 3;Oliveirense;Penafiel;30;21;22;23;1,4286;1,0942;0,9565;0,8064;2,3851;9,21;13,16;9,39;12,58;8,81;4,21;57,36
181;27/08/2023;05:00;SOUTH KOREA;K3 LEAGUE - ROUND 23;Gyeongju KHNP;Paju Citizen;23;20;26;21;1,15;1,1522;1,2381;1,0191;2,3881;9,18;10,56;6,07;13,07;11,37;7,03;57,28
182;27/08/2023;08:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 21;Kyzylzhar;Aksu;30;19;19;23;1,5789;1,2276;0,8261;0,9624;2,405;9,03;14,25;11,25;11,77;7,46;3,08;56,84
183;27/08/2023;18:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 7;Carmelita;Jaco;32;22;21;22;1,4545;1,0325;0,9545;0,976;2,409;8,99;13,07;9,51;12,48;8,58;4,1;56,73
184;27/08/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Argentino MM;Sportivo Estudiantes;33;22;20;22;1,5;1,4381;0,9091;0,8479;2,4091;8,99;13,49;10,11;12,26;8,17;3,71;56,73
185;27/08/2023;15:00;WORLD;CLUB FRIENDLY;L Hospitalet;Cerdanyola;37;21;13;20;1,7619;1,5089;0,65;0,7921;2,4119;8,96;15,79;13,91;10,26;5,83;1,89;56,64
186;27/08/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 2;AEL Limassol;Zakakiou;23;21;33;25;1,0952;0,9712;1,32;1,1565;2,4152;8,93;9,78;5,36;12,92;11,79;7,78;56,56
187;27/08/2023;10:00;POLAND;EKSTRAKLASA - ROUND 6;Korona Kielce;Zaglebie;26;24;24;18;1,0833;0,9965;1,3333;1,0541;2,4166;8,92;9,67;5,24;12,89;11,9;7,93;56,55
188;27/08/2023;13:00;CHILE;SEGUNDA DIVISION - ROUND 20;Limache;Lautaro;29;22;22;20;1,3182;0,9237;1,1;1,0909;2,4182;8,91;11,74;7,74;12,92;9,8;5,39;56,5
189;27/08/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 27;Sansinena;Villa Mitre;34;21;16;20;1,619;0,95;0,8;0,7483;2,419;8,9;14,41;11,66;11,53;7,12;2,85;56,47
190;27/08/2023;21:00;USA;NWSL WOMEN;Angel City W;Reign W;26;22;26;21;1,1818;0,9833;1,2381;1,0191;2,4199;8,89;10,51;6,21;13,01;11,01;6,81;56,44
191;27/08/2023;16:00;CHILE;PRIMERA B - ROUND 24;Recoleta;San Luis;29;21;24;23;1,381;1,1742;1,0435;0,9991;2,4245;8,85;12,22;8,44;12,76;9,24;4,82;56,33
192;27/08/2023;10:00;PORTUGAL;LIGA PORTUGAL 2 - ROUND 3;Santa Clara;Vilaverdense;26;23;26;20;1,1304;0,8498;1,3;1,005;2,4304;8,8;9,95;5,62;12,93;11,44;7,44;56,18
193;27/08/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 12;Nadroga;Ba;25;20;26;22;1,25;0,9937;1,1818;1,0718;2,4318;8,79;10,98;6,86;12,98;10,39;6,14;56,14
194;27/08/2023;14:30;SPAIN;LALIGA - ROUND 3;Valencia;Osasuna;28;22;28;24;1,2727;0,9136;1,1667;1,0274;2,4394;8,72;11,1;7,06;12,95;10,18;5,94;55,95
195;27/08/2023;12:30;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Mosonmagyarovari TE;BVSC-Zuglo;18;23;30;18;0,7826;0,8825;1,6667;1,3333;2,4493;8,64;6,76;2,64;11,26;14,39;11,99;55,68
196;27/08/2023;12:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - FBIH - ROUND 3;Mladost DK;Celik Zenica;34;21;15;18;1,619;1,2141;0,8333;0,8333;2,4523;8,61;13,94;11,28;11,62;7,18;2,99;55,62
197;27/08/2023;05:30;CHINA;YI LEAGUE - RELEGATION GROUP - ROUND 16;Taian Tiankuang;Quanzhou Yassin;24;16;21;22;1,5;1,4577;0,9545;1,1472;2,4545;8,59;12,89;9,66;12,3;8,2;3,91;55,55
198;27/08/2023;14:00;MOLDOVA;SUPER LIGA - ROUND 4;Milsami;Sheriff Tiraspol;19;19;32;22;1,0;0,9733;1,4545;1,3048;2,4545;8,59;8,59;4,29;12,49;12,49;9,09;55,54
199;27/08/2023;12:00;CZECH REPUBLIC;DIVISION B - ROUND 4;Brandys n. Labem;Hvezda Cheb;35;24;23;23;1,4583;1,4136;1,0;1,0215;2,4583;8,56;12,48;9,1;12,48;8,56;4,28;55,46
200;27/08/2023;05:00;JAPAN;J3 LEAGUE - ROUND 24;YSCC;Vanraure;30;22;23;21;1,3636;1,2264;1,0952;0,8109;2,4588;8,55;11,66;7,95;12,77;9,37;5,13;55,43
201;27/08/2023;02:00;AUSTRALIA;NPL NSW - ROUND 30;WS Wanderers U21;NWS Spirit;28;17;13;16;1,6471;0,9666;0,8125;0,8817;2,4596;8,55;14,07;11,59;11,44;6,94;2,82;55,41
202;27/08/2023;15:00;ECUADOR;LIGA PRO - SECOND STAGE - ROUND 19;Aucas;Libertad;29;22;24;21;1,3182;1,3276;1,1429;0,7737;2,4611;8,53;11,25;7,41;12,86;9,75;5,57;55,37
203;27/08/2023;12:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;Remo Stars;Medeama;30;21;22;21;1,4286;1,1369;1,0476;1,3265;2,4762;8,41;12,01;8,58;12,58;8,81;4,61;55,0
204;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP B - ROUND 2;Sao Joao Ver;Vila Mea;31;21;21;21;1,4762;1,4998;1,0;1,0235;2,4762;8,41;12,41;9,16;12,41;8,41;4,2;55,0
205;27/08/2023;12:00;SERBIA;SRPSKA LIGA - BELGRADE - ROUND 3;Radnicki Obrenovac;Buducnost Dobanovci;34;21;18;21;1,619;1,8638;0,8571;0,7095;2,4761;8,41;13,61;11,02;11,66;7,2;3,09;54,99
206;27/08/2023;12:00;POLAND;III LIGA - GROUP I - ROUND 5;GKS Belchatow;Swit Mazowiecki;15;21;37;21;0,7143;1,0302;1,7619;1,0648;2,4762;8,4;6,0;2,14;10,58;14,81;13,05;54,98
207;27/08/2023;16:00;CHILE;PRIMERA B - ROUND 24;S. Morning;Deportes Iquique;23;19;28;22;1,2105;1,2388;1,2727;1,3877;2,4832;8,35;10,11;6,12;12,86;10,62;6,76;54,82
208;27/08/2023;08:00;WORLD;CLUB FRIENDLY WOMEN;Orebro W;Djurgarden W;32;21;24;25;1,5238;1,4677;0,96;0,8237;2,4838;8,34;12,71;9,69;12,2;8,01;3,84;54,79
209;27/08/2023;17:30;BRAZIL;SERIE D - PLAY OFFS - QUARTER-FINALS;SER Caxias;Portuguesa RJ;36;22;18;21;1,6364;0,8814;0,8571;0,7737;2,4935;8,26;13,52;11,06;11,59;7,08;3,04;54,55
210;27/08/2023;11:00;POLAND;III LIGA - GROUP III - ROUND 5;Carina Gubin;Zielona Gora;21;20;26;18;1,05;0,9206;1,4444;1,2121;2,4944;8,25;8,67;4,55;12,52;11,92;8,61;54,52
211;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP C - ROUND 2;Gouveia;Mortagua;25;21;30;23;1,1905;1,0057;1,3043;1,1955;2,4948;8,25;9,82;5,85;12,81;10,76;7,02;54,51
212;27/08/2023;10:30;CZECH REPUBLIC;CFL - GROUP A - ROUND 4;Hostoun;Vltavin;28;20;23;21;1,4;1,1136;1,0952;0,9209;2,4952;8,25;11,55;8,08;12,64;9,03;4,95;54,5
213;27/08/2023;09:15;MALAYSIA;SUPER LEAGUE - ROUND 21;Perak;Kuala Lumpur City;25;24;35;24;1,0417;0,8406;1,4583;1,1539;2,5;8,21;8,55;4,45;12,47;11,97;8,73;54,38
214;27/08/2023;12:05;FRANCE;LIGUE 1 - ROUND 3;Lorient;Lille;25;20;25;20;1,25;0,9937;1,25;1,1779;2,5;8,21;10,26;6,41;12,82;10,26;6,41;54,37
215;27/08/2023;10:00;BURUNDI;PRIMUS LEAGUE - ROUND 2;Le Messager Ngozi;Flambeau du Centre;24;21;30;22;1,1429;1,2454;1,3636;0,8814;2,5065;8,15;9,32;5,33;12,71;11,12;7,58;54,21
216;27/08/2023;21:30;PANAMA;LPF - CLAUSURA - ROUND 6;Miguelito;San Francisco;37;22;19;23;1,6818;1,1827;0,8261;1,0066;2,5079;8,14;13,7;11,52;11,31;6,73;2,78;54,18
217;27/08/2023;14:35;SERBIA;SUPER LIGA - ROUND 5;Partizan;Javor;29;22;25;21;1,3182;1,0611;1,1905;1,18;2,5087;8,14;10,73;7,07;12,77;9,69;5,77;54,17
218;27/08/2023;11:00;TURKEY;1. LIG - ROUND 3;Keciorengucu;Adanaspor AS;38;22;18;23;1,7273;1,2856;0,7826;0,8825;2,5099;8,13;14,04;12,12;10,99;6,36;2,49;54,13
219;27/08/2023;00:00;FIJI;PREMIER LEAGUE - ROUND 12;Rewa;Tailevu Naitasiri;33;21;17;18;1,5714;1,3997;0,9444;0,848;2,5158;8,08;12,7;9,98;11,99;7,63;3,6;53,98
220;27/08/2023;14:00;TURKEY;2. LIG RED GROUP - ROUND 1;Amedspor;Denizlispor;35;21;17;20;1,6667;1,9355;0,85;1,2359;2,5167;8,07;13,45;11,21;11,44;6,86;2,92;53,95
221;27/08/2023;10:00;SCOTLAND;SWPL 1 WOMEN - ROUND 4;Aberdeen W;Hearts W;26;19;23;20;1,3684;1,3845;1,15;1,2359;2,5184;8,06;11,03;7,54;12,68;9,27;5,33;53,91
222;27/08/2023;11:00;TURKEY;2. LIG WHITE GROUP - ROUND 1;Altinordu;Nazillispor;29;21;24;21;1,381;1,5268;1,1429;1,3197;2,5239;8,01;11,07;7,64;12,65;9,16;5,23;53,76
223;27/08/2023;14:30;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;Godoy Cruz;Central Cordoba;33;21;21;22;1,5714;1,3653;0,9545;1,1472;2,5259;8,0;12,57;9,88;12,0;7,63;3,64;53,72
224;27/08/2023;07:00;JAPAN;J2 LEAGUE - ROUND 32;Kumamoto;Iwaki;32;23;25;22;1,3913;1,3429;1,1364;1,3583;2,5277;7,99;11,11;7,73;12,63;9,08;5,16;53,7
225;27/08/2023;18:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 5;Sport Sebaco;Ferretti;29;21;23;20;1,381;1,3265;1,15;1,0137;2,531;7,96;10,99;7,59;12,64;9,15;5,26;53,59
226;27/08/2023;06:00;GERMANY;2. BUNDESLIGA WOMEN - ROUND 2;Wolfsburg II W;Sand W;27;21;30;24;1,2857;1,2009;1,25;1,3919;2,5357;7,92;10,18;6,55;12,73;9,9;6,19;53,47
227;27/08/2023;15:30;SPAIN;PRIMERA RFEF - GROUP 1 - ROUND 1;R. Union;Sabadell;30;22;27;23;1,3636;1,1499;1,1739;1,0066;2,5375;7,91;10,78;7,35;12,65;9,28;5,45;53,42
228;27/08/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 17;Halsen;Randesund;37;22;18;21;1,6818;1,2572;0,8571;0,8883;2,5389;7,89;13,28;11,17;11,38;6,76;2,9;53,38
229;27/08/2023;11:00;TURKEY;2. LIG RED GROUP - ROUND 1;Arnavutkoy Bl.;Igdir FK;23;20;32;23;1,15;1,0618;1,3913;1,1699;2,5413;7,88;9,06;5,21;12,6;10,96;7,62;53,33
230;27/08/2023;06:00;JAPAN;WE LEAGUE CUP WOMEN - ROUND 1;Omiya Ardija W;Inac Kobe Leonesa W;21;21;34;22;1,0;1,2724;1,5455;1,1571;2,5455;7,84;7,84;3,92;12,12;12,12;9,37;53,21
231;27/08/2023;14:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 7;Municipal Turrialba;Santa Ana;21;21;34;22;1,0;0,8729;1,5455;0,9875;2,5455;7,84;7,84;3,92;12,12;12,12;9,37;53,21
232;27/08/2023;07:00;SOUTH KOREA;K3 LEAGUE - ROUND 23;Gangneung;Daejeon Korail;29;21;21;18;1,381;1,4953;1,1667;1,0138;2,5477;7,83;10,81;7,46;12,61;9,13;5,33;53,17
233;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP D - ROUND 2;Louletano;O Elvas CAD;46;23;11;20;2,0;1,6151;0,55;0,7399;2,55;7,81;15,62;15,62;8,59;4,29;1,18;53,11
234;27/08/2023;12:00;POLAND;III LIGA - GROUP IV - ROUND 5;Orleta Radzyn;Ostrowiec Swietokrzyski;30;20;21;20;1,5;1,2845;1,05;1,2031;2,55;7,81;11,71;8,78;12,3;8,2;4,3;53,1
235;27/08/2023;18:00;DOMINICAN REPUBLIC;LDF - WINNERS STAGE - ROUND 8;Vega Real;Cibao;24;21;31;22;1,1429;0,7095;1,4091;1,0728;2,552;7,79;8,91;5,09;12,55;10,98;7,74;53,06
236;27/08/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 21;Mjallby;Hammarby;30;22;25;21;1,3636;1,1499;1,1905;1,0963;2,5541;7,78;10,6;7,23;12,62;9,26;5,51;53,0
